EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES786736	477755	FCM
ES787044	477756	FCM
ES786865	477758	FCM
ES786857	477758	FCM
ES786882	477759	FCM
ES786874	477759	FCM
ES788408	477760	FCM
ES786809	477761	FCM
ES786835	477765	FCM
ES786845	477765	FCM
ES786843	477765	FCM
ES786833	477765	FCM
ES788972	477766	FCM
ES789197	477767	FCM
ES786948	477768	FCM
ES786942	477768	FCM
ES786940	477768	FCM
ES788415	477772	FCM
ES788925	477774	FCM
ES788953	477775	FCM
ES788935	477777	FCM
ES788944	477780	FCM
ES788460	477782	FCM
ES788453	477782	FCM
ES788439	477782	FCM
ES788334	477782	FCM
ES786868	477782	FCM
ES786827	477782	FCM
ES786708	477782	FCM
ES788963	477782	FCM
ES788427	477782	FCM
ES788371	477782	FCM
ES787042	477782	FCM
ES786862	477782	FCM
ES786834	477782	FCM
ES786817	477782	FCM
ES786814	477782	FCM
ES786717	477782	FCM
ES789193	477782	FCM
ES788973	477782	FCM
ES788971	477782	FCM
ES788969	477782	FCM
ES788465	477782	FCM
ES788398	477782	FCM
ES786979	477782	FCM
ES786840	477782	FCM
ES786727	477782	FCM
ES788959	477782	FCM
ES788957	477782	FCM
ES788447	477782	FCM
ES788399	477782	FCM
ES787048	477782	FCM
ES786828	477782	FCM
ES786789	477782	FCM
ES786731	477782	FCM
ES786717	472921	FCM
ES786709	472922	FCM
ES786709	472923	FCM
ES786724	472923	FCM
ES786716	472923	FCM
ES786715	472923	FCM
ES786713	472923	FCM
ES786712	472923	FCM
ES786708	472924	FCM
ES786710	472925	FCM
ES786716	472925	FCM
ES786714	472925	FCM
ES786708	472926	FCM
ES786721	472926	FCM
ES786728	472926	FCM
ES786710	472927	FCM
ES786725	472927	FCM
ES786719	472928	FCM
ES786717	472928	FCM
ES786709	472929	FCM
ES786721	472929	FCM
ES786727	472929	FCM
ES786725	472929	FCM
ES786715	472929	FCM
ES786708	472930	FCM
ES786719	472930	FCM
ES786717	472930	FCM
ES786728	472930	FCM
ES786712	472930	FCM
ES786719	472931	FCM
ES786726	472931	FCM
ES786723	472931	FCM
ES786726	472932	FCM
ES786716	472932	FCM
ES786719	472935	FCM
ES786709	472936	FCM
ES786712	472941	FCM
ES786713	472942	FCM
ES786716	472944	FCM
ES786717	472946	FCM
ES786719	472948	FCM
ES786726	472954	FCM
ES786725	472954	FCM
ES786740	472967	FCM
ES786738	472968	FCM
ES786737	472968	FCM
ES786736	472969	FCM
ES786735	472969	FCM
ES786741	472969	FCM
ES786732	472969	FCM
ES786729	472970	FCM
ES786736	472970	FCM
ES786735	472970	FCM
ES786740	472970	FCM
ES786729	472971	FCM
ES786740	472971	FCM
ES786739	472974	FCM
ES786733	472974	FCM
ES786737	472975	FCM
ES786731	472975	FCM
ES786738	472976	FCM
ES786735	472976	FCM
ES786739	472976	FCM
ES786737	472978	FCM
ES786741	472978	FCM
ES786732	472978	FCM
ES786729	472979	FCM
ES786732	472979	FCM
ES786733	472982	FCM
ES786733	472987	FCM
ES786736	472988	FCM
ES786736	472989	FCM
ES786741	472994	FCM
ES786742	472995	FCM
ES786784	473099	FCM
ES786794	473099	FCM
ES786797	473100	FCM
ES786793	473100	FCM
ES786800	473100	FCM
ES786787	473100	FCM
ES786786	473101	FCM
ES786785	473101	FCM
ES786794	473101	FCM
ES786804	473101	FCM
ES786800	473101	FCM
ES786790	473101	FCM
ES786785	473102	FCM
ES786798	473102	FCM
ES786793	473102	FCM
ES786797	473103	FCM
ES786796	473103	FCM
ES786795	473103	FCM
ES786801	473103	FCM
ES786788	473104	FCM
ES786798	473105	FCM
ES786794	473105	FCM
ES786791	473105	FCM
ES786793	473107	FCM
ES786791	473107	FCM
ES786801	473109	FCM
ES786797	473110	FCM
ES786794	473110	FCM
ES786799	473110	FCM
ES786792	473110	FCM
ES786786	473111	FCM
ES786803	473111	FCM
ES786800	473111	FCM
ES786788	473111	FCM
ES786804	473117	FCM
ES786792	473117	FCM
ES786788	473119	FCM
ES786787	473119	FCM
ES786791	473123	FCM
ES786794	473125	FCM
ES786795	473127	FCM
ES786809	473143	FCM
ES786816	473144	FCM
ES786819	473144	FCM
ES786814	473145	FCM
ES786811	473145	FCM
ES786823	473146	FCM
ES786816	473147	FCM
ES786815	473147	FCM
ES786824	473147	FCM
ES786806	473148	FCM
ES786817	473148	FCM
ES786814	473148	FCM
ES786823	473148	FCM
ES786821	473148	FCM
ES786805	473149	FCM
ES786824	473149	FCM
ES786806	473150	FCM
ES786816	473150	FCM
ES786822	473151	FCM
ES786821	473151	FCM
ES786819	473151	FCM
ES786811	473151	FCM
ES786813	473152	FCM
ES786807	473154	FCM
ES786821	473154	FCM
ES786822	473155	FCM
ES786821	473158	FCM
ES786808	473164	FCM
ES786810	473166	FCM
ES786813	473167	FCM
ES786812	473168	FCM
ES786815	473171	FCM
ES786816	473172	FCM
ES786821	473178	FCM
ES786825	473184	FCM
ES786828	473185	FCM
ES786826	473186	FCM
ES786843	473186	FCM
ES786838	473187	FCM
ES786828	473187	FCM
ES786836	473188	FCM
ES786842	473188	FCM
ES786829	473188	FCM
ES786826	473189	FCM
ES786838	473189	FCM
ES786837	473189	FCM
ES786832	473189	FCM
ES786826	473190	FCM
ES786832	473190	FCM
ES786827	473191	FCM
ES786826	473191	FCM
ES786825	473192	FCM
ES786839	473192	FCM
ES786834	473192	FCM
ES786840	473192	FCM
ES786830	473192	FCM
ES786841	473193	FCM
ES786826	473194	FCM
ES786838	473194	FCM
ES786840	473194	FCM
ES786830	473194	FCM
ES773975	450599	FCM
ES773975	450601	FCM
ES773975	450605	FCM
ES773976	450614	FCM
ES773992	450616	FCM
ES773992	450619	FCM
ES773977	450622	FCM
ES773977	450631	FCM
ES773994	450638	FCM
ES773978	450643	FCM
ES773994	450644	FCM
ES788454	476276	FCM
ES788458	476279	FCM
ES788465	476288	FCM
ES788463	476290	FCM
ES788462	476290	FCM
ES788464	476292	FCM
ES788466	476292	FCM
ES788462	476293	FCM
ES788461	476293	FCM
ES788466	476294	FCM
ES788464	476295	FCM
ES788462	476295	FCM
ES788461	476295	FCM
ES788460	476296	FCM
ES788466	476296	FCM
ES788462	476296	FCM
ES788464	476300	FCM
ES788461	476300	FCM
ES788461	476303	FCM
ES788463	476304	FCM
ES788466	476306	FCM
ES788466	476307	FCM
ES774045	451024	FCM
ES774053	451026	FCM
ES774054	451029	FCM
ES774053	451031	FCM
ES774047	451046	FCM
ES774056	451057	FCM
ES774056	451059	FCM
ES774048	451062	FCM
ES774052	451074	FCM
ES774053	451075	FCM
ES774056	451082	FCM
ES774057	451122	FCM
ES774057	451131	FCM
ES774058	451133	FCM
ES774058	451136	FCM
ES774059	451155	FCM
ES774059	451158	FCM
ES774059	451159	FCM
ES774064	451203	FCM
ES774064	451206	FCM
ES774064	451209	FCM
ES774064	451213	FCM
ES774065	451217	FCM
ES774065	451218	FCM
ES774066	451224	FCM
ES774067	451235	FCM
ES789192	477424	FCM
ES789202	477424	FCM
ES789204	477424	FCM
ES789202	477428	FCM
ES789192	477429	FCM
ES789198	477429	FCM
ES789188	477429	FCM
ES789192	477430	FCM
ES789202	477430	FCM
ES789188	477430	FCM
ES789186	477430	FCM
ES789194	477430	FCM
ES789198	477431	FCM
ES789193	477431	FCM
ES789204	477431	FCM
ES789185	477432	FCM
ES789202	477432	FCM
ES789195	477432	FCM
ES789203	477432	FCM
ES789199	477433	FCM
ES789193	477433	FCM
ES789201	477433	FCM
ES789191	477434	FCM
ES789203	477434	FCM
ES789196	477434	FCM
ES789192	477435	FCM
ES789189	477435	FCM
ES789204	477435	FCM
ES789194	477444	FCM
ES789195	477450	FCM
ES789195	477451	FCM
ES789205	477453	FCM
ES789201	477453	FCM
ES789222	477536	FCM
ES789223	477539	FCM
ES789226	477540	FCM
ES789223	477540	FCM
ES789223	477541	FCM
ES789226	477542	FCM
ES789224	477543	FCM
ES789221	477544	FCM
ES789224	477544	FCM
ES789226	477547	FCM
ES789222	477551	FCM
ES789223	477552	FCM
ES789227	477555	FCM
ES789253	477666	FCM
ES789253	477668	FCM
ES789254	477674	FCM
ES789254	477687	FCM
ES786839	473195	FCM
ES786844	473196	FCM
ES786829	473196	FCM
ES786839	473197	FCM
ES786845	473197	FCM
ES786843	473197	FCM
ES786831	473197	FCM
ES786829	473197	FCM
ES786826	473199	FCM
ES786843	473200	FCM
ES786827	473204	FCM
ES786828	473206	FCM
ES786838	473215	FCM
ES786839	473216	FCM
ES786843	473220	FCM
ES786855	473230	FCM
ES786848	473230	FCM
ES786859	473231	FCM
ES786849	473231	FCM
ES786850	473231	FCM
ES786848	473231	FCM
ES786859	473232	FCM
ES786862	473232	FCM
ES786855	473232	FCM
ES786853	473233	FCM
ES786849	473233	FCM
ES786854	473233	FCM
ES786850	473233	FCM
ES786848	473233	FCM
ES786859	473234	FCM
ES786852	473234	FCM
ES786860	473234	FCM
ES786847	473234	FCM
ES786854	473234	FCM
ES786859	473235	FCM
ES786849	473235	FCM
ES786852	473236	FCM
ES786855	473236	FCM
ES786865	473236	FCM
ES786853	473236	FCM
ES786849	473236	FCM
ES786855	473238	FCM
ES786865	473238	FCM
ES786860	473238	FCM
ES786853	473238	FCM
ES786853	473240	FCM
ES786849	473240	FCM
ES786851	473241	FCM
ES786847	473241	FCM
ES786861	473241	FCM
ES786854	473241	FCM
ES786858	473250	FCM
ES786855	473250	FCM
ES786857	473250	FCM
ES786857	473255	FCM
ES786859	473258	FCM
ES786864	473259	FCM
ES786861	473259	FCM
ES786859	473260	FCM
ES786860	473261	FCM
ES786864	473265	FCM
ES786862	473266	FCM
ES786876	473271	FCM
ES786870	473271	FCM
ES786876	473272	FCM
ES786867	473273	FCM
ES786880	473273	FCM
ES786878	473273	FCM
ES786884	473274	FCM
ES786867	473275	FCM
ES786885	473275	FCM
ES786869	473275	FCM
ES786877	473276	FCM
ES786881	473276	FCM
ES786871	473276	FCM
ES786882	473277	FCM
ES786872	473277	FCM
ES786875	473278	FCM
