EXPSAMPLE_ACCESSION	REPOSITORY_ACCESSION	REPOSITORY_NAME
ES773854	GSM1257204 	GEO
ES773860	GSM1257168 	GEO
ES773873	GSM1257155 	GEO
ES773892	GSM1257162 	GEO
ES773937	GSM1257198 	GEO
ES773943	GSM1257214 	GEO
ES773973	GSM1257205 	GEO
ES773874	GSM1257251 	GEO
ES773875	GSM1257230 	GEO
ES773893	GSM1257182 	GEO
ES773905	GSM1257179 	GEO
ES773914	GSM1257211 	GEO
ES773925	GSM1257140 	GEO
ES773971	GSM1257215 	GEO
ES773851	GSM1257200 	GEO
ES773915	GSM1257157 	GEO
ES773927	GSM1257128 	GEO
ES773928	GSM1257250 	GEO
ES773938	GSM1257159 	GEO
ES773839	GSM1257234 	GEO
ES773841	GSM1257137 	GEO
ES773859	GSM1257226 	GEO
ES773871	GSM1257160 	GEO
ES773876	GSM1257148 	GEO
ES773877	GSM1257254 	GEO
ES773881	GSM1257233 	GEO
ES773890	GSM1257174 	GEO
ES773891	GSM1257247 	GEO
ES773903	GSM1257246 	GEO
ES773920	GSM1257252 	GEO
ES773939	GSM1257257 	GEO
ES773946	GSM1257192 	GEO
ES773861	GSM1257229 	GEO
ES773870	GSM1257132 	GEO
ES773878	GSM1257213 	GEO
ES773879	GSM1257223 	GEO
ES773919	GSM1257207 	GEO
ES773926	GSM1257262 	GEO
ES773936	GSM1257248 	GEO
ES773944	GSM1257196 	GEO
ES773972	GSM1257245 	GEO
ES773974	GSM1257225 	GEO
ES773866	GSM1257259 	GEO
ES773880	GSM1257130 	GEO
ES773916	GSM1257190 	GEO
ES773917	GSM1257201 	GEO
ES773918	GSM1257136 	GEO
ES773921	GSM1257151 	GEO
ES773924	GSM1257256 	GEO
ES773929	GSM1257175 	GEO
ES773840	GSM1257185 	GEO
ES773852	GSM1257153 	GEO
ES773853	GSM1257161 	GEO
ES773858	GSM1257167 	GEO
ES773867	GSM1257216 	GEO
ES773868	GSM1257206 	GEO
ES773869	GSM1257239 	GEO
ES773872	GSM1257142 	GEO
ES773902	GSM1257170 	GEO
ES773904	GSM1257249 	GEO
ES773923	GSM1257242 	GEO
ES773945	GSM1257181 	GEO
ES773842	GSM1257176 	GEO
ES773922	GSM1257217 	GEO
