REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR12358	ESR12326	2799
ESR12358	ESR12327	2799
ESR12358	ESR12328	2799
ESR12358	ESR12329	2799
ESR12358	ESR12330	2799
ESR12358	ESR12331	2799
ESR12358	ESR12332	2799
ESR12358	ESR12333	2799
ESR12358	ESR12334	2799
ESR12358	ESR12342	2799
ESR12359	ESR12334	2799
ESR12359	ESR12335	2799
ESR12359	ESR12336	2799
ESR12359	ESR12337	2799
ESR12359	ESR12338	2799
ESR12359	ESR12339	2799
ESR12359	ESR12340	2799
ESR12359	ESR12341	2799
ESR12359	ESR12342	2799
ESR12360	ESR12334	2799
ESR12360	ESR12337	2799
ESR12360	ESR12341	2799
ESR12360	ESR12342	2799
ESR12360	ESR12352	2799
ESR12360	ESR12353	2799
ESR12360	ESR12354	2799
ESR12360	ESR12355	2799
ESR12360	ESR12356	2799
ESR12360	ESR12357	2799
ESR12361	ESR12342	2799
ESR12361	ESR12343	2799
ESR12361	ESR12344	2799
ESR12361	ESR12345	2799
ESR12361	ESR12346	2799
ESR12361	ESR12347	2799
ESR12361	ESR12348	2799
ESR12361	ESR12349	2799
ESR12361	ESR12350	2799
ESR12361	ESR12351	2799
