BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS716677	ES786717
BS716677	ES786724
BS716678	ES786732
BS716680	ES786787
BS716680	ES786788
BS716680	ES786799
BS716681	ES786709
BS716682	ES787049
BS716682	ES787052
BS716686	ES787057
BS716687	ES786803
BS716688	ES786846
BS716689	ES786882
BS716690	ES788392
BS716690	ES788393
BS716691	ES786805
BS716691	ES786814
BS716692	ES786853
BS716692	ES786855
BS716692	ES786858
BS716693	ES786867
BS716693	ES786871
BS716693	ES786878
BS716694	ES788400
BS716695	ES786821
BS716700	ES788334
BS716700	ES788338
BS716700	ES788354
BS716702	ES788427
BS716703	ES786961
BS716703	ES786963
BS716707	ES786936
BS716707	ES786945
BS716708	ES786830
BS716708	ES786843
BS716711	ES786941
BS716711	ES786942
BS716712	ES788335
BS716712	ES788349
BS716714	ES788419
BS716716	ES786839
BS716716	ES786827
BS716717	ES788967
BS716717	ES788974
BS716720	ES788336
BS716720	ES788351
BS716722	ES788361
BS716723	ES788364
BS716726	ES787065
BS716727	ES788445
BS716729	ES788915
BS716730	ES788919
BS716731	ES788947
BS716732	ES788929
BS716732	ES788930
BS716732	ES788931
BS716734	ES788454
BS716735	ES788446
BS716736	ES788944
BS716736	ES788945
BS713659	ES773840
BS713934	ES774045
BS713937	ES774047
BS713940	ES774052
BS713955	ES774065
BS661761	ES717644
BS661765	ES717648
BS661733	ES717616
BS661734	ES717617
BS661735	ES717618
BS661760	ES717643
BS713671	ES773852
BS713690	ES773871
BS713695	ES773876
BS713698	ES773879
BS713865	ES773977
BS713879	ES773992
BS713820	ES773675
BS713820	ES773676
BS713833	ES773795
BS713835	ES773799
BS713792	ES773973
BS713795	ES773738
BS713801	ES773747
BS713811	ES773763
BS713813	ES773764
BS713815	ES773769
BS713746	ES773927
BS713723	ES773904
BS720904	ES789225
BS720904	ES789227
BS716678	ES786736
BS716678	ES786739
BS716678	ES786729
BS716679	ES787042
BS716679	ES787043
BS716680	ES786794
BS716685	ES786734
BS716686	ES787053
BS716686	ES787056
BS716687	ES786797
BS716687	ES786804
BS716690	ES788391
BS716690	ES788394
BS716692	ES786852
BS716696	ES786862
BS716697	ES786868
BS716697	ES786880
BS716698	ES788409
BS716699	ES786807
BS716699	ES786817
BS716701	ES788371
BS716702	ES788428
BS716704	ES786840
BS716704	ES786841
BS716706	ES789190
BS716707	ES786951
BS716708	ES786831
BS716709	ES788959
BS716710	ES789197
BS716711	ES786937
BS716711	ES786947
BS716711	ES786948
BS716712	ES788340
BS716713	ES788373
BS716714	ES788429
BS716715	ES786970
BS716717	ES788962
BS716717	ES788973
BS716718	ES789199
BS716719	ES786950
BS716719	ES786955
BS716720	ES788350
BS716721	ES786974
BS716723	ES788370
BS716725	ES786982
BS716726	ES787064
BS716727	ES788443
BS716728	ES788412
BS716728	ES788414
BS716729	ES788912
BS716729	ES788913
BS716731	ES788950
BS716733	ES788936
BS716733	ES788937
BS716733	ES788939
BS716734	ES788453
BS716735	ES788450
BS713939	ES774050
BS713948	ES774059
BS713956	ES774067
BS713896	ES774010
BS713911	ES774024
BS713923	ES774036
BS661770	ES717653
BS661759	ES717642
BS713688	ES773869
BS713696	ES773877
BS713887	ES774000
BS713889	ES774001
BS713826	ES773683
BS713826	ES773684
BS713827	ES773787
BS713894	ES774007
BS713832	ES773694
BS713834	ES773695
BS713838	ES773701
BS713843	ES773811
BS713845	ES773812
BS713845	ES773813
BS713845	ES773814
BS713790	ES773971
BS713800	ES773645
BS713801	ES773748
BS713813	ES773765
BS713814	ES773666
BS713814	ES773667
BS713744	ES773925
BS713758	ES773939
BS713762	ES773943
BS713764	ES773945
BS713734	ES773915
BS713738	ES773919
BS720904	ES789222
BS716678	ES786740
BS716680	ES786800
BS716681	ES786725
BS716682	ES787051
BS716683	ES786789
BS716683	ES786801
BS716684	ES786721
BS716686	ES787054
BS716686	ES787059
BS716688	ES789253
BS716691	ES789254
BS716691	ES786820
BS716692	ES786856
BS716694	ES788401
BS716694	ES788402
BS716695	ES786810
BS716696	ES786860
BS716696	ES786863
BS716699	ES786818
BS716699	ES786824
BS716700	ES788347
BS716701	ES788365
BS716702	ES788422
BS716703	ES786957
BS716703	ES786960
BS716704	ES786829
BS716705	ES788958
BS716705	ES788963
BS716705	ES788969
BS716707	ES786946
BS716708	ES786826
BS716709	ES788966
BS716709	ES788972
BS716710	ES789196
BS716712	ES788341
BS716712	ES788357
BS716714	ES788424
BS716714	ES788430
BS716715	ES786968
BS716716	ES786838
BS716717	ES788956
BS716718	ES789201
BS716718	ES789203
BS716722	ES788344
BS716722	ES788352
