FCS_file_name	fcs_version	fcs_file_name	Panel_reported	Panel
3296_BAYVAC010TP12_3.404397.fcs	1	3296_BAYVAC010TP12_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
3422_BAYVAC010TP13_3.404409.fcs	1	3422_BAYVAC010TP13_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
3585_Specimen_001_C1_C01.404421.fcs	1	3585_Specimen_001_C1_C01.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
2798_BAYVAC011TP7_3.404433.fcs	1	2798_BAYVAC011TP7_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
2665_BAYVAC011TP2_3.404445.fcs	1	2665_BAYVAC011TP2_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
3050_BAYVAC011TP14_3.404457.fcs	1	3050_BAYVAC011TP14_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
2924_BAYVAC011TP9_3.404469.fcs	1	2924_BAYVAC011TP9_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
3176_BAYVAC011TP15_3.404481.fcs	1	3176_BAYVAC011TP15_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
3303_BAYVAC011TP12_3.404493.fcs	1	3303_BAYVAC011TP12_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
3429_BAYVAC011TP13_3.404505.fcs	1	3429_BAYVAC011TP13_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
3592_Specimen_002_C2_C02.404517.fcs	1	3592_Specimen_002_C2_C02.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
2805_BAYVAC012TP7_3.404529.fcs	1	2805_BAYVAC012TP7_3.fcs	FSC-A__FSC-H__SSC-A__SSC-H__CD15__CD45__CD16__HLA-DR__CD40__CD62L__CD86__CD11b__CD14__Alexa Fluor 700-A__PerCP-Cy5-5-A	1
