EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES735940		LUMFLU1	4	
ES735946		LUMFLU1	4	
ES735948		LUMFLU1	4	
ES735954		LUMFLU1	4	
ES735958		LUMFLU1	4	
ES735962		LUMFLU1	4	
ES735963		LUMFLU1	4	
ES735978		LUMFLU1	4	
ES735988		LUMFLU1	4	
ES735990		LUMFLU1	4	
ES736020		LUMFLU2	4	
ES736035		LUMFLU2	4	
ES736046		LUMFLU2	4	
ES736049		LUMFLU2	4	
ES736051		LUMFLU2	4	
ES736059		LUMFLU2	4	
ES736062		LUMFLU2	4	
ES736074		LUMFLU2	4	
ES736084		LUMFLU2	4	
ES736087		LUMFLU2	4	
ES736092		LUMFLU3	4	
ES736093		LUMFLU3	4	
ES736102		LUMFLU3	4	
ES736104		LUMFLU3	4	
ES736108		LUMFLU3	4	
ES735941		LUMFLU1	4	
ES735961		LUMFLU1	4	
ES735967		LUMFLU1	4	
ES735985		LUMFLU1	4	
ES735986		LUMFLU1	4	
ES735994		LUMFLU1	4	
ES736013		LUMFLU2	4	
ES736018		LUMFLU2	4	
ES736026		LUMFLU2	4	
ES736027		LUMFLU2	4	
ES736029		LUMFLU2	4	
ES736030		LUMFLU2	4	
ES736039		LUMFLU2	4	
ES736048		LUMFLU2	4	
ES736053		LUMFLU2	4	
ES736054		LUMFLU2	4	
ES736060		LUMFLU2	4	
ES736075		LUMFLU2	4	
ES736078		LUMFLU2	4	
ES736081		LUMFLU2	4	
ES736099		LUMFLU3	4	
ES735932		LUMFLU1	4	
ES735949		LUMFLU1	4	
ES735950		LUMFLU1	4	
ES735952		LUMFLU1	4	
ES735953		LUMFLU1	4	
ES735956		LUMFLU1	4	
ES735959		LUMFLU1	4	
ES735973		LUMFLU1	4	
ES735977		LUMFLU1	4	
ES735996		LUMFLU1	4	
ES736007		LUMFLU1	4	
ES736008		LUMFLU1	4	
ES736025		LUMFLU2	4	
ES736033		LUMFLU2	4	
ES736056		LUMFLU2	4	
ES736061		LUMFLU2	4	
ES736069		LUMFLU2	4	
ES736088		LUMFLU2	4	
ES736100		LUMFLU3	4	
ES736106		LUMFLU3	4	
ES736111		LUMFLU3	4	
ES735936		LUMFLU1	4	
ES735951		LUMFLU1	4	
ES735980		LUMFLU1	4	
ES735981		LUMFLU1	4	
ES735993		LUMFLU1	4	
ES736000		LUMFLU1	4	
ES736028		LUMFLU2	4	
ES736036		LUMFLU2	4	
ES736043		LUMFLU2	4	
ES736050		LUMFLU2	4	
ES736064		LUMFLU2	4	
ES736072		LUMFLU2	4	
ES736073		LUMFLU2	4	
ES736079		LUMFLU2	4	
ES736080		LUMFLU2	4	
ES736083		LUMFLU2	4	
ES736085		LUMFLU2	4	
ES736091		LUMFLU2	4	
ES736101		LUMFLU3	4	
ES736109		LUMFLU3	4	
ES736113		LUMFLU3	4	
ES735935		LUMFLU1	4	
ES735947		LUMFLU1	4	
ES735971		LUMFLU1	4	
ES735975		LUMFLU1	4	
ES735982		LUMFLU1	4	
ES735997		LUMFLU1	4	
ES736006		LUMFLU1	4	
ES736014		LUMFLU2	4	
ES736016		LUMFLU2	4	
ES736024		LUMFLU2	4	
ES736037		LUMFLU2	4	
ES736047		LUMFLU2	4	
ES736055		LUMFLU2	4	
ES736057		LUMFLU2	4	
ES736063		LUMFLU2	4	
ES736065		LUMFLU2	4	
ES736067		LUMFLU2	4	
ES736082		LUMFLU2	4	
ES736095		LUMFLU3	4	
ES736110		LUMFLU3	4	
ES735939		LUMFLU1	4	
ES735942		LUMFLU1	4	
ES735964		LUMFLU1	4	
ES735965		LUMFLU1	4	
ES735974		LUMFLU1	4	
ES735987		LUMFLU1	4	
ES735991		LUMFLU1	4	
ES735998		LUMFLU1	4	
ES735999		LUMFLU1	4	
ES736004		LUMFLU1	4	
ES736009		LUMFLU1	4	
ES736015		LUMFLU2	4	
ES736017		LUMFLU2	4	
ES736038		LUMFLU2	4	
ES736058		LUMFLU2	4	
ES736066		LUMFLU2	4	
ES736070		LUMFLU2	4	
ES736071		LUMFLU2	4	
ES736076		LUMFLU2	4	
ES736086		LUMFLU2	4	
ES736094		LUMFLU3	4	
ES736105		LUMFLU3	4	
ES736107		LUMFLU3	4	
ES735933		LUMFLU1	4	
ES735937		LUMFLU1	4	
ES735943		LUMFLU1	4	
ES735945		LUMFLU1	4	
ES735955		LUMFLU1	4	
ES735957		LUMFLU1	4	
ES735968		LUMFLU1	4	
ES735969		LUMFLU1	4	
ES735984		LUMFLU1	4	
ES735992		LUMFLU1	4	
ES736005		LUMFLU1	4	
ES736019		LUMFLU2	4	
ES736031		LUMFLU2	4	
ES736032		LUMFLU2	4	
ES736034		LUMFLU2	4	
ES736041		LUMFLU2	4	
ES736044		LUMFLU2	4	
ES736045		LUMFLU2	4	
ES736052		LUMFLU2	4	
ES736089		LUMFLU2	4	
ES736090		LUMFLU2	4	
ES736096		LUMFLU3	4	
ES736097		LUMFLU3	4	
ES736098		LUMFLU3	4	
ES736112		LUMFLU3	4	
ES735934		LUMFLU1	4	
ES735938		LUMFLU1	4	
ES735944		LUMFLU1	4	
ES735960		LUMFLU1	4	
ES735966		LUMFLU1	4	
ES735970		LUMFLU1	4	
ES735972		LUMFLU1	4	
ES735976		LUMFLU1	4	
ES735979		LUMFLU1	4	
ES735983		LUMFLU1	4	
ES735989		LUMFLU1	4	
ES735995		LUMFLU1	4	
ES736001		LUMFLU1	4	
ES736002		LUMFLU1	4	
ES736003		LUMFLU1	4	
ES736010		LUMFLU1	4	
ES736011		LUMFLU1	4	
ES736012		LUMFLU2	4	
ES736021		LUMFLU2	4	
ES736022		LUMFLU2	4	
ES736023		LUMFLU2	4	
ES736040		LUMFLU2	4	
ES736042		LUMFLU2	4	
ES736068		LUMFLU2	4	
ES736077		LUMFLU2	4	
ES736103		LUMFLU3	4	
