PLANNED_VISIT_ACCESSION	END_RULE	MAX_START_DAY	MIN_START_DAY	NAME	ORDER_NUMBER	PERIOD_ACCESSION	START_RULE	STUDY_ACCESSION	WORKSPACE_ID
PV2352		14	14	Day 14	15	P211		SDY180	2799
PV2345		0.625	0.625	Day 0, Hour 15	8	P211		SDY180	2799
PV2350		7	7	Day 7	13	P211		SDY180	2799
PV2343		0.375	0.375	Day 0, Hour 9	6	P211		SDY180	2799
PV2342		0.25	0.25	Day 0, Hour 6	5	P211		SDY180	2799
PV2346		1	1	Day 1	9	P211		SDY180	2799
PV2348		2	2	Day 2	11	P211		SDY180	2799
PV2349		3	3	Day 3	12	P211		SDY180	2799
PV2351		10	10	Day 10	14	P211		SDY180	2799
PV2347		1.5	1.5	Day 1, Hour 12	10	P211		SDY180	2799
PV2339		0	0	Day 0	2	P211		SDY180	2799
PV2340		0.0625	0.0625	Day 0, Hour 1.5	3	P211		SDY180	2799
PV2353		21	21	Day 21	16	P211		SDY180	2799
PV2354		28	28	Day 28	17	P211		SDY180	2799
PV2344		0.5	0.5	Day 0, Hour 12	7	P211		SDY180	2799
PV2338		-7	-7	Day -7	1	P211		SDY180	2799
PV2341		0.125	0.125	Day 0, Hour 3	4	P211		SDY180	2799
