RESULT_ID	ANALYTE_PREFERRED	ANALYTE_REPORTED	ARM_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	BIOSAMPLE_ACCESSION	COMMENTS	CONCENTRATION_UNIT_REPORTED	CONCENTRATION_UNIT_PREFERRED	CONCENTRATION_VALUE_REPORTED	CONCENTRATION_VALUE_PREFERRED	EXPERIMENT_ACCESSION	MFI	MFI_COORDINATE	REPOSITORY_ACCESSION	REPOSITORY_NAME	SOURCE_ACCESSION	SOURCE_TYPE	STUDY_ACCESSION	STUDY_TIME_COLLECTED	STUDY_TIME_COLLECTED_UNIT	SUBJECT_ACCESSION	WORKSPACE_ID
258195	ANA43	CD40L		194				pg/ml	pg/ml	57	57	EXP13808	293				CS957	CONTROL SAMPLE	SDY202				2883
258196		CHEX1		194				N/A		0		EXP13808	950				CS957	CONTROL SAMPLE	SDY202				2883
258197		CHEX2		194				N/A		0		EXP13808	459				CS957	CONTROL SAMPLE	SDY202				2883
258198		CHEX3		194				N/A		0		EXP13808	3222				CS957	CONTROL SAMPLE	SDY202				2883
258199		CHEX4		194				N/A		0		EXP13808	138				CS957	CONTROL SAMPLE	SDY202				2883
258200	ANA70	ENA78		194				pg/ml	pg/ml	74	74	EXP13808	91				CS957	CONTROL SAMPLE	SDY202				2883
258201	ANA3	EOTAXIN		194				pg/ml	pg/ml	15	15	EXP13808	408				CS957	CONTROL SAMPLE	SDY202				2883
258202	ANA86	FASL		194				pg/ml	pg/ml	6	6	EXP13808	98				CS957	CONTROL SAMPLE	SDY202				2883
258203	ANA88	FGFB		194				pg/ml	pg/ml	1	1	EXP13808	36				CS957	CONTROL SAMPLE	SDY202				2883
258204	ANA56	GCSF		194				pg/ml	pg/ml	1	1	EXP13808	70				CS957	CONTROL SAMPLE	SDY202				2883
258205	ANA53	GMCSF		194				pg/ml	pg/ml	17	17	EXP13808	131				CS957	CONTROL SAMPLE	SDY202				2883
258206	ANA60	GROA		194				pg/ml	pg/ml	3	3	EXP13808	38				CS957	CONTROL SAMPLE	SDY202				2883
258207	ANA92	HGF		194				pg/ml	pg/ml	9	9	EXP13808	160				CS957	CONTROL SAMPLE	SDY202				2883
258208	ANA705	ICAM1		194				pg/ml	pg/ml	1185	1185	EXP13808	1366				CS957	CONTROL SAMPLE	SDY202				2883
258209	ANA717	IFNA		194				pg/ml	pg/ml	0	0	EXP13808	18				CS957	CONTROL SAMPLE	SDY202				2883
258210	ANA108	IFNB		194				pg/ml	pg/ml	7	7	EXP13808	296				CS957	CONTROL SAMPLE	SDY202				2883
258211	ANA110	IFNG		194				pg/ml	pg/ml	6	6	EXP13808	59				CS957	CONTROL SAMPLE	SDY202				2883
258212	ANA118	IL10		194				pg/ml	pg/ml	0	0	EXP13808	31				CS957	CONTROL SAMPLE	SDY202				2883
258213	ANA124	IL12P40		194				pg/ml	pg/ml	7	7	EXP13808	206				CS957	CONTROL SAMPLE	SDY202				2883
258214	ANA800	IL12P70		194				pg/ml	pg/ml	2	2	EXP13808	50				CS957	CONTROL SAMPLE	SDY202				2883
258215	ANA127	IL13		194				pg/ml	pg/ml	9	9	EXP13808	67				CS957	CONTROL SAMPLE	SDY202				2883
258216	ANA130	IL15		194				pg/ml	pg/ml	4	4	EXP13808	39				CS957	CONTROL SAMPLE	SDY202				2883
258217	ANA801	IL17		194				pg/ml	pg/ml	3	3	EXP13808	93				CS957	CONTROL SAMPLE	SDY202				2883
258218	ANA137	IL17F		194				pg/ml	pg/ml	16	16	EXP13808	218				CS957	CONTROL SAMPLE	SDY202				2883
258219	ANA142	IL1A		194				pg/ml	pg/ml	0	0	EXP13808	26				CS957	CONTROL SAMPLE	SDY202				2883
258220	ANA143	IL1B		194				pg/ml	pg/ml	1	1	EXP13808	106				CS957	CONTROL SAMPLE	SDY202				2883
258221	ANA145	IL1RA		194				pg/ml	pg/ml	1	1	EXP13808	17				CS957	CONTROL SAMPLE	SDY202				2883
258222	ANA148	IL2		194				pg/ml	pg/ml	36	36	EXP13808	163				CS957	CONTROL SAMPLE	SDY202				2883
258223	ANA174	IL4		194				pg/ml	pg/ml	4	4	EXP13808	102				CS957	CONTROL SAMPLE	SDY202				2883
258224	ANA176	IL5		194				pg/ml	pg/ml	26	26	EXP13808	124				CS957	CONTROL SAMPLE	SDY202				2883
258225	ANA178	IL6		194				pg/ml	pg/ml	1	1	EXP13808	30				CS957	CONTROL SAMPLE	SDY202				2883
258226	ANA181	IL7		194				pg/ml	pg/ml	46	46	EXP13808	211				CS957	CONTROL SAMPLE	SDY202				2883
258227	ANA72	IL8		194				pg/ml	pg/ml	1	1	EXP13808	46				CS957	CONTROL SAMPLE	SDY202				2883
258228	ANA61	IP10		194				pg/ml	pg/ml	12	12	EXP13808	129				CS957	CONTROL SAMPLE	SDY202				2883
258229	ANA714	LEPTIN		194				pg/ml	pg/ml	348	348	EXP13808	501				CS957	CONTROL SAMPLE	SDY202				2883
258230	ANA190	LIF		194				pg/ml	pg/ml	6	6	EXP13808	127				CS957	CONTROL SAMPLE	SDY202				2883
258231	ANA11	MCP1		194				pg/ml	pg/ml	14	14	EXP13808	317				CS957	CONTROL SAMPLE	SDY202				2883
258232	ANA28	MCP3		194				pg/ml	pg/ml	3	3	EXP13808	118				CS957	CONTROL SAMPLE	SDY202				2883
258233	ANA51	MCSF		194				pg/ml	pg/ml	1	1	EXP13808	20				CS957	CONTROL SAMPLE	SDY202				2883
258234	ANA73	MIG		194				pg/ml	pg/ml	2	2	EXP13808	120				CS957	CONTROL SAMPLE	SDY202				2883
258235	ANA20	MIP1A		194				pg/ml	pg/ml	11	11	EXP13808	279				CS957	CONTROL SAMPLE	SDY202				2883
258236	ANA24	MIP1B		194				pg/ml	pg/ml	23	23	EXP13808	323				CS957	CONTROL SAMPLE	SDY202				2883
258237	ANA699	NGF		194				pg/ml	pg/ml	13	13	EXP13808	36				CS957	CONTROL SAMPLE	SDY202				2883
258238	ANA708	PAI1		194				pg/ml	pg/ml	1111	1111	EXP13808	9143				CS957	CONTROL SAMPLE	SDY202				2883
258239	ANA202	PDGFBB		194				pg/ml	pg/ml	371	371	EXP13808	704				CS957	CONTROL SAMPLE	SDY202				2883
