EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES860391	TRT495
ES860404	TRT492
ES860405	TRT1753
ES860408	TRT494
ES860411	TRT1753
ES860425	TRT1755
ES860426	TRT494
ES860441	TRT1753
ES860477	TRT1753
ES860489	TRT1753
ES860499	TRT495
ES860508	TRT1754
ES860509	TRT1755
ES860535	TRT495
ES860555	TRT1753
ES860569	TRT1755
ES860573	TRT1753
ES860574	TRT1754
ES860584	TRT492
ES860588	TRT494
ES860594	TRT494
ES860601	TRT495
ES860603	TRT1753
ES860609	TRT1753
ES860624	TRT494
ES860628	TRT1754
ES860632	TRT492
ES860645	TRT1753
ES815493	TRT1609
ES815503	TRT1609
ES815507	TRT1609
ES815510	TRT1609
ES815516	TRT1609
ES815529	TRT1609
ES815543	TRT1609
ES815549	TRT1609
ES815558	TRT1609
ES815564	TRT1609
ES815571	TRT1609
ES815597	TRT1609
ES815600	TRT1609
ES815624	TRT1609
ES815628	TRT1609
ES815636	TRT1609
ES815641	TRT1609
ES815255	TRT1609
ES815257	TRT1609
ES815264	TRT1609
ES815266	TRT1609
ES815283	TRT1609
ES815296	TRT1609
ES815301	TRT1609
ES815307	TRT1609
ES815309	TRT1609
ES815310	TRT1609
ES815329	TRT1609
ES815341	TRT1609
ES815345	TRT1609
ES815356	TRT1609
ES815361	TRT1609
ES815368	TRT1609
ES815373	TRT1609
ES815382	TRT1609
ES815388	TRT1609
ES815399	TRT1609
ES815405	TRT1609
ES815407	TRT1609
ES815413	TRT1609
ES815416	TRT1609
ES815418	TRT1609
ES815424	TRT1609
ES815427	TRT1609
ES815435	TRT1609
ES815439	TRT1609
ES815449	TRT1609
ES815452	TRT1609
ES815462	TRT1609
ES815465	TRT1609
ES815471	TRT1609
ES815478	TRT1609
ES774501	TRT1191
ES860650	TRT492
ES860659	TRT1755
ES860664	TRT1754
ES860669	TRT1753
ES860670	TRT1754
ES860677	TRT1755
ES860690	TRT494
ES860696	TRT494
ES860702	TRT494
ES860703	TRT495
ES860706	TRT1754
ES860715	TRT495
ES860718	TRT1754
