REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR12241	ESR12209	2799
ESR12241	ESR12210	2799
ESR12241	ESR12211	2799
ESR12241	ESR12212	2799
ESR12241	ESR12213	2799
ESR12241	ESR12214	2799
ESR12241	ESR12215	2799
ESR12241	ESR12216	2799
ESR12241	ESR12217	2799
ESR12241	ESR12225	2799
ESR12242	ESR12217	2799
ESR12242	ESR12218	2799
ESR12242	ESR12219	2799
ESR12242	ESR12220	2799
ESR12242	ESR12221	2799
ESR12242	ESR12222	2799
ESR12242	ESR12223	2799
ESR12242	ESR12224	2799
ESR12242	ESR12225	2799
ESR12243	ESR12225	2799
ESR12243	ESR12226	2799
ESR12243	ESR12227	2799
ESR12243	ESR12228	2799
ESR12243	ESR12229	2799
ESR12243	ESR12230	2799
ESR12243	ESR12231	2799
ESR12243	ESR12232	2799
ESR12243	ESR12233	2799
ESR12243	ESR12234	2799
ESR12244	ESR12217	2799
ESR12244	ESR12225	2799
ESR12244	ESR12235	2799
ESR12244	ESR12236	2799
ESR12244	ESR12237	2799
ESR12244	ESR12238	2799
ESR12244	ESR12239	2799
ESR12244	ESR12240	2799
