FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1122027	CD19+	CD19+	ANA805	553802
1122048	CD24+	CD24+	ANA807	553805
1122050	CD3-	CD3-	ANA809	553806
1122052	CD38+	CD38+	ANA808	553806
1122067	CD14-	CD14-	ANA804	553809
1122072	CD14-	CD14-	ANA804	553810
1122077	CD14-	CD14-	ANA804	553811
1122078	CD20+	CD20+	ANA806	553811
1122079	CD19+	CD19+	ANA805	553812
1122092	CD27+	CD27+	ANA40	553814
1122095	CD19+	CD19+	ANA805	553815
1122108	CD3-	CD3-	ANA809	553817
1122120	CD11c-	CD11c-	ANA814	553819
1122124	CD11c-	CD11c-	ANA814	553820
1122132	HLADR+	HLA-DR+	ANA812	553822
1122163	CD11c+	CD11c+	ANA814	553828
1122176	HLADR+	HLA-DR+	ANA812	553831
1122187	BDCA2, CD303-	BDCA2-	ANA870	553833
1122190	BDCA1+	CD1c+	ANA895	553833
1122194	CD11c+	CD11c+	ANA814	553834
1122200	BDCA2, CD303-	BDCA2-	ANA870	553835
1122208	CD11c+	CD11c+	ANA814	553836
1122214	BDCA2, CD303-	BDCA2-	ANA870	553837
1122235	BDCA2, CD303-	BDCA2-	ANA870	553840
1122247	HLADR+	HLA-DR+	ANA812	553842
1122250	BDCA3+	BDCA3+	ANA894	553842
1122258	BDCA1-	CD1c-	ANA895	553843
1122268	HLADR+	HLA-DR+	ANA812	553845
1122272	BDCA1-	CD1c-	ANA895	553845
1122274		Lin1-		553846
1122281	CD3+	CD3+	ANA809	553847
1122313	CD278+	ICOS+	ANA898	553855
1122317	CXCR5+	CXCR5+	ANA78	553856
1122335	CCR6-	CCR6-	ANA36	553858
1122350	CCR6+	CCR6+	ANA36	553860
1122374	HLADR+	HLA-DR+	ANA812	553863
1122383	CD3+	CD3+	ANA809	553865
1122390	CD3+	CD3+	ANA809	553866
1122391	CD4+	CD4+	ANA41	553866
1122392	CD8-	CD8-	ANA810	553866
1122404	CCR6-	CCR6-	ANA36	553867
1122408	CD8-	CD8-	ANA810	553868
1122413	CD8-	CD8-	ANA810	553869
1122421	CD45RA-	CD45RA-	ANA816	553870
1122422	CD278+	ICOS+	ANA898	553870
1122429	CCR6-	CCR6-	ANA36	553871
1122438	CD3+	CD3+	ANA809	553873
1122457	CD45RA-	CD45RA-	ANA816	553875
1122458	CXCR3+	CXCR3+	ANA76	553875
1122481	CXCR3-	CXCR3-	ANA76	553878
1122490	CCR6+	CCR6+	ANA36	553879
1122496	CD45RA-	CD45RA-	ANA816	553880
1122506	HLADR+	HLA-DR+	ANA812	553881
1122512	CXCR3-	CXCR3-	ANA76	553882
1122513	CCR6-	CCR6-	ANA36	553882
1122526	CD3+	CD3+	ANA809	553886
1122539	HLADR+	HLA-DR+	ANA812	553889
1122551	CD16-	CD16-	ANA811	553893
1122556	HLADR+	HLA-DR+	ANA812	553895
1122586	CD11b-	CD11b-	ANA878	553902
1122596	CD14+	CD14+	ANA804	553906
1122599	CD14+	CD14+	ANA804	553907
1122605	CD16+	CD16+	ANA811	553908
1122606	B7-2+	CD86+	ANA868	553908
1122607	CD14+	CD14+	ANA804	553909
1122622	SLAN+	SLAN+	ANA906	553912
1122625	CD16+	CD16+	ANA811	553913
1122634	CD62L+	CD62L+	ANA712	553915
1122637	CD16+	CD16+	ANA811	553916
1122649	CD16-	CD16- granulocyte	ANA811	553921
1122680	CD19+	CD19+	ANA805	553930
1122697	CD19+	CD19+	ANA805	553933
1122702	CD19+	CD19+	ANA805	553934
1122703	CD3-	CD3-	ANA809	553934
1122711	IgD-	IgD-	ANA813	553935
1122714	CD14-	CD14-	ANA804	553936
1122717	CD19+	CD19+	ANA805	553937
1122720	CD20+	CD20+	ANA806	553937
1122723	CD14-	CD14-	ANA804	553938
1122725	CD19+	CD19+	ANA805	553939
1122732	CD3-	CD3-	ANA809	553940
1122737	CD19+	CD19+	ANA805	553941
1122748	B7-2+	CD86+	ANA868	553942
1122752	CD20+	CD20+	ANA806	553943
1122756	CD14-	CD14-	ANA804	553944
1122758	B7-2+	CD86+	ANA868	553944
1122768		Lin1-		553947
1122787	B7-2+	CD86+	ANA868	553950
1122795	BDCA2, CD303-	BDCA2-	ANA870	553952
1122802		Lin1-		553954
1122804	BDCA2, CD303-	BDCA2-	ANA870	553954
1122805	CD11c+	CD11c+	ANA814	553954
1122829	BDCA2, CD303-	BDCA2-	ANA870	553959
1122836	CD11c+	CD11c+	ANA814	553960
1122844	BDCA3-	BDCA3-	ANA894	553961
1122854		Lin1-		553963
1122856	BDCA2, CD303-	BDCA2-	ANA870	553963
1122863	BDCA2, CD303-	BDCA2-	ANA870	553964
1122867	B7-2+	CD86+	ANA868	553964
1122892	BDCA3+	BDCA3+	ANA894	553968
1122898	CD11c+	CD11c+	ANA814	553969
1122907	BDCA1-	CD1c-	ANA895	553970
1122925	BDCA2, CD303-	BDCA2-	ANA870	553973
1122926	CD11c+	CD11c+	ANA814	553973
1122938	CD3+	CD3+	ANA809	553978
1122947	CD8-	CD8-	ANA810	553980
1122958	CD45RA-	CD45RA-	ANA816	553982
1122960	CD3+	CD3+	ANA809	553983
1122970	CD45RA-	CD45RA-	ANA816	553984
1122985	CD45RA-	CD45RA-	ANA816	553986
1122987	CCR6-	CCR6-	ANA36	553986
1123010	CCR6+	CCR6+	ANA36	553989
1123013	CD4+	CD4+	ANA41	553990
1123028	CD4+	CD4+	ANA41	553992
1123029	CD8-	CD8-	ANA810	553992
1123030	CXCR5+	CXCR5+	ANA78	553992
1123033	CCR6+	CCR6+	ANA36	553992
1123034	CD278+	ICOS+	ANA898	553992
1123038	CXCR5+	CXCR5+	ANA78	553993
1123042	CD3+	CD3+	ANA809	553994
1123044	CD8-	CD8-	ANA810	553994
1123046	CD45RA-	CD45RA-	ANA816	553994
1123055	CXCR3-	CXCR3-	ANA76	553995
1123056	CCR6-	CCR6-	ANA36	553995
1123073	CD45RA-	CD45RA-	ANA816	553998
1123080	CXCR3+	CXCR3+	ANA76	553999
1123084	CD8-	CD8-	ANA810	554000
1123088	CCR6-	CCR6-	ANA36	554000
1123095	CXCR3+	CXCR3+	ANA76	554001
1123102	CD45RA-	CD45RA-	ANA816	554002
1123110	CXCR3+	CXCR3+	ANA76	554003
1123115	CD8-	CD8-	ANA810	554004
1123143	CD278+	ICOS+	ANA898	554007
1123145	CD4+	CD4+	ANA41	554008
1123153	CD8-	CD8-	ANA810	554009
1123154	CXCR5-	CXCR5-	ANA78	554009
1123173	CCR6+	CCR6+	ANA36	554012
1123174	CD3+	CD3+	ANA809	554013
1123178	CD3+	CD3+	ANA809	554014
1123187	CD4-	CD4-	ANA41	554016
1123191	HLADR+	HLA-DR+	ANA812	554017
1123198	CD14+	CD14+	ANA804	554020
1123219	CD14+	CD14+	ANA804	554026
1123227	CD14+	CD14+	ANA804	554028
1123242	CD14+	CD14+	ANA804	554032
1123247	CD16+	CD16+	ANA811	554033
1123257	CD16+	CD16+	ANA811	554036
1123264	HLADR+	HLA-DR+	ANA812	554038
1123288	HLADR+	HLA-DR+	ANA812	554044
1123289	CD16+	CD16+	ANA811	554044
1123291	CD14+	CD14+	ANA804	554045
1123308	CD11b+	CD11b+ granulocyte	ANA878	554053
1123312	CD11b-	CD11b- granulocyte	ANA878	554055
1123317	CD3-	CD3-	ANA809	554057
1123318	CD14-	CD14-	ANA804	554057
1123325	CD3-	CD3-	ANA809	554059
1123326	CD14-	CD14-	ANA804	554059
1123327	CD27+	CD27+	ANA40	554059
1123336	CD3-	CD3-	ANA809	554061
1123346	CD19+	CD19+	ANA805	554063
1123347	CD3-	CD3-	ANA809	554063
1123349	CD38+	CD38+	ANA808	554063
1123361	IgD+	IgD+	ANA813	554065
1123365	CD27+	CD27+	ANA40	554066
1123367	CD19+	CD19+	ANA805	554067
1123371	IgD-	IgD-	ANA813	554067
1123378	CD3-	CD3-	ANA809	554069
1123395	IgD+	IgD+	ANA813	554072
1123396	B7-2+	CD86+	ANA868	554072
1123399	CD14-	CD14-	ANA804	554073
1123403	CD19+	CD19+	ANA805	554074
1123405	CD14-	CD14-	ANA804	554074
1123407	IgD-	IgD-	ANA813	554074
1123416	CD14-	CD14-	ANA804	554076
1123455	BDCA2, CD303-	BDCA2-	ANA870	554084
1123461	CD2-	CD2-	ANA860	554085
1123481	B7-2+	CD86+	ANA868	554089
1123492	BDCA1+	CD1c+	ANA895	554091
1123493		Lin1-		554092
1123494	HLADR+	HLA-DR+	ANA812	554092
1123501	HLADR+	HLA-DR+	ANA812	554093
1123504	BDCA3-	BDCA3-	ANA894	554093
1123528		Lin1-		554097
1123552	BDCA3+	BDCA3+	ANA894	554100
1123561	CD40+	CD40+	ANA42	554101
1123567	BDCA1-	CD1c-	ANA895	554102
1123569		Lin1-		554103
1123589	CD4+	CD4+	ANA41	554108
