EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES1003639	578258	FCM
ES1003640	578261	FCM
ES1003641	578263	FCM
ES1003647	578274	FCM
ES1003648	578276	FCM
ES1003649	578277	FCM
ES1003649	578261	FCM
ES1003655	578288	FCM
ES1003659	578295	FCM
ES1003662	578300	FCM
ES1003664	578305	FCM
ES1003668	578310	FCM
ES1003675	578323	FCM
ES1003676	578324	FCM
ES1003686	578339	FCM
ES1003704	578370	FCM
ES1003706	578339	FCM
ES1003708	578375	FCM
ES1003708	578374	FCM
ES1003710	578378	FCM
ES1003718	578389	FCM
ES1003719	578390	FCM
ES1003726	578400	FCM
ES1003731	578407	FCM
ES1003732	578318	FCM
ES1003739	578418	FCM
ES1003746	578426	FCM
ES1003751	578303	FCM
ES1003753	578436	FCM
ES1003755	578420	FCM
ES1003756	578439	FCM
ES1003756	578397	FCM
ES1003766	578377	FCM
ES1003772	578457	FCM
ES1003786	578475	FCM
ES736116	388515	HAI
ES736121	388515	HAI
ES736134	388515	HAI
ES736135	388515	HAI
ES736151	388515	HAI
ES736156	388515	HAI
ES736165	388515	HAI
ES736169	388515	HAI
ES736170	388515	HAI
ES736172	388515	HAI
ES736185	388515	HAI
ES736186	388515	HAI
ES736189	388515	HAI
ES1005343	578403	FCM
ES1005351	580059	FCM
ES1005373	580081	FCM
ES1005376	580084	FCM
ES1005378	580086	FCM
ES1005381	580089	FCM
ES1005387	580095	FCM
ES1005391	580099	FCM
ES1005395	580103	FCM
ES1005400	578489	FCM
ES1005408	578458	FCM
ES1005413	580121	FCM
ES1005414	580122	FCM
ES1005416	578403	FCM
ES1005418	578330	FCM
ES1005420	580128	FCM
ES1005425	580133	FCM
ES1005426	578456	FCM
ES1005431	580139	FCM
ES1005435	578476	FCM
ES1005441	578367	FCM
ES1005443	578403	FCM
ES1005447	578394	FCM
ES1005453	580161	FCM
ES1005454	578311	FCM
ES1005457	580165	FCM
ES1005458	578292	FCM
ES1005460	580168	FCM
ES1005467	580175	FCM
ES1005475	578318	FCM
ES1005475	580183	FCM
ES1005479	580187	FCM
ES1005482	578397	FCM
ES1005482	580190	FCM
ES1005488	578507	FCM
ES1005490	580198	FCM
ES1005493	578414	FCM
ES1005495	578497	FCM
ES1005495	580203	FCM
ES1005505	578295	FCM
ES1005505	580213	FCM
ES1005507	580215	FCM
ES1005509	580217	FCM
ES1005516	580224	FCM
ES1005518	578308	FCM
ES1005521	580229	FCM
ES1005522	580230	FCM
ES1005523	578330	FCM
ES1005528	580236	FCM
ES1004614	579322	FCM
ES1004626	578279	FCM
ES1004630	579338	FCM
ES1004633	578313	FCM
ES1004635	579343	FCM
ES1004636	579344	FCM
ES1004639	578322	FCM
ES1004645	579353	FCM
ES1004662	579370	FCM
ES1004665	578420	FCM
ES1004666	578322	FCM
ES1004672	578461	FCM
ES1004672	579380	FCM
ES1004674	578320	FCM
ES1004676	578397	FCM
ES1004679	579387	FCM
ES1004681	578412	FCM
ES1004686	578380	FCM
ES1004691	578476	FCM
ES1004695	578456	FCM
ES1004703	579411	FCM
ES1004710	579418	FCM
ES1004713	579421	FCM
ES1004719	578494	FCM
ES1004724	579432	FCM
ES1004732	578370	FCM
ES1004732	579440	FCM
ES1004746	578377	FCM
ES1004750	579458	FCM
ES1004752	578308	FCM
ES1004758	579466	FCM
ES1004774	578342	FCM
ES1004775	579483	FCM
ES1004776	578353	FCM
ES1004781	579489	FCM
ES1004784	578301	FCM
ES1004785	578261	FCM
ES1004793	578311	FCM
ES1004795	578326	FCM
ES1004796	579504	FCM
ES1004797	578297	FCM
ES1004805	579513	FCM
ES1004808	578451	FCM
ES1004811	578279	FCM
ES1004812	579520	FCM
ES1004816	578382	FCM
ES1004819	578391	FCM
ES1004824	578577	FCM
ES1004828	578267	FCM
ES1004829	578478	FCM
ES1004833	578584	FCM
ES1004835	578474	FCM
ES1004840	578646	FCM
ES1004846	579554	FCM
ES1004849	578669	FCM
ES1004851	578283	FCM
ES1004852	579560	FCM
ES1004856	578290	FCM
ES1004857	579565	FCM
ES1004860	578320	FCM
ES1004866	578346	FCM
ES1004866	579574	FCM
ES1004867	578387	FCM
ES1004869	578344	FCM
ES1004870	578412	FCM
ES1004871	579579	FCM
ES1004879	578375	FCM
ES1004879	579587	FCM
ES1004886	578355	FCM
ES1004896	579604	FCM
ES1004897	578308	FCM
ES1003790	578481	FCM
ES1003794	578486	FCM
ES1003799	578320	FCM
ES1003799	578492	FCM
ES1003800	578493	FCM
ES1003803	578382	FCM
ES1003803	578498	FCM
ES1003804	578365	FCM
ES1003810	578269	FCM
ES1003813	578509	FCM
ES1003815	578297	FCM
ES1003826	578263	FCM
ES1003827	578290	FCM
ES1003827	578525	FCM
ES1003828	578380	FCM
ES1003831	578515	FCM
ES1003839	578538	FCM
ES1003840	578483	FCM
ES1003853	578351	FCM
ES1003854	578478	FCM
ES1003855	578288	FCM
ES1003857	578330	FCM
ES1003859	578561	FCM
ES1003860	578562	FCM
ES1003862	578564	FCM
ES1003862	578536	FCM
ES1003865	578567	FCM
ES1003866	578568	FCM
ES1003872	578281	FCM
ES1003872	578574	FCM
ES1003880	578584	FCM
ES1003884	578588	FCM
ES1003887	578311	FCM
ES1003888	578584	FCM
ES1003903	578476	FCM
ES1003909	578476	FCM
ES1003911	578478	FCM
ES1003914	578618	FCM
ES1003919	578624	FCM
ES1003928	578367	FCM
ES1003931	578636	FCM
ES1003933	578638	FCM
ES1003936	578401	FCM
ES1003937	578412	FCM
ES1003952	578659	FCM
ES1003956	578271	FCM
ES1003960	578667	FCM
ES1003969	578677	FCM
ES1003974	578682	FCM
ES1003977	578305	FCM
ES1003981	578290	FCM
ES1003982	578261	FCM
ES1003986	578694	FCM
ES1003988	578696	FCM
ES1003991	578301	FCM
ES1003995	578703	FCM
ES1003996	578704	FCM
ES1003997	578705	FCM
ES1004351	579059	FCM
ES1004352	579060	FCM
ES1004353	578365	FCM
ES1004353	579061	FCM
ES1004356	579064	FCM
ES1004358	578299	FCM
ES1004358	579066	FCM
ES1004362	579070	FCM
ES1004369	579077	FCM
ES1004370	579078	FCM
ES1004372	579080	FCM
ES1004374	579082	FCM
ES1004375	578301	FCM
ES1004380	578494	FCM
ES1004381	578360	FCM
ES1004384	579092	FCM
ES1004385	579093	FCM
ES1004391	579099	FCM
ES1004393	578259	FCM
ES1004395	578285	FCM
ES1004404	579112	FCM
ES1004407	578387	FCM
ES1004411	579119	FCM
ES1004412	579120	FCM
ES1004413	578269	FCM
ES1004416	579124	FCM
ES1004433	579141	FCM
ES1004434	579142	FCM
ES1004435	578305	FCM
ES1004438	579146	FCM
ES1004446	578263	FCM
ES1004447	578288	FCM
ES1004453	578308	FCM
ES1004463	578267	FCM
ES1004466	579174	FCM
ES1004467	579175	FCM
ES1004471	578275	FCM
ES1004476	579184	FCM
ES1004477	578410	FCM
ES1004480	578456	FCM
ES1004484	578318	FCM
ES1004493	579201	FCM
ES1004494	579202	FCM
ES1004497	578326	FCM
ES1004502	578387	FCM
ES1004502	579210	FCM
ES1004509	578458	FCM
ES1004516	579224	FCM
ES1004517	579225	FCM
ES1004525	579233	FCM
ES1004530	579238	FCM
ES1004532	578497	FCM
ES1004533	578290	FCM
ES1004538	579246	FCM
ES1004540	578377	FCM
ES1004545	578458	FCM
ES1004551	578377	FCM
ES1004552	578456	FCM
ES1004556	579264	FCM
ES1004559	578391	FCM
ES1004565	578348	FCM
ES1004575	579283	FCM
ES1004581	578328	FCM
ES1004595	578290	FCM
ES1004595	579303	FCM
ES1004598	579306	FCM
ES1004600	578456	FCM
ES1004601	578358	FCM
ES1004607	579315	FCM
ES1004014	578722	FCM
ES1004019	578365	FCM
ES1004024	578732	FCM
ES1004026	578265	FCM
ES1004026	578734	FCM
ES1004028	578429	FCM
ES1004029	578351	FCM
ES1004033	578741	FCM
ES1004034	578382	FCM
ES1004034	578742	FCM
ES1004037	578745	FCM
ES1004038	578746	FCM
ES1004042	578750	FCM
ES1004043	578751	FCM
ES1004045	578753	FCM
ES1004054	578271	FCM
ES1004055	578472	FCM
ES1004057	578377	FCM
ES1004058	578259	FCM
ES1004061	578769	FCM
ES1004062	578770	FCM
ES1004066	578774	FCM
ES1004068	578375	FCM
ES1004080	578788	FCM
ES1004087	578355	FCM
ES1004087	578795	FCM
ES1004093	578489	FCM
ES1004098	578806	FCM
ES1004099	578807	FCM
ES1004102	578810	FCM
ES1004107	578815	FCM
ES1004108	578257	FCM
ES1004116	578824	FCM
ES1004118	578497	FCM
ES1004118	578826	FCM
ES1004119	578476	FCM
ES1004121	578829	FCM
ES1004124	578832	FCM
ES1004127	578835	FCM
ES1004134	578842	FCM
ES1004135	578843	FCM
ES1004137	578387	FCM
ES1004142	578542	FCM
ES1004147	578548	FCM
ES1004148	578856	FCM
ES1004151	578859	FCM
ES1004155	578290	FCM
ES1004168	578265	FCM
ES1004168	578876	FCM
ES1004169	578877	FCM
ES1004901	579609	FCM
ES1004902	579610	FCM
ES1004903	578297	FCM
ES1004904	579612	FCM
ES1004907	578489	FCM
ES1004907	579615	FCM
ES1004910	579618	FCM
ES1004918	579626	FCM
ES1004919	579627	FCM
ES1004928	578375	FCM
ES1004929	578363	FCM
ES1004931	578401	FCM
ES1004934	578297	FCM
ES1004942	579650	FCM
ES1004943	578283	FCM
ES1004943	579651	FCM
ES1004949	578370	FCM
ES1004951	579659	FCM
ES1004952	579660	FCM
ES1004955	578358	FCM
ES1004963	579671	FCM
ES1004965	579673	FCM
ES1004971	579679	FCM
ES1004976	578382	FCM
ES1004977	578461	FCM
ES1004979	579687	FCM
ES1004983	578456	FCM
ES1004983	579691	FCM
ES1004999	578339	FCM
ES1005001	579709	FCM
ES1005010	578315	FCM
ES1005016	579724	FCM
ES1005025	578377	FCM
ES1005026	579734	FCM
ES1005027	578397	FCM
ES1005028	578351	FCM
ES1005032	578420	FCM
ES1005040	579748	FCM
ES1005042	579750	FCM
ES1005058	579766	FCM
ES1005063	578489	FCM
ES1005063	579771	FCM
ES1005064	578456	FCM
ES1005072	579780	FCM
ES1005073	578431	FCM
ES1005076	578360	FCM
ES1005083	579791	FCM
ES1005090	579798	FCM
ES1005096	579804	FCM
ES1005097	579805	FCM
ES1005098	578337	FCM
ES1005103	579811	FCM
ES736500	388540	HAI
ES736503	388540	HAI
ES736522	388540	HAI
ES736525	388540	HAI
ES736526	388540	HAI
ES736528	388540	HAI
ES736531	388540	HAI
ES736538	388540	HAI
ES736545	388540	HAI
ES1005112	579820	FCM
ES1005115	579823	FCM
ES1005116	579824	FCM
ES1005121	578394	FCM
ES1005124	578507	FCM
ES1005125	579833	FCM
ES1005126	579834	FCM
ES1005129	579837	FCM
ES1005130	578507	FCM
ES1005136	578353	FCM
ES1005139	578303	FCM
ES1005140	578360	FCM
ES1005140	579848	FCM
ES1005141	579849	FCM
ES1005142	578401	FCM
ES1005147	579855	FCM
ES1005149	579857	FCM
ES1005153	578507	FCM
ES1005163	579871	FCM
ES1005166	578560	FCM
ES1005169	579877	FCM
ES1005175	578560	FCM
ES1005176	579884	FCM
ES1005184	579892	FCM
ES1005209	578387	FCM
ES1005210	578478	FCM
ES1005212	578261	FCM
ES1005212	579920	FCM
ES1005214	578507	FCM
ES1005214	579922	FCM
ES1005216	579924	FCM
ES1005217	578669	FCM
ES1005221	579929	FCM
ES1005227	578365	FCM
ES1005227	579935	FCM
ES1005228	578451	FCM
ES1005231	578267	FCM
ES1005236	578474	FCM
ES1005238	579946	FCM
ES1005244	578318	FCM
ES1005248	579956	FCM
ES1005254	579962	FCM
ES1005259	578295	FCM
ES1005266	579974	FCM
ES1005267	578308	FCM
ES1005276	579984	FCM
ES1005283	579991	FCM
ES1005289	578288	FCM
ES1005291	578301	FCM
ES1005291	579999	FCM
ES1005292	580000	FCM
ES1005296	578483	FCM
ES1005297	578322	FCM
ES1005301	580009	FCM
ES1005312	578259	FCM
ES1005313	580021	FCM
ES1005315	580023	FCM
ES1005319	580027	FCM
ES1005324	578518	FCM
ES1005325	580033	FCM
ES1005329	578271	FCM
