REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12281				BD-103-0604				N		Illumina	HumanHT-12 v4.0 Expression BeadChip Kit		Array		2668
ESR15671	ANA40	CD27		555440	anti-human CD27			N	3217964	BD Bioscience	RA_Flu_FCM_Y2_CD27_3217964	FITC	Flow Cytometry		2668
ESR15672	ANA37	CCR7		560765	anti-human CCR7			N	3347736	BD Bioscience	RA_Flu_FCM_Y2_CCR7_3347736	PE	Flow Cytometry		2668
ESR15673		Live-Dead Fixable Red		L23102	Live-Dead Fixable Red			N	NA	Molecular Probes	RA_Flu_FCM_Y2_Live-Dead Fixable Red_NA	PETxR	Flow Cytometry		2668
ESR15674	ANA41	CD4		341654	anti-human CD4			N	3262932	BD Bioscience	RA_Flu_FCM_Y2_CD4_3262932	PCP5.5	Flow Cytometry		2668
ESR15675	ANA816	CD45RA		337167	anti-human CD45RA			N	3288914	BD Bioscience	RA_Flu_FCM_Y2_CD45RA_3288914	PC7	Flow Cytometry		2668
ESR15676	ANA808	CD38		340439	anti-human CD38			N	2116750	BD Bioscience	RA_Flu_FCM_Y2_CD38_2116750	APC	Flow Cytometry		2668
ESR15677	ANA863	CD28		302920	anti-human CD28			N	B161718	Biolegend	RA_Flu_FCM_Y2_CD28_B161718	AF-700	Flow Cytometry		2668
ESR15678	ANA810	CD8		560179	anti-human CD8			N	2104653	BD Bioscience	RA_Flu_FCM_Y2_CD8_2104653	APC-H7	Flow Cytometry		2668
ESR15679	ANA809	CD3		560366	anti-human CD3			N	3249776	BD Bioscience	RA_Flu_FCM_Y2_CD3_3249776	V450	Flow Cytometry		2668
ESR15680	ANA812	HLA-DR		561224	anti-human MHC Class II			N	28507	BD Bioscience	RA_Flu_FCM_Y2_HLA-DR_28507	V500	Flow Cytometry		2668
ESR15681	ANA78	CXCR5		558112	anti-human CXCR5			N	17606	BD Bioscience	RA_Flu_FCM_Y2_CXCR5_17606	FITC	Flow Cytometry		2668
ESR15682	ANA76	CXCR3		557185	anti-human CXCR3			N	3186915	BD Bioscience	RA_Flu_FCM_Y2_CXCR3_3186915	PE	Flow Cytometry		2668
ESR15683		Live-Dead Fixable Red		L23102	Live-Dead Fixable Red			N	1252216	Molecular Probes	RA_Flu_FCM_Y2_Live-Dead Fixable Red_1252216	PETxR	Flow Cytometry		2668
ESR15684	ANA34	CCR4		560726	anti-human CCR4			N	3007853	BD Bioscience	RA_Flu_FCM_Y2_CCR4_3007853	PCP5.5	Flow Cytometry		2668
ESR15685	ANA36	CCR6		560620	anti-human CCR6			N	3231784	BD Bioscience	RA_Flu_FCM_Y2_CCR6_3231784	PC7	Flow Cytometry		2668
ESR15686	ANA818	PD1		39743	anti-human PD1			N	2116750	BD Bioscience	RA_Flu_FCM_Y2_PD1_2116750	APC	Flow Cytometry		2668
ESR15687	ANA822	CD45RO		561136	anti-human CD45RO			N	3242705	BD Bioscience	RA_Flu_FCM_Y2_CD45RO_3242705	AF-700	Flow Cytometry		2668
ESR15688	ANA41	CD4		560768	anti-human CD4			N	2097508	BD Bioscience	RA_Flu_FCM_Y2_CD4_2097508	V500	Flow Cytometry		2668
ESR15689		CD39		561444	anti-human CD39			N	3277711	BD Bioscience	RA_Flu_FCM_Y2_CD39_3277711	FITC	Flow Cytometry		2668
ESR15690	ANA163	CD25		341009	anti-human CD25			N	3318962	BD Bioscience	RA_Flu_FCM_Y2_CD25_3318962	PE	Flow Cytometry		2668
ESR15691	ANA34	CCR4		557864	anti-human CCR4			N	3165621	BD Bioscience	RA_Flu_FCM_Y2_CCR4_3165621	PC7	Flow Cytometry		2668
ESR15692		CD127 Alexa-647		560905	anti-human CD127			N	3168701	BD Bioscience	RA_Flu_FCM_Y2_CD127 Alexa-647_3168701	APC	Flow Cytometry		2668
ESR15693		Fox P3		56-4776	anti-human FoxP3			N	E10352-1632	E-Bioscience	RA_Flu_FCM_Y2_Fox P3_E10352-1632	AF-700	Flow Cytometry		2668
ESR15694	ANA822	CD45RO		561137	anti-human CD45O			N	3281678	BD Bioscience	RA_Flu_FCM_Y2_CD45RO_3281678	APC-H7	Flow Cytometry		2668
ESR15695		CD21		340925	anti-human CD21			N	3340542	BD Bioscience	RA_Flu_FCM_Y2_CD21_3340542	FITC	Flow Cytometry		2668
ESR15696	ANA807	CD24		555428	anti-human CD24			N	2205927	BD Bioscience	RA_Flu_FCM_Y2_CD24_2205927	PE	Flow Cytometry		2668
ESR15697	ANA805	CD19		340951	anti-human CD19			N	2167866	BD Bioscience	RA_Flu_FCM_Y2_CD19_2167866	PCP5.5	Flow Cytometry		2668
ESR15698	ANA40	CD27		557864	anti-human CD27			N	3275654	BD Bioscience	RA_Flu_FCM_Y2_CD27_3275654	PC7	Flow Cytometry		2668
ESR15699		CD10		56-0106	anti-human CD10			N	E18186-101	E-Bioscience	RA_Flu_FCM_Y2_CD10_E18186-101	AF-700	Flow Cytometry		2668
