EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES850791	EXP13950	533146	MBAA	MBAA
ES850788	EXP13950	533146	MBAA	MBAA
ES850784	EXP13950	533146	MBAA	MBAA
ES850770	EXP13950	533146	MBAA	MBAA
ES850768	EXP13950	533146	MBAA	MBAA
ES850756	EXP13950	533146	MBAA	MBAA
ES850748	EXP13950	533146	MBAA	MBAA
ES850744	EXP13950	533146	MBAA	MBAA
ES850740	EXP13950	533146	MBAA	MBAA
ES850737	EXP13950	533146	MBAA	MBAA
ES850724	EXP13950	533146	MBAA	MBAA
ES850719	EXP13950	533146	MBAA	MBAA
ES851031	EXP13950	533146	MBAA	MBAA
ES851017	EXP13950	533146	MBAA	MBAA
ES851012	EXP13950	533146	MBAA	MBAA
ES851010	EXP13950	533146	MBAA	MBAA
ES851008	EXP13950	533146	MBAA	MBAA
ES851007	EXP13950	533146	MBAA	MBAA
ES851006	EXP13950	533146	MBAA	MBAA
ES851005	EXP13950	533146	MBAA	MBAA
ES850995	EXP13950	533146	MBAA	MBAA
ES850991	EXP13950	533146	MBAA	MBAA
ES850967	EXP13950	533146	MBAA	MBAA
ES850960	EXP13950	533146	MBAA	MBAA
ES850941	EXP13950	533146	MBAA	MBAA
ES850940	EXP13950	533146	MBAA	MBAA
ES850938	EXP13950	533146	MBAA	MBAA
ES850937	EXP13950	533146	MBAA	MBAA
ES850932	EXP13950	533146	MBAA	MBAA
ES850919	EXP13950	533146	MBAA	MBAA
ES850910	EXP13950	533146	MBAA	MBAA
ES850894	EXP13950	533146	MBAA	MBAA
ES850888	EXP13950	533146	MBAA	MBAA
ES850881	EXP13950	533146	MBAA	MBAA
ES850876	EXP13950	533146	MBAA	MBAA
ES850867	EXP13950	533146	MBAA	MBAA
ES850865	EXP13950	533146	MBAA	MBAA
ES850864	EXP13950	533146	MBAA	MBAA
ES850860	EXP13950	533146	MBAA	MBAA
ES850838	EXP13950	533146	MBAA	MBAA
ES850827	EXP13950	533146	MBAA	MBAA
ES850820	EXP13950	533146	MBAA	MBAA
ES851286	EXP13950	533146	MBAA	MBAA
ES851281	EXP13950	533146	MBAA	MBAA
ES851279	EXP13950	533146	MBAA	MBAA
ES851277	EXP13950	533146	MBAA	MBAA
ES851274	EXP13950	533146	MBAA	MBAA
ES851271	EXP13950	533146	MBAA	MBAA
ES851270	EXP13950	533146	MBAA	MBAA
ES851269	EXP13950	533146	MBAA	MBAA
ES851265	EXP13950	533146	MBAA	MBAA
ES851259	EXP13950	533146	MBAA	MBAA
ES851239	EXP13950	533146	MBAA	MBAA
ES851232	EXP13950	533146	MBAA	MBAA
ES851229	EXP13950	533146	MBAA	MBAA
ES851228	EXP13950	533146	MBAA	MBAA
ES851224	EXP13950	533146	MBAA	MBAA
ES851213	EXP13950	533146	MBAA	MBAA
ES851207	EXP13950	533146	MBAA	MBAA
ES851182	EXP13950	533146	MBAA	MBAA
ES851174	EXP13950	533146	MBAA	MBAA
ES851158	EXP13950	533146	MBAA	MBAA
ES851155	EXP13950	533146	MBAA	MBAA
ES851141	EXP13950	533146	MBAA	MBAA
ES851132	EXP13950	533146	MBAA	MBAA
ES851123	EXP13950	533146	MBAA	MBAA
ES851115	EXP13950	533146	MBAA	MBAA
ES851113	EXP13950	533146	MBAA	MBAA
ES851110	EXP13950	533146	MBAA	MBAA
ES851101	EXP13950	533146	MBAA	MBAA
ES851072	EXP13950	533146	MBAA	MBAA
ES851058	EXP13950	533146	MBAA	MBAA
