NAME	DESCRIPTION	DISPLAY	DISPLAY_ORDER	LINK
Northern_Blot	Northern blots are a derivative of Southern blots where RNA that has been size fractionated (often by 1-D gel electrophoresis) is immobilized on a substrate (e.g. a charged nylon membrane). The blot is(are) hybridized with a labeled probe(s). The position on the blot and the intensity of the label's signal can be used to estimate RNA size and concentration, respectively.	Y	29	http://purl.obolibrary.org/obo/OBI_0000860
Q-PCR	Quantitative Polymerase Chain Reaction is used to measure the gene expression of transcripts by comparing the number of cycles in a sample needed to reach a certain threshold value with the known quantities of a transcript needed to reach the same threshold.	Y	32	http://purl.obolibrary.org/obo/OBI_0000415
Sequencing	Sequencing is used to discover new sequence variants and to genotype a sample for known variants.	Y	34	http://purl.obolibrary.org/obo/OBI_0600047
Microscopy	Visualization of very small entities from cellular to sub-cellular and molecular resolution depending on technique.	Y	25	http://purl.obolibrary.org/obo/OBI_0400169
Molecular_Cloning	Molecular cloning refers to the procedure isolating a DNA sequence of interest and obtaining multiple copies of it in an organism.	Y	26	http://purl.obolibrary.org/obo/OBI_0600064
NMR	Nuclear Magnetic Resonance spectroscopy is a technique for determining the structure of organic compounds.	Y	27	http://purl.obolibrary.org/obo/OBI_0000623
Circular_Dichroism	Circular Dichroism is a form of spectroscopy used to determine the optical isomerism and secondary structure of molecules.	Y	12	http://en.wikipedia.org/wiki/Circular_Dichroism
Mass_Spectrometry	Mass spectrometry is an analytical technique used to measure the mass-to-charge ratio of ions.	Y	23	http://purl.obolibrary.org/obo/OBI_0000470
1D_Gel	One dimensional gels are used to separate an analyte using one physical feature of the analyte.	Y	8	http://purl.obolibrary.org/obo/OBI_0001121
2D_Gel	Two dimensional gels are used to separate an analyte using two physical features of the analyte.	Y	9	http://purl.obolibrary.org/obo/OBI_0001121
Yeast_Two_Hybrid	Two-hybrid screening is a molecular biology technique used to discover protein-protein interactions by testing for physical interactions (such as binding) between two proteins.	Y	39	http://purl.obolibrary.org/obo/OBI_0001679
Liquid_Chromatography	Chromatography is the collective term for a family of laboratory techniques for the separation of mixtures. It involves passing a mixture which contains the analyte through a stationary phase, which separates it from other molecules in the mixture and allows it to be isolated.	Y	22	http://purl.obolibrary.org/obo/OBI_0001057
HPLC	High Performace Liquid Chromotography is used to separate components of a mixture by using a variety of chemical interactions between the substance being analyzed (analyte) and the chromatography column.	Y	16	http://purl.obolibrary.org/obo/OBI_0001057
Immunoblot	a western blot analysis is an assay which allows detection of protein present in a extract resolved on polyacrylamide gel by electrophoresis, transfered to a membrane made of nitrocellulose or polyvinylidene difluoride and immobilized using formaldehyde based cross linking.	Y	17	http://purl.obolibrary.org/obo/OBI_0000854
