NAME	DESCRIPTION	VIRUS_NAME	CENTER_ID_NAME_SEASON_LIST	SEASON_LIST	LINK	SORT_ORDER
B/Massachusetts/2/2012	The virus strain name is: 'B/Massachusetts/2/2012'. The virus name : 'B', and season_list is: '2012-2013'.	B		2012-2013	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	12
B/Malaysia/2506/2004	The virus strain name is: 'B/Malaysia/2506/2004'. The virus name : 'B', and season_list is: '2007-2008'.	B	SDY61-Emory(2007-2008)	2007-2008	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	1
A/Solomon Islands/3/2006	The virus strain name is: 'A/Solomon Islands/3/2006'. The virus name : 'H1N1', and season_list is: '2007-2008'.	H1N1	SDY61-Emory(2007-2008)	2007-2008	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2
A/Wisconsin/67/2005	The virus strain name is: 'A/Wisconsin/67/2005'. The virus name : 'H3N2', and season_list is: '2007-2008'.	H3N2	SDY61-Emory(2007-2008)	2007-2008	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	3
B/Florida/4/2006	The virus strain name is: 'B/Florida/4/2006'. The virus name : 'B', and season_list is: '2008-2009'.	B	SDY212-Stanford(2008-2009),SDY269-Emory(2008-2009),SDY269LAIV-Emory(2008-2009)	2008-2009	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	4
A/Brisbane/59/2007	The virus strain name is: 'A/Brisbane/59/2007'. The virus name : 'H1N1', and season_list is: '2008-2009,2009-2010'.	H1N1	SDY212-Stanford(2008-2009),SDY269-Emory(2008-2009),SDY269LAIV-Emory(2008-2009),SDY180-Baylor(2009-2010)	2008-2009,2009-2010	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	5
A/Brisbane/10/2007	The virus strain name is: 'A/Brisbane/10/2007'. The virus name : 'H3N2', and season_list is: '2008-2009,2009-2010'.	H3N2	SDY212-Stanford(2008-2009),SDY269-Emory(2008-2009),SDY269LAIV-Emory(2008-2009),SDY180-Baylor(2009-2010)	2008-2009,2009-2010	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	6
B/Brisbane/60/2008	The virus strain name is: 'B/Brisbane/60/2008'. The virus name : 'B', and season_list is: '2009-2010'.	B	SDY180-Baylor(2009-2010),SDY63-Yale(2010-2011),SDY404-Yale(2011-2012) 	2009-2010	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	7
A/California/7/2009	The virus strain name is: 'A/California/7/2009'. The virus name : 'H1N1', and season_list is: '2010-2011,2011-2012,2012-2013'.	H1N1	SDY63-Yale(2010-2011),SDY67-Mayo(2010-2011),SDY404-Yale(2011-2012),SDY301-Baylor(2012-2013),SDY400-Yale(2012-2013)	2010-2011,2011-2012,2012-2013	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	8
A/Perth/16/2009	The virus strain name is: 'A/Perth/16/2009'. The virus name : 'H3N2', and season_list is: '2010-2011,2011-2012'.	H3N2	SDY63-Yale(2010-2011),SDY404-Yale(2011-2012)	2010-2011,2011-2012	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	9
B/Wisconsin/1/2010	The virus strain name is: 'B/Wisconsin/1/2010'. The virus name : 'B', and season_list is: '2012-2013'.	B	SDY301-Baylor(2012-2013),SDY400-Yale(2012-2013)	2012-2013	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	10
A/Victoria/361/2011	The virus strain name is: 'A/Victoria/361/2011'. The virus name : 'H3N2', and season_list is: '2012-2013'.	H3N2	SDY301-Baylor(2012-2013),SDY400-Yale(2012-2013)	2012-2013	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	11
