STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC6632	EXP13950	533146	MBAA	MBAA
SC6633	EXP13950	533146	MBAA	MBAA
SC6634	EXP13950	533146	MBAA	MBAA
SC6646	EXP13950	533146	MBAA	MBAA
SC6649	EXP13950	533146	MBAA	MBAA
SC6655	EXP13950	533146	MBAA	MBAA
SC6674	EXP13950	533146	MBAA	MBAA
SC6693	EXP13950	533146	MBAA	MBAA
SC6695	EXP13950	533146	MBAA	MBAA
SC6705	EXP13950	533146	MBAA	MBAA
SC6713	EXP13950	533146	MBAA	MBAA
SC6718	EXP13950	533146	MBAA	MBAA
SC6728	EXP13950	533146	MBAA	MBAA
SC6730	EXP13950	533146	MBAA	MBAA
SC6737	EXP13950	533146	MBAA	MBAA
SC6741	EXP13950	533146	MBAA	MBAA
SC6742	EXP13950	533146	MBAA	MBAA
SC6745	EXP13950	533146	MBAA	MBAA
SC6748	EXP13950	533146	MBAA	MBAA
SC6749	EXP13950	533146	MBAA	MBAA
SC6753	EXP13950	533146	MBAA	MBAA
SC6757	EXP13950	533146	MBAA	MBAA
SC6768	EXP13950	533146	MBAA	MBAA
SC6781	EXP13950	533146	MBAA	MBAA
SC6788	EXP13950	533146	MBAA	MBAA
SC6794	EXP13950	533146	MBAA	MBAA
SC6804	EXP13950	533146	MBAA	MBAA
SC6808	EXP13950	533146	MBAA	MBAA
SC6817	EXP13950	533146	MBAA	MBAA
SC6830	EXP13950	533146	MBAA	MBAA
SC6837	EXP13950	533146	MBAA	MBAA
SC6846	EXP13950	533146	MBAA	MBAA
SC6848	EXP13950	533146	MBAA	MBAA
SC6862	EXP13950	533146	MBAA	MBAA
SC6865	EXP13950	533146	MBAA	MBAA
SC6866	EXP13950	533146	MBAA	MBAA
SC6869	EXP13950	533146	MBAA	MBAA
SC6872	EXP13950	533146	MBAA	MBAA
SC6877	EXP13950	533146	MBAA	MBAA
SC6885	EXP13950	533146	MBAA	MBAA
SC6887	EXP13950	533146	MBAA	MBAA
SC6908	EXP13950	533146	MBAA	MBAA
SC6924	EXP13950	533146	MBAA	MBAA
SC6931	EXP13950	533146	MBAA	MBAA
SC6939	EXP13950	533146	MBAA	MBAA
SC6941	EXP13950	533146	MBAA	MBAA
SC6943	EXP13950	533146	MBAA	MBAA
SC6954	EXP13950	533146	MBAA	MBAA
SC6959	EXP13950	533146	MBAA	MBAA
SC6966	EXP13950	533146	MBAA	MBAA
SC6970	EXP13950	533146	MBAA	MBAA
SC6972	EXP13950	533146	MBAA	MBAA
SC6982	EXP13950	533146	MBAA	MBAA
SC6995	EXP13950	533146	MBAA	MBAA
SC7016	EXP13950	533146	MBAA	MBAA
