BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS752711	ES834908	EXP13921
BS752711	ES848195	EXP13922
BS752712	ES848206	EXP13922
BS752712	ES848204	EXP13922
BS752713	ES848207	EXP13922
BS752714	ES834933	EXP13921
BS752715	ES834940	EXP13921
BS752715	ES848222	EXP13922
BS752716	ES834943	EXP13921
BS752716	ES848226	EXP13922
BS752717	ES834952	EXP13921
BS752717	ES834951	EXP13921
BS752718	ES834961	EXP13921
BS752718	ES834959	EXP13921
BS752718	ES834955	EXP13921
BS752721	ES848256	EXP13922
BS752722	ES834983	EXP13921
BS752722	ES848262	EXP13922
BS752723	ES848269	EXP13922
BS752723	ES848267	EXP13922
BS752724	ES835002	EXP13921
BS752725	ES835006	EXP13921
BS752725	ES835005	EXP13921
BS752725	ES848284	EXP13922
BS752725	ES848279	EXP13922
BS752726	ES835013	EXP13921
BS752726	ES848288	EXP13922
BS752726	ES848286	EXP13922
BS752727	ES848296	EXP13922
BS752727	ES848293	EXP13922
BS752728	ES848300	EXP13922
BS752729	ES835037	EXP13921
BS752730	ES835039	EXP13921
BS752730	ES848311	EXP13922
BS752731	ES848320	EXP13922
BS752731	ES848317	EXP13922
BS752734	ES848184	EXP13922
BS752735	ES848431	EXP13922
BS752735	ES848430	EXP13922
BS752735	ES848421	EXP13922
BS752735	ES848419	EXP13922
BS752736	ES848456	EXP13922
BS752736	ES848414	EXP13922
BS752736	ES848411	EXP13922
BS752736	ES848406	EXP13922
BS752202	ES850725	EXP13950
BS752205	ES850736	EXP13950
BS752207	ES850742	EXP13950
BS752209	ES850746	EXP13950
BS752211	ES850758	EXP13950
BS752211	ES850757	EXP13950
BS752215	ES850770	EXP13950
BS752216	ES850771	EXP13950
BS752220	ES850784	EXP13950
BS752222	ES850790	EXP13950
BS752223	ES850794	EXP13950
BS752227	ES850811	EXP13950
BS752233	ES851180	EXP13950
BS752235	ES851187	EXP13950
BS752238	ES850848	EXP13950
BS752238	ES833781	EXP13915
BS752239	ES850852	EXP13950
BS752239	ES833782	EXP13915
BS752240	ES851189	EXP13950
BS752242	ES850860	EXP13950
BS752243	ES833786	EXP13915
BS752244	ES850865	EXP13950
BS752244	ES833787	EXP13915
BS752247	ES850876	EXP13950
BS752250	ES850883	EXP13950
BS752253	ES850894	EXP13950
BS752253	ES833796	EXP13915
BS752255	ES850899	EXP13950
BS752263	ES850923	EXP13950
BS752272	ES833815	EXP13915
BS752274	ES833817	EXP13915
BS752275	ES850960	EXP13950
BS752276	ES833819	EXP13915
BS752279	ES833822	EXP13915
BS752280	ES851231	EXP13950
BS752282	ES850979	EXP13950
BS752282	ES833825	EXP13915
BS752286	ES833829	EXP13915
BS752289	ES851005	EXP13950
BS752295	ES833838	EXP13915
BS752299	ES851034	EXP13950
BS752302	ES851041	EXP13950
BS752303	ES851044	EXP13950
BS752306	ES851053	EXP13950
BS752308	ES851059	EXP13950
BS752313	ES851074	EXP13950
BS752321	ES851300	EXP13950
BS752323	ES851306	EXP13950
BS752324	ES833867	EXP13915
BS752324	ES851105	EXP13950
BS752324	ES851104	EXP13950
BS752326	ES851110	EXP13950
BS752326	ES851314	EXP13950
BS752333	ES851133	EXP13950
BS752334	ES833877	EXP13915
BS752334	ES851134	EXP13950
BS752335	ES851139	EXP13950
BS752335	ES851331	EXP13950
BS752336	ES833879	EXP13915
BS752340	ES833883	EXP13915
BS752340	ES851153	EXP13950
BS752344	ES833887	EXP13915
BS752349	ES833892	EXP13915
BS752663	ES848437	EXP13922
BS752663	ES848435	EXP13922
BS752664	ES834581	EXP13921
BS752666	ES834592	EXP13921
BS752666	ES848321	EXP13922
BS752667	ES834602	EXP13921
BS752668	ES834610	EXP13921
BS752668	ES834608	EXP13921
BS752668	ES834606	EXP13921
BS752668	ES848336	EXP13922
BS752668	ES848334	EXP13922
BS752669	ES848340	EXP13922
BS752670	ES848347	EXP13922
BS752671	ES847996	EXP13922
BS752672	ES848000	EXP13922
BS752674	ES848357	EXP13922
BS752676	ES834663	EXP13921
BS752678	ES834678	EXP13921
BS752678	ES834676	EXP13921
BS752679	ES848385	EXP13922
BS752679	ES834685	EXP13921
BS752679	ES834684	EXP13921
BS752680	ES834691	EXP13921
BS752684	ES834719	EXP13921
BS752685	ES848042	EXP13922
BS752685	ES834725	EXP13921
BS752686	ES834732	EXP13921
BS752687	ES834741	EXP13921
BS752687	ES834738	EXP13921
BS752688	ES834748	EXP13921
BS752689	ES848057	EXP13922
BS752689	ES834758	EXP13921
BS752689	ES834754	EXP13921
BS752689	ES834753	EXP13921
BS752690	ES848068	EXP13922
BS752691	ES834768	EXP13921
BS752691	ES848070	EXP13922
BS752692	ES834773	EXP13921
BS752694	ES848091	EXP13922
BS752695	ES834798	EXP13921
BS752695	ES848095	EXP13922
BS752696	ES834804	EXP13921
BS752696	ES834801	EXP13921
BS752697	ES834814	EXP13921
BS752697	ES848109	EXP13922
BS752698	ES834821	EXP13921
BS752698	ES848115	EXP13922
BS752699	ES848122	EXP13922
BS752700	ES834831	EXP13921
BS752701	ES834842	EXP13921
BS752701	ES848131	EXP13922
BS752702	ES834848	EXP13921
BS752702	ES834845	EXP13921
BS752703	ES848144	EXP13922
BS752704	ES834861	EXP13921
BS752705	ES848155	EXP13922
BS752706	ES834873	EXP13921
BS752706	ES848160	EXP13922
BS752707	ES848169	EXP13922
BS752707	ES848167	EXP13922
BS752708	ES834890	EXP13921
BS752709	ES834898	EXP13921
BS752709	ES848177	EXP13922
BS769835	ES850809	EXP13950
BS769836	ES850816	EXP13950
BS769837	ES850821	EXP13950
BS769841	ES850831	EXP13950
BS769841	ES851178	EXP13950
BS769842	ES850837	EXP13950
BS769843	ES850843	EXP13950
BS769845	ES850855	EXP13950
BS769845	ES851191	EXP13950
BS769845	ES851190	EXP13950
BS769848	ES850873	EXP13950
BS769851	ES850892	EXP13950
BS769854	ES850910	EXP13950
BS769859	ES850940	EXP13950
BS769861	ES850952	EXP13950
BS769863	ES850964	EXP13950
BS769866	ES851239	EXP13950
BS769871	ES851244	EXP13950
BS769872	ES851021	EXP13950
BS769872	ES851020	EXP13950
BS769873	ES851250	EXP13950
BS769875	ES851042	EXP13950
BS769876	ES851260	EXP13950
BS769877	ES851283	EXP13950
BS769885	ES851310	EXP13950
BS769889	ES851323	EXP13950
BS769890	ES851137	EXP13950
BS752710	ES834903	EXP13921
BS752710	ES834902	EXP13921
