EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE	WORKSPACE_ID
ES850902	EXP13950	H51-2	2778	3		2883
ES850910	EXP13950	H51-2	2780	3		2883
ES850918	EXP13950	H51-2	2779	3		2883
ES850919	EXP13950	H51-2	2779	3		2883
ES850924	EXP13950	H51-2	2779	3		2883
ES850939	EXP13950	H51-2	2780	3		2883
ES850955	EXP13950	H51-2	2780	3		2883
ES850960	EXP13950	H51-2	2780	3		2883
ES850962	EXP13950	H51-2	2779	3		2883
ES850980	EXP13950	H51-2	2782	1		2883
ES850983	EXP13950	H51-2	2782	1		2883
ES850993	EXP13950	H51-2	2779	3		2883
ES851003	EXP13950	H51-2	2779	3		2883
ES851009	EXP13950	H51-2	2779	3		2883
ES851027	EXP13950	H51-2	2781	3		2883
ES851036	EXP13950	H51-2	2782	1		2883
ES851044	EXP13950	H51-2	2781	3		2883
ES851065	EXP13950	H51-2	2782	1		2883
ES851068	EXP13950	H51-2	2782	1		2883
ES851070	EXP13950	H51-2	2781	3		2883
ES851190	EXP13950	H51-1	364	1		2883
ES851192	EXP13950	H51-1	364	1		2883
ES851194	EXP13950	H51-1	364	1		2883
ES851212	EXP13950	H51-1	364	1		2883
ES851213	EXP13950	H51-1	364	1		2883
ES851215	EXP13950	H51-1	364	1		2883
ES851221	EXP13950	H51-1	364	1		2883
ES851226	EXP13950	H51-1	364	1		2883
ES851227	EXP13950	H51-1	364	1		2883
ES851235	EXP13950	H51-1	364	1		2883
ES851244	EXP13950	H51-1	364	1		2883
ES851264	EXP13950	H51-1	366	1		2883
ES851273	EXP13950	H51-1	366	1		2883
ES851275	EXP13950	H51-1	366	1		2883
ES851287	EXP13950	H51-1	366	1		2883
ES851299	EXP13950	H51-1	366	1		2883
ES851302	EXP13950	H51-1	366	1		2883
ES851306	EXP13950	H51-1	366	1		2883
ES851317	EXP13950	H51-1	366	1		2883
ES851091	EXP13950	H51-2	2781	3		2883
ES851095	EXP13950	H51-2	2781	3		2883
ES851106	EXP13950	H51-2	2780	3		2883
ES851108	EXP13950	H51-2	2780	3		2883
ES851118	EXP13950	H51-2	2782	1		2883
ES851131	EXP13950	H51-2	2780	3		2883
ES851134	EXP13950	H51-2	2780	3		2883
ES851138	EXP13950	H51-2	2780	3		2883
ES851141	EXP13950	H51-2	2780	3		2883
ES851149	EXP13950	H51-2	2780	3		2883
ES851152	EXP13950	H51-2	2782	1		2883
ES851159	EXP13950	H51-1	362	1		2883
ES850721	EXP13950	H51-2	2777	3		2883
ES850727	EXP13950	H51-2	2778	3		2883
ES850733	EXP13950	H51-2	2778	3		2883
ES850735	EXP13950	H51-2	2778	3		2883
ES850737	EXP13950	H51-2	2777	3		2883
ES850743	EXP13950	H51-2	2777	3		2883
ES850745	EXP13950	H51-2	2777	3		2883
ES850746	EXP13950	H51-2	2777	3		2883
ES850761	EXP13950	H51-2	2777	3		2883
ES850769	EXP13950	H51-2	2777	3		2883
ES850770	EXP13950	H51-2	2777	3		2883
ES850778	EXP13950	H51-2	2778	3		2883
ES850794	EXP13950	H51-2	2777	3		2883
ES850801	EXP13950	H51-2	2777	3		2883
ES850802	EXP13950	H51-2	2777	3		2883
ES850810	EXP13950	H51-2	2777	3		2883
ES850812	EXP13950	H51-2	2777	3		2883
ES850827	EXP13950	H51-2	2780	3		2883
ES850832	EXP13950	H51-2	2778	3		2883
ES850837	EXP13950	H51-2	2778	3		2883
ES850846	EXP13950	H51-2	2778	3		2883
ES850854	EXP13950	H51-2	2778	3		2883
ES850859	EXP13950	H51-2	2780	3		2883
ES850874	EXP13950	H51-2	2780	3		2883
ES850800	EXP13950	H51-2	2782	1		2883
ES850885	EXP13950	H51-2	2778	3		2883
ES850894	EXP13950	H51-2	2778	3		2883
ES850897	EXP13950	H51-2	2778	3		2883
ES850904	EXP13950	H51-2	2778	3		2883
ES850911	EXP13950	H51-2	2780	3		2883
ES850922	EXP13950	H51-2	2779	3		2883
ES850923	EXP13950	H51-2	2779	3		2883
ES850931	EXP13950	H51-2	2779	3		2883
ES850934	EXP13950	H51-2	2779	3		2883
ES850937	EXP13950	H51-2	2780	3		2883
ES850938	EXP13950	H51-2	2780	3		2883
ES850940	EXP13950	H51-2	2780	3		2883
ES850942	EXP13950	H51-2	2780	3		2883
ES850943	EXP13950	H51-2	2779	3		2883
ES850945	EXP13950	H51-2	2779	3		2883
ES850974	EXP13950	H51-2	2779	3		2883
ES850969	EXP13950	H51-2	2779	3		2883
ES850991	EXP13950	H51-2	2779	3		2883
ES851020	EXP13950	H51-2	2781	3		2883
