BIOSAMPLE_ACCESSION	PROTOCOL_ACCESSION
BS752202	PTL5519
BS752206	PTL5519
BS752213	PTL5519
BS752216	PTL5519
BS752223	PTL5519
BS752229	PTL5519
BS752241	PTL5519
BS752246	PTL5519
BS752247	PTL5519
BS752248	PTL5519
BS752257	PTL5519
BS752259	PTL5519
BS752262	PTL5519
BS752282	PTL5519
BS752291	PTL5519
BS752307	PTL5519
BS752316	PTL5519
BS752319	PTL5519
BS752323	PTL5519
BS752326	PTL5519
BS752331	PTL5519
BS752334	PTL5519
BS752344	PTL5519
BS752345	PTL5519
BS752664	PTL6738
BS752667	PTL6738
BS752669	PTL6738
BS752673	PTL6738
BS752675	PTL6738
BS752680	PTL6738
BS752697	PTL6738
BS752705	PTL6738
BS752710	PTL6738
BS752717	PTL6738
BS752720	PTL6738
BS752728	PTL6738
BS769830	PTL7084
BS769833	PTL7084
BS769846	PTL7084
BS769847	PTL7084
BS769855	PTL7084
BS769873	PTL7084
BS769893	PTL7084
BS752672	PTL7273
BS752682	PTL7273
BS752683	PTL7273
BS752688	PTL7273
BS752699	PTL7273
BS752711	PTL7273
BS752714	PTL7273
BS752720	PTL7273
BS752724	PTL7273
BS752209	PTL5519
BS752219	PTL5519
BS752234	PTL5519
BS752238	PTL5519
BS752244	PTL5519
BS752258	PTL5519
BS752276	PTL5519
BS752301	PTL5519
BS752305	PTL5519
BS752311	PTL5519
BS752322	PTL5519
BS752324	PTL5519
BS752340	PTL5519
BS752348	PTL5519
BS752671	PTL6738
BS752674	PTL6738
BS752677	PTL6738
BS752696	PTL6738
BS752698	PTL6738
BS752701	PTL6738
BS752713	PTL6738
BS752727	PTL6738
BS752731	PTL6738
BS769836	PTL7084
BS769852	PTL7084
BS769857	PTL7084
BS769863	PTL7084
BS769866	PTL7084
BS769871	PTL7084
BS769885	PTL7084
BS752684	PTL7273
BS752685	PTL7273
BS752689	PTL7273
BS752692	PTL7273
BS752698	PTL7273
BS752731	PTL7273
BS752200	PTL5519
BS752205	PTL5519
BS752208	PTL5519
BS752214	PTL5519
BS752217	PTL5519
BS752221	PTL5519
BS752222	PTL5519
BS752225	PTL5519
BS752231	PTL5519
BS752233	PTL5519
BS752239	PTL5519
BS752249	PTL5519
BS752250	PTL5519
BS752264	PTL5519
BS752268	PTL5519
BS752278	PTL5519
BS752281	PTL5519
BS752286	PTL5519
BS752289	PTL5519
BS752303	PTL5519
BS752306	PTL5519
BS752309	PTL5519
BS752666	PTL6738
BS752672	PTL6738
BS752681	PTL6738
BS752684	PTL6738
BS752694	PTL6738
BS752700	PTL6738
BS752711	PTL6738
BS752729	PTL6738
BS752733	PTL6738
BS752735	PTL6738
BS769828	PTL7084
BS769835	PTL7084
BS769848	PTL7084
BS769849	PTL7084
BS769856	PTL7084
BS769860	PTL7084
BS769865	PTL7084
BS769870	PTL7084
BS769882	PTL7084
BS752664	PTL7273
BS752675	PTL7273
BS752687	PTL7273
BS752690	PTL7273
BS752694	PTL7273
BS752695	PTL7273
BS752703	PTL7273
BS752718	PTL7273
BS752725	PTL7273
BS752727	PTL7273
BS752203	PTL5519
BS752204	PTL5519
BS752218	PTL5519
BS752228	PTL5519
BS752240	PTL5519
BS752253	PTL5519
BS752267	PTL5519
BS752271	PTL5519
BS752285	PTL5519
BS752290	PTL5519
BS752293	PTL5519
BS752294	PTL5519
BS752315	PTL5519
BS752321	PTL5519
BS752332	PTL5519
BS752335	PTL5519
BS752338	PTL5519
BS752665	PTL6738
BS752683	PTL6738
BS752691	PTL6738
BS752708	PTL6738
BS752709	PTL6738
BS752722	PTL6738
BS752734	PTL6738
BS769827	PTL7084
BS769829	PTL7084
BS769838	PTL7084
BS769853	PTL7084
BS769859	PTL7084
BS769862	PTL7084
BS769868	PTL7084
BS769879	PTL7084
BS769891	PTL7084
BS752663	PTL7273
BS752671	PTL7273
BS752677	PTL7273
BS752679	PTL7273
BS752680	PTL7273
BS752210	PTL5519
BS752211	PTL5519
BS752215	PTL5519
BS752224	PTL5519
BS752226	PTL5519
BS752236	PTL5519
BS752242	PTL5519
BS752251	PTL5519
BS752255	PTL5519
BS752260	PTL5519
BS752265	PTL5519
BS752272	PTL5519
BS752273	PTL5519
BS752299	PTL5519
BS752308	PTL5519
BS752312	PTL5519
BS752317	PTL5519
BS752328	PTL5519
BS752670	PTL6738
BS752676	PTL6738
BS752679	PTL6738
BS752685	PTL6738
BS752689	PTL6738
BS752693	PTL6738
BS752695	PTL6738
BS752702	PTL6738
BS752712	PTL6738
BS752725	PTL6738
BS769824	PTL7084
BS769831	PTL7084
BS769832	PTL7084
BS769837	PTL7084
BS769840	PTL7084
BS769843	PTL7084
BS769851	PTL7084
BS769858	PTL7084
BS769867	PTL7084
BS769876	PTL7084
BS769877	PTL7084
BS769878	PTL7084
BS769887	PTL7084
BS752665	PTL7273
BS752666	PTL7273
BS752667	PTL7273
BS752678	PTL7273
BS752681	PTL7273
BS752691	PTL7273
BS752693	PTL7273
BS752701	PTL7273
BS752704	PTL7273
BS752710	PTL7273
BS752719	PTL7273
BS752728	PTL7273
BS752730	PTL7273
