NAME	COMMON_NAME	TAXONOMY_ID	LINK
Homo sapiens	Human	9606	http://www.ncbi.nlm.nih.gov/taxonomy/?term=9606[uid]
Mus musculus	Mouse	10090	http://www.ncbi.nlm.nih.gov/taxonomy/?term=10090[uid]
Rattus norvegicus	Rat	10116	http://www.ncbi.nlm.nih.gov/taxonomy/?term=10116[uid]
Drosophila melanogaster	Fruit Fly	7227	http://www.ncbi.nlm.nih.gov/taxonomy/?term=7227[uid]
Gallus gallus	Chicken	9031	http://www.ncbi.nlm.nih.gov/taxonomy/?term=9031[uid]
Rattus rattus	Rat - Brown	10117	http://www.ncbi.nlm.nih.gov/taxonomy/?term=10117[uid]
Macaca mulatta	Rhesus macaque	9544	http://www.ncbi.nlm.nih.gov/taxonomy/?term=9544[uid]
Macaca fascicularis	Macaca fascicularis	9541	http://www.ncbi.nlm.nih.gov/taxonomy/?term=9541[uid]
Mus spretus	Western wild mouse	10096	http://www.ncbi.nlm.nih.gov/taxonomy/?term=10096[uid]
Mus musculus castaneus	Southeastern Asian house mouse	10091	http://www.ncbi.nlm.nih.gov/taxonomy/?term=10091[uid]
Anas platyrhynchos	Mallard duck	8839	http://www.ncbi.nlm.nih.gov/taxonomy/?term=8839[uid]
Mustela putorius furo	domestic ferret	9669	http://www.ncbi.nlm.nih.gov/taxonomy/?term=9669[uid]
Sus scrofa domesticus	domestic pig	9825	http://www.ncbi.nlm.nih.gov/taxonomy/?term=9825[uid]
