NAME	DESCRIPTION	VIRUS_NAME	CENTER_ID_NAME_SEASON_LIST	SEASON_LIST	LINK	SORT_ORDER
B/Massachusetts/2/2012	The virus strain name is: 'B/Massachusetts/2/2012'. The virus name : 'B', and season_list is: '2012-2013'.	B		2012-2013	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	14
A/New Caledonia/20/99	The virus strain name is: 'A/New Caledonia/20/99'. The virus name : 'H1N1', and season_list is: '2005-2006, 2006-2007'.	H1N1		2005-2006, 2006-2007	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	5
A/California/7/2004	The virus strain name is: 'A/California/7/2004'. The virus name : 'H3N2', and season_list is: '2005-2006'.	H3N2		2005-2006	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	3
B/Shanghai/361/2002	The virus strain name is: 'B/Shangai/361/2002'. The virus name : 'B', and season_list is: '2005-2006'.	B		2005-2006	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	15
A/Uruguay/716/2007	The virus strain name is: 'A/Uruguay/716/2007'. The virus name : 'H3N2', and season_list is: '2008-2009,2009-2010'.	H3N2		2008-2009,2009-2010	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	8
B/Malaysia/2506/2004	The virus strain name is: 'B/Malaysia/2506/2004'. The virus name : 'B', and season_list is: '2006-2007,2007-2008'.	B	SDY61-Emory(2007-2008)	2006-2007,2007-2008	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	13
A/Solomon Islands/3/2006	The virus strain name is: 'A/Solomon Islands/3/2006'. The virus name : 'H1N1', and season_list is: '2007-2008'.	H1N1	SDY61-Emory(2007-2008)	2007-2008	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	7
A/Wisconsin/67/2005	The virus strain name is: 'A/Wisconsin/67/2005'. The virus name : 'H3N2', and season_list is: '2006-2007,2007-2008'.	H3N2	SDY61-Emory(2007-2008)	2006-2007,2007-2008	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	10
B/Florida/4/2006	The virus strain name is: 'B/Florida/4/2006'. The virus name : 'B', and season_list is: '2008-2009'.	B	SDY212-Stanford(2008-2009),SDY269-Emory(2008-2009),SDY269LAIV-Emory(2008-2009)	2008-2009	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	12
A/Brisbane/59/2007	The virus strain name is: 'A/Brisbane/59/2007'. The virus name : 'H1N1', and season_list is: '2008-2009,2009-2010'.	H1N1	SDY212-Stanford(2008-2009),SDY269-Emory(2008-2009),SDY269LAIV-Emory(2008-2009),SDY180-Baylor(2009-2010)	2008-2009,2009-2010	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2
