EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	REAGENT_ACCESSION
ES851292	EXP13950	ESR13867
ES851301	EXP13950	ESR13867
ES851305	EXP13950	ESR13867
ES851319	EXP13950	ESR13867
ES851327	EXP13950	ESR13867
ES833745	EXP13915	ESR9396
ES833745	EXP13915	ESR9397
ES833764	EXP13915	ESR9395
ES833766	EXP13915	ESR9394
ES833766	EXP13915	ESR9397
ES833770	EXP13915	ESR9394
ES833770	EXP13915	ESR9397
ES833771	EXP13915	ESR9395
ES833771	EXP13915	ESR9394
ES833772	EXP13915	ESR9396
ES833772	EXP13915	ESR9395
ES833779	EXP13915	ESR9394
ES833780	EXP13915	ESR9397
ES833784	EXP13915	ESR9396
ES833784	EXP13915	ESR9394
ES833784	EXP13915	ESR9397
ES833791	EXP13915	ESR9397
ES833793	EXP13915	ESR9395
ES833796	EXP13915	ESR9396
ES833799	EXP13915	ESR9396
ES833803	EXP13915	ESR9396
ES833804	EXP13915	ESR9397
ES833805	EXP13915	ESR9397
ES833808	EXP13915	ESR9396
ES833809	EXP13915	ESR9397
ES833811	EXP13915	ESR9397
ES833813	EXP13915	ESR9397
ES833815	EXP13915	ESR9396
ES833815	EXP13915	ESR9394
ES833816	EXP13915	ESR9395
ES833817	EXP13915	ESR9395
ES833820	EXP13915	ESR9396
ES833823	EXP13915	ESR9397
ES833826	EXP13915	ESR9395
ES833828	EXP13915	ESR9396
ES848070	EXP13922	ESR10156
ES848071	EXP13922	ESR10158
ES848072	EXP13922	ESR10157
ES848074	EXP13922	ESR10162
ES848075	EXP13922	ESR10160
ES848076	EXP13922	ESR10162
ES848077	EXP13922	ESR10163
ES848077	EXP13922	ESR10162
ES848077	EXP13922	ESR10155
ES848077	EXP13922	ESR10160
ES848078	EXP13922	ESR10162
ES848080	EXP13922	ESR10156
ES848080	EXP13922	ESR10155
ES848080	EXP13922	ESR10157
ES848082	EXP13922	ESR10158
ES848083	EXP13922	ESR10157
ES848084	EXP13922	ESR10160
ES848085	EXP13922	ESR10156
ES848085	EXP13922	ESR10161
ES848089	EXP13922	ESR10156
ES848090	EXP13922	ESR10156
ES848090	EXP13922	ESR10157
ES848092	EXP13922	ESR10157
ES848093	EXP13922	ESR10161
ES848093	EXP13922	ESR10155
ES848093	EXP13922	ESR10160
ES848094	EXP13922	ESR10156
ES848095	EXP13922	ESR10161
ES848097	EXP13922	ESR10161
ES848097	EXP13922	ESR10158
ES848101	EXP13922	ESR10155
ES848102	EXP13922	ESR10158
ES848105	EXP13922	ESR10161
ES848105	EXP13922	ESR10159
ES848106	EXP13922	ESR10158
ES848107	EXP13922	ESR10157
ES848113	EXP13922	ESR10160
ES848113	EXP13922	ESR10157
