CONTROL_SAMPLE_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
CS1127	533146	MBAA	MBAA
CS1128	533146	MBAA	MBAA
CS1129	533146	MBAA	MBAA
CS1130	533146	MBAA	MBAA
CS1134	533146	MBAA	MBAA
CS1145	533146	MBAA	MBAA
CS1151	533146	MBAA	MBAA
CS1131	533146	MBAA	MBAA
CS1141	533146	MBAA	MBAA
CS1137	533146	MBAA	MBAA
CS1144	533146	MBAA	MBAA
CS1147	533146	MBAA	MBAA
CS1149	533146	MBAA	MBAA
CS1138	533146	MBAA	MBAA
CS1152	533146	MBAA	MBAA
CS1133	533146	MBAA	MBAA
CS1142	533146	MBAA	MBAA
CS1146	533146	MBAA	MBAA
CS1148	533146	MBAA	MBAA
CS1153	533146	MBAA	MBAA
CS1155	533146	MBAA	MBAA
CS1135	533146	MBAA	MBAA
CS1139	533146	MBAA	MBAA
CS1132	533146	MBAA	MBAA
CS1150	533146	MBAA	MBAA
CS1154	533146	MBAA	MBAA
CS1136	533146	MBAA	MBAA
CS1140	533146	MBAA	MBAA
CS1143	533146	MBAA	MBAA
CS1156	533146	MBAA	MBAA
