FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	PURPOSE	WORKSPACE_ID
523222	ImmPort template	36324	HAI_Results.523222.txt	HAI_Results.txt	HAI result	2883
523399	Flow cytometry result in fcs format	6344518	18001_G1_G01.523399.fcs	18001_G1_G01.fcs	Flow cytometry result	2883
523400	Flow cytometry result in fcs format	282847	Compensation Controls_APC Stained Control_A10.523400.fcs	Compensation Controls_APC Stained Control_A10.fcs	Flow cytometry compensation or control	2883
523401	Flow cytometry result in fcs format	282873	Compensation Controls_CD8 APC-Cy7 Stained Control_A12.523401.fcs	Compensation Controls_CD8 APC-Cy7 Stained Control_A12.fcs	Flow cytometry compensation or control	2883
523402	Flow cytometry result in fcs format	282873	Compensation Controls_CD16 PE-Cy7 Stained Control_A06.523402.fcs	Compensation Controls_CD16 PE-Cy7 Stained Control_A06.fcs	Flow cytometry compensation or control	2883
523403	Flow cytometry result in fcs format	282876	Compensation Controls_CD20 APC-Cy7 Stained Control_B01.523403.fcs	Compensation Controls_CD20 APC-Cy7 Stained Control_B01.fcs	Flow cytometry compensation or control	2883
523404	Flow cytometry result in fcs format	282874	Compensation Controls_CD33 PE-Cy7 Stained Control_A08.523404.fcs	Compensation Controls_CD33 PE-Cy7 Stained Control_A08.fcs	Flow cytometry compensation or control	2883
523405	Flow cytometry result in fcs format	282873	Compensation Controls_CD38 PE-Cy7 Stained Control_A07.523405.fcs	Compensation Controls_CD38 PE-Cy7 Stained Control_A07.fcs	Flow cytometry compensation or control	2883
523406	Flow cytometry result in fcs format	282880	Compensation Controls_CD45RA PE-Cy7 Stained Control_A05.523406.fcs	Compensation Controls_CD45RA PE-Cy7 Stained Control_A05.fcs	Flow cytometry compensation or control	2883
523407	Flow cytometry result in fcs format	282871	Compensation Controls_CD127 APC Stained Control_A11.523407.fcs	Compensation Controls_CD127 APC Stained Control_A11.fcs	Flow cytometry compensation or control	2883
523408	Flow cytometry result in fcs format	282849	Compensation Controls_FITC Stained Control_A02.523408.fcs	Compensation Controls_FITC Stained Control_A02.fcs	Flow cytometry compensation or control	2883
523409	Flow cytometry result in fcs format	282865	Compensation Controls_Pacific Blue Stained Control_A09.523409.fcs	Compensation Controls_Pacific Blue Stained Control_A09.fcs	Flow cytometry compensation or control	2883
523410	Flow cytometry result in fcs format	282844	Compensation Controls_PE Stained Control_A03.523410.fcs	Compensation Controls_PE Stained Control_A03.fcs	Flow cytometry compensation or control	2883
523411	Flow cytometry result in fcs format	282862	Compensation Controls_PerCP-Cy5-5 Stained Control_A04.523411.fcs	Compensation Controls_PerCP-Cy5-5 Stained Control_A04.fcs	Flow cytometry compensation or control	2883
523412	Flow cytometry result in fcs format	282843	Compensation Controls_Unstained Control_A01.523412.fcs	Compensation Controls_Unstained Control_A01.fcs	Flow cytometry compensation or control	2883
523413	Flow cytometry result in fcs format	5345985	18001_G2_G02.523413.fcs	18001_G2_G02.fcs	Flow cytometry result	2883
523414	Flow cytometry result in fcs format	6274086	18001_G3_G03.523414.fcs	18001_G3_G03.fcs	Flow cytometry result	2883
523415	Flow cytometry result in fcs format	6199495	18001_G4_G04.523415.fcs	18001_G4_G04.fcs	Flow cytometry result	2883
523416	Flow cytometry result in fcs format	6212678	18001_G5_G05.523416.fcs	18001_G5_G05.fcs	Flow cytometry result	2883
523417	Flow cytometry result in fcs format	6202945	18001_G6_G06.523417.fcs	18001_G6_G06.fcs	Flow cytometry result	2883
523418	Flow cytometry result in fcs format	6269817	18001_G7_G07.523418.fcs	18001_G7_G07.fcs	Flow cytometry result	2883
523419	Flow cytometry result in fcs format	5972958	18004_H1_H01.523419.fcs	18004_H1_H01.fcs	Flow cytometry result	2883
523420	Flow cytometry result in fcs format	6034169	18004_H2_H02.523420.fcs	18004_H2_H02.fcs	Flow cytometry result	2883
523421	Flow cytometry result in fcs format	6028302	18004_H3_H03.523421.fcs	18004_H3_H03.fcs	Flow cytometry result	2883
523422	Flow cytometry result in fcs format	6017999	18004_H4_H04.523422.fcs	18004_H4_H04.fcs	Flow cytometry result	2883
523423	Flow cytometry result in fcs format	6024742	18004_H5_H05.523423.fcs	18004_H5_H05.fcs	Flow cytometry result	2883
523424	Flow cytometry result in fcs format	6034553	18004_H6_H06.523424.fcs	18004_H6_H06.fcs	Flow cytometry result	2883
523425	Flow cytometry result in fcs format	5985904	18004_H7_H07.523425.fcs	18004_H7_H07.fcs	Flow cytometry result	2883
523426	Flow cytometry result in fcs format	6091570	18005_C1_C01.523426.fcs	18005_C1_C01.fcs	Flow cytometry result	2883
523427	Flow cytometry result in fcs format	6113469	18005_C2_C02.523427.fcs	18005_C2_C02.fcs	Flow cytometry result	2883
523428	Flow cytometry result in fcs format	6098194	18005_C3_C03.523428.fcs	18005_C3_C03.fcs	Flow cytometry result	2883
523429	Flow cytometry result in fcs format	6109843	18005_C4_C04.523429.fcs	18005_C4_C04.fcs	Flow cytometry result	2883
523430	Flow cytometry result in fcs format	6085562	18005_C5_C05.523430.fcs	18005_C5_C05.fcs	Flow cytometry result	2883
523431	Flow cytometry result in fcs format	6101645	18005_C6_C06.523431.fcs	18005_C6_C06.fcs	Flow cytometry result	2883
523432	Flow cytometry result in fcs format	6067717	18005_C7_C07.523432.fcs	18005_C7_C07.fcs	Flow cytometry result	2883
523433	Flow cytometry result in fcs format	6255090	18006_D1_D01.523433.fcs	18006_D1_D01.fcs	Flow cytometry result	2883
523434	Flow cytometry result in fcs format	6133349	18006_D2_D02.523434.fcs	18006_D2_D02.fcs	Flow cytometry result	2883
523435	Flow cytometry result in fcs format	6095226	18006_D3_D03.523435.fcs	18006_D3_D03.fcs	Flow cytometry result	2883
523436	Flow cytometry result in fcs format	6092315	18006_D4_D04.523436.fcs	18006_D4_D04.fcs	Flow cytometry result	2883
523437	Flow cytometry result in fcs format	6074026	18006_D5_D05.523437.fcs	18006_D5_D05.fcs	Flow cytometry result	2883
523438	Flow cytometry result in fcs format	6071629	18006_D6_D06.523438.fcs	18006_D6_D06.fcs	Flow cytometry result	2883
523439	Flow cytometry result in fcs format	6065365	18006_D7_D07.523439.fcs	18006_D7_D07.fcs	Flow cytometry result	2883
523440	Flow cytometry result in fcs format	6236554	18007_E1_E01.523440.fcs	18007_E1_E01.fcs	Flow cytometry result	2883
523441	Flow cytometry result in fcs format	6145053	18007_E2_E02.523441.fcs	18007_E2_E02.fcs	Flow cytometry result	2883
523442	Flow cytometry result in fcs format	6125690	18007_E3_E03.523442.fcs	18007_E3_E03.fcs	Flow cytometry result	2883
523443	Flow cytometry result in fcs format	6063867	18007_E4_E04.523443.fcs	18007_E4_E04.fcs	Flow cytometry result	2883
