NAME	DESCRIPTION	LINK
CRF	CRF data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C40988&ns=NCI_Thesaurus
CyTOF	CyTOF data format.	http://immport.org/immport-open/public/home/documentation; https://en.wikipedia.org/wiki/Mass_cytometry
ELISA	ELISA data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C16553&ns=NCI_Thesaurus
ELISPOT	ELISPOT data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C102632&ns=NCI_Thesaurus
Flow Cytometry	Flow_Cytometry data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C16585&ns=NCI_Thesaurus; http://bioconductor.org/packages/release/bioc/html/flowCore.html
Gene Expression Affymetrix	Gene_Expression_Affymetrix data format.	http://www.affymetrix.com/support/technical/whitepapers.affx; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C16608&ns=NCI_Thesaurus
Gene Expression custom	Gene_Expression_custom data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C16608&ns=NCI_Thesaurus
GenePattern GCT	GenePattern_GCT data format.	http://www.broadinstitute.org/cancer/software/genepattern/file-formats-guide
Genotyping Affymetrix	Genotyping_Affymetrix data format.	http://www.affymetrix.com/support/technical/whitepapers.affx; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C45447&ns=NCI_Thesaurus
Genotyping Illumina	Genotyping_Illumina data format.	http://illumina.com; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C45447&ns=NCI_Thesaurus
Genotyping custom	Genotyping_custom data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C45447&ns=NCI_Thesaurus
HAI	Hemagluttination Inhibition.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C120688&ns=NCI_Thesaurus
HLA Typing	HLA_Typing data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C71329&ns=NCI_Thesaurus
Illumina Microarray	Illumina BeadArray data format.	http://www.illumina.com/content/illumina-marketing/amr/en_US/technology/beadarray-technology.html
Image Histology	Image Histology results.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C16681&ns=NCI_Thesaurus
KIR	KIR data format.	http://immport.org/immport-open/public/home/documentation
MBAA	MBAA data format.	http://immport.org/immport-open/public/home/documentation
Mass spectrometry	Mass_spectrometry data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C17156&ns=NCI_Thesaurus
Neutralizing Antibody Titer	Neutralizing antibody titer results.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C94196&ns=NCI_Thesaurus
Other	Any Other data format that is not specified.	http://immport.org/immport-open/public/home/documentation
Q-PCR	Quantitative PCR data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C28408&ns=NCI_Thesaurus
RNA Seq	RNA Seq format.	https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=15.12d&ns=NCI_Thesaurus&code=C124261&key=n652421485&b=1&n=null; https://en.wikipedia.org/wiki/RNA-Seq; http://illumina.com
Virus Neutralization	Virus Neutralization.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C94196&ns=NCI_Thesaurus
Virus titer Hemagglutination inhibition	Virus_titer_Hemagglutination_inhibition data format.	http://immport.org/immport-open/public/home/documentation; https://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C120688&ns=NCI_Thesaurus
