NAME	CENTER_ID_NAME_SEASON_LIST	DESCRIPTION	LINK	SEASON_LIST	TAXONOMY_ID	VIRUS_NAME
A/Brisbane/10/2007	SDY212-Stanford(2008-2009),SDY269-Emory(2008-2009),SDY269LAIV-Emory(2008-2009),SDY180-Baylor(2009-2010)	The virus strain name is: 'A/Brisbane/10/2007'. The virus name : 'H3N2', and season_list is: '2008-2009,2009-2010'.	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2008-2009,2009-2010	476294	H3N2
A/Brisbane/59/2007	SDY212-Stanford(2008-2009),SDY269-Emory(2008-2009),SDY269LAIV-Emory(2008-2009),SDY180-Baylor(2009-2010)	The virus strain name is: 'A/Brisbane/59/2007'. The virus name : 'H1N1', and season_list is: '2008-2009,2009-2010'.	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2008-2009,2009-2010	504904	H1N1
A/California/04/2009		The virus strain name is: 'A/California/04/2009'. The virus name : 'H1N1', and season_list is: 'NA'.	https://www.fludb.org/brc/fluStrainDetails.spg?strainName=A%2FCalifornia%2F04%2F2009%28H1N1%29	NA	0	H1N1
A/California/7/2009	SDY63-Yale(2010-2011),SDY67-Mayo(2010-2011),SDY404-Yale(2011-2012),SDY301-Baylor(2012-2013),SDY400-Yale(2012-2013)	The virus strain name is: 'A/California/7/2009'. The virus name : 'H1N1', and season_list is: '2010-2011,2011-2012,2012-2013'.	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2010-2011,2011-2012,2012-2013	1316510	H1N1
A/Indonesia/5/2005		A/Indonesia/5/2005(H5N1)	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=400788		400788	H5N1
A/New Caledonia/20/1999		The virus strain name is: 'A/New Caledonia/20/1999'. The virus name : 'H1N1', and season_list is: '2005-2006, 2006-2007'.	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2005-2006, 2006-2007	381512	H1N1
A/Perth/16/2009	SDY63-Yale(2010-2011),SDY404-Yale(2011-2012)	The virus strain name is: 'A/Perth/16/2009'. The virus name : 'H3N2', and season_list is: '2010-2011,2011-2012'.	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2010-2011,2011-2012	654811	H3N2
A/Puerto Rico/8/1934		A/Puerto Rico/8/1934(H1N1)	https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=183764		211044	H1N1
A/Solomon Islands/3/2006	SDY61-Emory(2007-2008)	The virus strain name is: 'A/Solomon Islands/3/2006'. The virus name : 'H1N1', and season_list is: '2007-2008'.	http://www.fda.gov/BiologicsBloodVaccines/GuidanceComplianceRegulatoryInformation/Post-MarketActivities/LotReleases/ucm062928.htm	2007-2008	464623	H1N1
A/South Dakota/06/2007		The virus strain name is: 'A/South Dakota/06/2007'. The virus name : 'H1N1', and season_list is: '2009 Southern Hemisphere'.	https://www.fludb.org/brc/fluStrainDetails.spg?strainName=A%2FSouth+Dakota%2F06%2F2007%28H1N1%29	2009 Southern Hemisphere	0	H1N1
