STANDARD_CURVE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ASSAY_GROUP_ID	ASSAY_ID	EXPERIMENT_ACCESSION	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC6974		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6989		part of the kit	H51-1	364	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6993		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7002		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7009		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6948		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6949		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6952		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6953		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6954		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6967		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6968		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6737		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7098		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7115		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7125		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6631		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6642		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7010		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7023		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7026		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7030		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7032		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7036		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7037		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6672		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6675		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6676		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7050		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7064		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6724		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6836		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6858		part of the kit	H51-1	364	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6864		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6747		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6760		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6774		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6775		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6777		part of the kit	H51-1	362	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6779		part of the kit	H51-1	364	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7148		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7149		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7158		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7166		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6790		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6801		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6821		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7179		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7187		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7198		part of the kit	H51-1	362	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6880		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6882		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6916		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6928		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6930		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6932		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6946		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7012		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7085		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6726		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6831		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6853		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7097		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7110		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7126		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7129		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7145		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7147		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7167		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6969		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6800		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6939		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6981		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6685		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7003		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6645		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6704		part of the kit	H51-1	366	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6986		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7001		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7004		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6957		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6960		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6963		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6732		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6744		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7090		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7093		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7095		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7100		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7104		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7108		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7127		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6646		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6647		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6664		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7015		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7019		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7021		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7029		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7038		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6668		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6673		part of the kit	H51-2	2780	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6689		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6693		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7058		part of the kit	H51-1	366	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7059		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7061		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7081		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6708		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6838		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6840		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6852		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6857		part of the kit	H51-1	364	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6861		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6865		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6754		part of the kit	H51-2	2781	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6770		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6772		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6776		part of the kit	H51-2	2782	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6778		part of the kit	H51-1	362	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC6783		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7133		part of the kit	H51-2	2777	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7140		part of the kit	H51-2	2778	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC7152		part of the kit	H51-2	2779	EXP13950	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
