STANDARD_CURVE_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC7200	533146	MBAA	MBAA
SC7195	533146	MBAA	MBAA
SC7192	533146	MBAA	MBAA
SC7190	533146	MBAA	MBAA
SC7184	533146	MBAA	MBAA
SC7177	533146	MBAA	MBAA
SC7175	533146	MBAA	MBAA
SC7163	533146	MBAA	MBAA
SC7162	533146	MBAA	MBAA
SC7153	533146	MBAA	MBAA
SC7146	533146	MBAA	MBAA
SC7144	533146	MBAA	MBAA
SC7142	533146	MBAA	MBAA
SC7126	533146	MBAA	MBAA
SC7123	533146	MBAA	MBAA
SC7118	533146	MBAA	MBAA
SC7114	533146	MBAA	MBAA
SC7089	533146	MBAA	MBAA
SC7081	533146	MBAA	MBAA
SC7078	533146	MBAA	MBAA
SC7076	533146	MBAA	MBAA
SC7070	533146	MBAA	MBAA
SC7068	533146	MBAA	MBAA
SC7063	533146	MBAA	MBAA
SC7059	533146	MBAA	MBAA
SC7039	533146	MBAA	MBAA
SC7038	533146	MBAA	MBAA
SC7027	533146	MBAA	MBAA
SC7026	533146	MBAA	MBAA
SC7023	533146	MBAA	MBAA
SC7017	533146	MBAA	MBAA
SC7013	533146	MBAA	MBAA
SC7010	533146	MBAA	MBAA
SC7009	533146	MBAA	MBAA
SC7002	533146	MBAA	MBAA
SC6994	533146	MBAA	MBAA
SC6990	533146	MBAA	MBAA
SC6989	533146	MBAA	MBAA
SC6955	533146	MBAA	MBAA
SC6932	533146	MBAA	MBAA
SC6916	533146	MBAA	MBAA
SC6905	533146	MBAA	MBAA
SC6903	533146	MBAA	MBAA
SC6902	533146	MBAA	MBAA
SC6898	533146	MBAA	MBAA
SC6897	533146	MBAA	MBAA
SC6895	533146	MBAA	MBAA
SC6871	533146	MBAA	MBAA
SC6862	533146	MBAA	MBAA
SC6857	533146	MBAA	MBAA
SC6854	533146	MBAA	MBAA
SC6852	533146	MBAA	MBAA
SC6850	533146	MBAA	MBAA
SC6848	533146	MBAA	MBAA
SC6837	533146	MBAA	MBAA
SC6835	533146	MBAA	MBAA
SC6832	533146	MBAA	MBAA
SC6830	533146	MBAA	MBAA
SC6825	533146	MBAA	MBAA
SC6788	533146	MBAA	MBAA
SC6778	533146	MBAA	MBAA
SC6773	533146	MBAA	MBAA
SC6766	533146	MBAA	MBAA
SC6764	533146	MBAA	MBAA
SC6758	533146	MBAA	MBAA
SC6743	533146	MBAA	MBAA
SC6738	533146	MBAA	MBAA
SC6736	533146	MBAA	MBAA
SC6734	533146	MBAA	MBAA
SC6733	533146	MBAA	MBAA
SC6731	533146	MBAA	MBAA
SC6729	533146	MBAA	MBAA
SC6724	533146	MBAA	MBAA
SC6713	533146	MBAA	MBAA
SC6712	533146	MBAA	MBAA
SC6694	533146	MBAA	MBAA
SC6686	533146	MBAA	MBAA
SC6684	533146	MBAA	MBAA
SC6681	533146	MBAA	MBAA
SC6678	533146	MBAA	MBAA
SC6638	533146	MBAA	MBAA
SC7178	533146	MBAA	MBAA
SC7169	533146	MBAA	MBAA
SC7165	533146	MBAA	MBAA
SC7157	533146	MBAA	MBAA
SC7138	533146	MBAA	MBAA
SC7127	533146	MBAA	MBAA
SC7122	533146	MBAA	MBAA
SC7094	533146	MBAA	MBAA
SC7087	533146	MBAA	MBAA
SC7084	533146	MBAA	MBAA
SC7079	533146	MBAA	MBAA
SC7064	533146	MBAA	MBAA
SC7062	533146	MBAA	MBAA
SC7060	533146	MBAA	MBAA
SC7053	533146	MBAA	MBAA
SC7045	533146	MBAA	MBAA
SC7043	533146	MBAA	MBAA
SC7042	533146	MBAA	MBAA
SC7036	533146	MBAA	MBAA
SC7012	533146	MBAA	MBAA
SC6978	533146	MBAA	MBAA
SC6976	533146	MBAA	MBAA
SC6975	533146	MBAA	MBAA
SC6959	533146	MBAA	MBAA
SC6957	533146	MBAA	MBAA
SC6953	533146	MBAA	MBAA
SC6948	533146	MBAA	MBAA
SC6942	533146	MBAA	MBAA
SC6941	533146	MBAA	MBAA
SC6929	533146	MBAA	MBAA
SC6926	533146	MBAA	MBAA
SC6917	533146	MBAA	MBAA
SC6910	533146	MBAA	MBAA
SC6904	533146	MBAA	MBAA
SC6894	533146	MBAA	MBAA
SC6887	533146	MBAA	MBAA
SC6885	533146	MBAA	MBAA
SC6864	533146	MBAA	MBAA
SC6860	533146	MBAA	MBAA
SC6853	533146	MBAA	MBAA
SC6841	533146	MBAA	MBAA
SC6840	533146	MBAA	MBAA
SC6831	533146	MBAA	MBAA
SC6816	533146	MBAA	MBAA
SC6813	533146	MBAA	MBAA
SC6803	533146	MBAA	MBAA
SC6792	533146	MBAA	MBAA
SC6790	533146	MBAA	MBAA
SC6774	533146	MBAA	MBAA
SC6768	533146	MBAA	MBAA
SC6755	533146	MBAA	MBAA
SC6754	533146	MBAA	MBAA
SC6751	533146	MBAA	MBAA
SC6749	533146	MBAA	MBAA
SC6745	533146	MBAA	MBAA
SC6741	533146	MBAA	MBAA
SC6730	533146	MBAA	MBAA
SC6723	533146	MBAA	MBAA
SC6722	533146	MBAA	MBAA
SC6717	533146	MBAA	MBAA
SC6711	533146	MBAA	MBAA
SC6698	533146	MBAA	MBAA
SC6677	533146	MBAA	MBAA
SC6673	533146	MBAA	MBAA
SC6662	533146	MBAA	MBAA
SC6655	533146	MBAA	MBAA
SC6653	533146	MBAA	MBAA
SC6631	533146	MBAA	MBAA
SC7186	533146	MBAA	MBAA
SC7185	533146	MBAA	MBAA
SC7174	533146	MBAA	MBAA
SC7170	533146	MBAA	MBAA
SC7166	533146	MBAA	MBAA
SC7159	533146	MBAA	MBAA
SC7151	533146	MBAA	MBAA
SC7137	533146	MBAA	MBAA
SC7130	533146	MBAA	MBAA
SC7111	533146	MBAA	MBAA
SC7105	533146	MBAA	MBAA
SC7103	533146	MBAA	MBAA
SC7102	533146	MBAA	MBAA
SC7096	533146	MBAA	MBAA
SC7092	533146	MBAA	MBAA
SC7085	533146	MBAA	MBAA
SC7083	533146	MBAA	MBAA
SC7072	533146	MBAA	MBAA
SC7071	533146	MBAA	MBAA
SC7056	533146	MBAA	MBAA
SC7055	533146	MBAA	MBAA
SC7041	533146	MBAA	MBAA
SC7030	533146	MBAA	MBAA
SC7029	533146	MBAA	MBAA
SC7014	533146	MBAA	MBAA
SC7008	533146	MBAA	MBAA
SC6983	533146	MBAA	MBAA
SC6963	533146	MBAA	MBAA
SC6962	533146	MBAA	MBAA
SC6944	533146	MBAA	MBAA
SC6939	533146	MBAA	MBAA
SC6936	533146	MBAA	MBAA
SC6930	533146	MBAA	MBAA
SC6928	533146	MBAA	MBAA
SC6925	533146	MBAA	MBAA
SC6921	533146	MBAA	MBAA
SC6920	533146	MBAA	MBAA
SC6909	533146	MBAA	MBAA
SC6907	533146	MBAA	MBAA
SC6896	533146	MBAA	MBAA
SC6886	533146	MBAA	MBAA
SC6881	533146	MBAA	MBAA
SC6878	533146	MBAA	MBAA
SC6872	533146	MBAA	MBAA
SC6870	533146	MBAA	MBAA
SC6869	533146	MBAA	MBAA
SC6863	533146	MBAA	MBAA
SC6843	533146	MBAA	MBAA
SC6820	533146	MBAA	MBAA
SC6809	533146	MBAA	MBAA
SC6805	533146	MBAA	MBAA
SC6804	533146	MBAA	MBAA
SC6801	533146	MBAA	MBAA
SC6785	533146	MBAA	MBAA
SC6763	533146	MBAA	MBAA
SC6760	533146	MBAA	MBAA
SC6753	533146	MBAA	MBAA
SC6747	533146	MBAA	MBAA
SC6720	533146	MBAA	MBAA
SC6708	533146	MBAA	MBAA
SC6699	533146	MBAA	MBAA
SC6697	533146	MBAA	MBAA
SC6692	533146	MBAA	MBAA
SC6690	533146	MBAA	MBAA
SC6689	533146	MBAA	MBAA
SC6679	533146	MBAA	MBAA
SC6671	533146	MBAA	MBAA
SC6668	533146	MBAA	MBAA
SC6664	533146	MBAA	MBAA
SC6656	533146	MBAA	MBAA
