FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
2091813		T cell: viable		773846
2091815	singlet	singlets		773847
2091820	singlet	singlets		773849
2091823		T cell: viable		773850
2091828		T cell: viable		773851
2091834		T cell: viable		773852
2091839	CD85J+	CD85j+	ANA888	773852
2091846	CD27+	Q1: CD27+	ANA40	773853
2091850	CD3+	CD3+	ANA809	773854
2091855	singlet	singlets		773855
2091869	singlet	singlets		773857
2091870	lymphocyte	Lymph		773857
2091879		T cell: viable		773859
2091883	CD8+	CD8+	ANA810	773859
2091888	CD3+	CD3+	ANA809	773860
2091890	CD45RA-	Q1: CD45RA-	ANA816	773860
2091897	CD45RA+	Q2: CD45RA+	ANA816	773861
2091898	CD27+	Q2: CD27+	ANA40	773861
2091918	lymphocyte	Lymph		773866
2091920	singlet	singlets		773867
2091924	singlet	singlets		773868
2091926	CD3+	CD3+	ANA809	773868
2091930	lymphocyte	Lymph		773869
2091931	CD3+	CD3+	ANA809	773869
2091937	lymphocyte	Lymph		773870
2091947	CD314+	Q3: CD314+	ANA886	773871
2091960	CD8-	CD8-	ANA810	773873
2091982	viable	NK-NKT: viable		773877
2091994	viable	NK-NKT: viable		773879
2091999	singlet	singlets		773880
2092014	CD3-	CD3-	ANA809	773882
2092017	CD314-	Q1: CD314-	ANA886	773882
2092023	CD16+	CD16+	ANA811	773883
2092024	CD56+	CD56+	ANA815	773883
2092027	viable	NK-NKT: viable		773884
2092028	singlet	singlets		773884
2092035	viable	NK-NKT: viable		773885
2092036	singlet	singlets		773885
2092039	CD16+	CD16+	ANA811	773885
2092049	viable	B cell: viable		773889
2092055	lymphocyte	Lymph		773890
2092059	viable	B cell: viable		773891
2092060	singlet	singlets		773891
2092069	lymphocyte	Lymph		773892
2092079	CD19+	CD19+	ANA805	773893
2092081	CD24-	CD24-	ANA807	773893
2092097	IgD+	Q2: IgD+	ANA813	773895
2092110	CD3-	CD3-	ANA809	773897
2092112	CD20+	CD20+	ANA806	773897
2092113	IgD-	Q4: IgD-	ANA813	773897
2092116	singlet	singlets		773898
2092120	viable	B cell: viable		773899
2092130		Treg: viable		773902
2092137		Treg: viable		773904
2092153	IL2RAhi	CD25hi	ANA163	773906
2092158	CD3+	CD3+	ANA809	773907
2092171	CD161+	Q2: CD161+	ANA883	773908
2092177	CD4+	CD4+	ANA41	773909
2092180	CD161+	Q3: CD161+	ANA883	773909
2092182		Treg: viable		773910
2092192	singlet	singlets		773911
2092208	CXCR3	CXCR3 FMO: viable	ANA76	773916
2092211	CD16+	CD16+	ANA811	773916
2092240	singlet	singlets		773922
2092243	CD8+	CD8+	ANA810	773922
2092261	CXCR3+	CXCR3+	ANA76	773925
2092268	SIGLEC-3+	CD33+	ANA864	773927
2092273	CXCR3+	CXCR3+	ANA76	773928
2092281	singlet	singlets		773932
2092292	singlet	singlets		773934
2092302	lymphocyte	Lymph		773936
2092303	CD3+	CD3+	ANA809	773936
2092306	CXCR3	CXCR3: viable	ANA76	773937
2092308	lymphocyte	Lymph		773937
2092309	CD3+	CD3+	ANA809	773937
2092311	CXCR3	CXCR3: viable	ANA76	773938
2092334	CXCR3	CXCR3: viable	ANA76	773942
2092337	CXCR3	CXCR3: viable	ANA76	773943
2092341	CXCR3	CXCR3: viable	ANA76	773944
2092350	singlet	singlets		773947
2092358	lymphocyte	Lymph		773949
2092364	CD3+	CD3+	ANA809	773950
2092382	singlet	singlets		773953
2092386	HLADR+	Q3: HLADR+	ANA812	773953
2092409	CD3+	CD3+	ANA809	773957
2092412	CD38+	Q1: CD38+	ANA808	773957
2092414	singlet	singlets		773958
2092417	CD8+	CD8+	ANA810	773958
2092423	CD3+	CD3+	ANA809	773959
2092425	HLADR+	Q3: HLADR+	ANA812	773959
2092429	lymphocyte	Lymph		773960
2092434		Activated T: viable		773961
2092438		T cell: viable		773962
2092466	singlet	singlets		773969
2092469	CD4+	CD4+	ANA41	773969
2092478	CD27+	Q2: CD27+	ANA40	773970
2092497	CD8+	CD8+	ANA810	773973
2092516	CD27+	Q1: CD27+	ANA40	773976
2092527	CD3+	CD3+	ANA809	773978
2092541	viable	NK-NKT: viable		773982
2092548	viable	NK-NKT: viable		773984
2092551	CD3+	CD3+	ANA809	773984
2092604	CD8-	CD8-	ANA810	773992
2092613	CD94-	Q4: CD94-	ANA884	773993
2092620	singlet	singlets		773995
2092629	viable	NK-NKT: viable		773997
2092635	HLADR+	HLADR+	ANA812	773997
2092642	CD314-	Q1: CD314-	ANA886	773998
2092660	viable	NK-NKT: viable		774001
2092672	singlet	singlets		774004
2092677	CD3-	CD3-	ANA809	774005
2092686	lymphocyte	Lymph		774007
2092688	CD19+	CD19+	ANA805	774007
2092696	CD19+	CD19+	ANA805	774008
2092703	CD3-	CD3-	ANA809	774009
2092711	CD3-	CD3-	ANA809	774010
2092714	IgD-	Q1: IgD-	ANA813	774010
2092724	viable	B cell: viable		774012
2092730	IgD+	Q3: IgD+	ANA813	774012
2092731	CD27-	Q3: CD27-	ANA40	774012
2092738	IgD-	Q4: IgD-	ANA813	774013
2092740	viable	B cell: viable		774014
2092745	viable	B cell: viable		774015
2092749	CD20-	CD20-	ANA806	774015
2092769	lymphocyte	Lymph		774021
2092770	CD3+	CD3+	ANA809	774021
2092780		Treg: viable		774023
2092782	lymphocyte	Lymph		774023
2092783	CD3+	CD3+	ANA809	774023
2092786	CD127low	CD127low	ANA182	774023
2092794	IL2RAhi	CD25hi	ANA163	774024
2092797	CD45RA+	Q2: CD45RA+	ANA816	774024
2092798		Treg: viable		774025
2092799	singlet	singlets		774025
2092818	lymphocyte	Lymph		774027
2092820	CD8+	CD8+	ANA810	774027
2092828	CXCR3	CXCR3 FMO: viable	ANA76	774030
2092838	CXCR3	CXCR3 FMO: viable	ANA76	774033
2092840	lymphocyte	Lymph		774033
2092849	singlet	singlets		774035
2092858	CXCR3+	CXCR3+	ANA76	774036
2092871	singlet	singlets		774039
2092877	CD3-	CD3-	ANA809	774040
2092879	CD20+	CD20+	ANA806	774040
2092890	CXCR3	CXCR3 FMO: viable	ANA76	774043
2092895	singlet	singlets		774044
2092910	CXCR3	CXCR3: viable	ANA76	774049
2092924	CD4+	CD4+	ANA41	774051
2092951	CD20+	CD20+	ANA806	774056
2092961		Mono		774058
2092999		Activated T: viable		774068
2093011	HLADR+	Q3: HLADR+	ANA812	774069
2093026	singlet	singlets		774072
2093032	singlet	singlets		774073
2093033	lymphocyte	Lymph		774073
2093037	CD38+	Q1: CD38+	ANA808	774073
2093044	CD38+	Q2: CD38+	ANA808	774074
2093057	HLADR-	Q4: HLADR-	ANA812	774076
2093063		T cell: viable		774078
2093082	CD4+	CD4+	ANA41	774083
2093084		T cell: viable		774084
2093091	singlet	singlets		774085
2093107	CD3+	CD3+	ANA809	774087
2093109	CD45RA+	Q3: CD45RA+	ANA816	774087
2093115	CD4+	CD4+	ANA41	774088
2093118		T cell: viable		774089
2093120	lymphocyte	Lymph		774089
2093131	lymphocyte	Lymph		774091
2093132	CD3+	CD3+	ANA809	774091
2093135		T cell: viable		774092
2093147	CD45RA+	Q2: CD45RA+	ANA816	774093
2093152	CD3+	CD3+	ANA809	774094
2093182	CD8+	CD8+	ANA810	774101
2093185	viable	NK-NKT: viable		774102
2093187	lymphocyte	Lymph		774102
2093192	viable	NK-NKT: viable		774103
2093197	CD314+	Q3: CD314+	ANA886	774103
2093200	singlet	singlets		774104
2093222	CD8-	CD8-	ANA810	774107
2093224	CD94+	Q2: CD94+	ANA884	774107
2093239	viable	NK-NKT: viable		774110
2093248	viable	NK-NKT: viable		774112
2093255	singlet	singlets		774113
2093261	viable	NK-NKT: viable		774114
2093268	CD94+	Q1: CD94+	ANA884	774114
2093278	singlet	singlets		774116
2093284	CD94-	Q3: CD94-	ANA884	774116
2093287	lymphocyte	Lymph		774117
2093289	CD16+	CD16+	ANA811	774117
2093316	CD38+	CD38+	ANA808	774123
2093330	CD20+	CD20+	ANA806	774125
2093360	CD3-	CD3-	ANA809	774129
2093366	singlet	singlets		774130
2093368	CD3-	CD3-	ANA809	774130
2093371	singlet	singlets		774131
2093383		Treg: viable		774135
2093416	lymphocyte	Lymph		774140
2093419	IL2RAhi	CD25hi	ANA163	774140
2093420	CD127low	CD127low	ANA182	774140
2093425	lymphocyte	Lymph		774141
2093449	CD3+	CD3+	ANA809	774144
2093455	CXCR3	CXCR3 FMO: viable	ANA76	774147
2093458	CXCR3	CXCR3 FMO: viable	ANA76	774148
2093465	lymphocyte	Lymph		774149
2093479	singlet	singlets		774152
2093481	CD3+	CD3+	ANA809	774152
2093484	CXCR3	CXCR3 FMO: viable	ANA76	774153
2093513	singlet	singlets		774158
2093518	SIGLEC-3+	CD33+	ANA864	774159
2093521		Mono		774160
2093522	SIGLEC-3+	CD33+	ANA864	774160
2093534	CD56+	CD56+	ANA815	774164
2093549	CD4+	CD4+	ANA41	774167
2093557	singlet	singlets		774169
2093561	CXCR3	CXCR3: viable	ANA76	774170
2093599		Activated T: viable		774179
2093600	singlet	singlets		774179
2093607	singlet	singlets		774181
2093612	singlet	singlets		774182
2093618	singlet	singlets		774183
2093631		Activated T: viable		774185
2093634	CD3+	CD3+	ANA809	774185
2093656		Activated T: viable		774189
2093660	CD8+	CD8+	ANA810	774189
2093677		Activated T: viable		774192
2093697	CD3+	CD3+	ANA809	774197
2093704	singlet	singlets		774199
2093706	CD3+	CD3+	ANA809	774199
2093746	CD3+	CD3+	ANA809	774205
2093749	singlet	singlets		774206
2093769	lymphocyte	Lymph		774209
2093782	singlet	singlets		774211
2093788	viable	NK-NKT: viable		774212
2093793	lymphocyte	Lymph		774214
2093799	singlet	singlets		774216
2093800	lymphocyte	Lymph		774216
2093822	CD314+	Q3: CD314+	ANA886	774219
2093824	viable	NK-NKT: viable		774220
2093858	singlet	singlets		774225
2093871	lymphocyte	Lymph		774227
2093878	CD56+	CD56+	ANA815	774228
2093915	CD56+	CD56+	ANA815	774233
2093924	viable	B cell: viable		774237
2093926	lymphocyte	Lymph		774237
2093943	singlet	singlets		774240
2093949	CD38-	CD38-	ANA808	774240
2093953	CD3-	CD3-	ANA809	774241
2093975	singlet	singlets		774244
2093978	CD19+	CD19+	ANA805	774244
2093984	lymphocyte	Lymph		774245
2093985	CD3-	CD3-	ANA809	774245
2093986	CD19+	CD19+	ANA805	774245
2093993	CD3-	CD3-	ANA809	774246
2093995	viable	B cell: viable		774247
2094012		Treg: viable		774252
2094014	lymphocyte	Lymph		774252
2094015	CD3+	CD3+	ANA809	774252
2094019	lymphocyte	Lymph		774253
2094055	CD161+	Q3: CD161+	ANA883	774257
2094058	singlet	singlets		774258
2094068	lymphocyte	Lymph		774259
2094098	CXCR3	CXCR3 FMO: viable	ANA76	774267
2094104	singlet	singlets		774268
2094105	lymphocyte	Lymph		774268
2094116	lymphocyte	Lymph		774270
2094129	CD20+	CD20+	ANA806	774272
2094135	CD20+	CD20+	ANA806	774273
2094139		Mono		774274
2094147	SIGLEC-3+	CD33+	ANA864	774276
2094153	singlet	singlets		774279
2094154	lymphocyte	Lymph		774279
2094166	CXCR3	CXCR3: viable	ANA76	774282
2094175	CXCR3	CXCR3: viable	ANA76	774284
2094189	CD3+	CD3+	ANA809	774286
2094194	lymphocyte	Lymph		774287
2094200	CD19+	CD19+	ANA805	774288
2094215	SIGLEC-3+	CD33+	ANA864	774291
2094218		Mono		774292
2094236		Activated T: viable		774298
2094254	HLADR+	Q2: HLADR+	ANA812	774300
2094264	singlet	singlets		774302
2094275		Activated T: viable		774304
2094280	PD1+	PD1+	ANA818	774304
2094283	lymphocyte	Lymph		774305
2094290	lymphocyte	Lymph		774306
2094296	singlet	singlets		774307
2094314		T cell: viable		774311
2094317	singlet	singlets		774312
2094321	lymphocyte	Lymph		774313
2094322	CD3+	CD3+	ANA809	774313
2094328		T cell: viable		774315
2094329	singlet	singlets		774315
2094331	CD3+	CD3+	ANA809	774315
2094333	CD28+	CD28+	ANA863	774315
2094345	CD45RA-	Q1: CD45RA-	ANA816	774317
2094350	CD3+	CD3+	ANA809	774318
2094351	CD4+	CD4+	ANA41	774318
2094362	singlet	singlets		774320
2094366	CD45RA-	Q4: CD45RA-	ANA816	774320
2094369	singlet	singlets		774321
2094374	singlet	singlets		774322
2094381	lymphocyte	Lymph		774323
2094384	CD85J+	CD85j+	ANA888	774323
2094421	lymphocyte	Lymph		774331
2094436	singlet	singlets		774334
2094444	lymphocyte	Lymph		774335
2094469	singlet	singlets		774339
2094471	CD3+	CD3+	ANA809	774339
2094484	lymphocyte	Lymph		774341
2094486	CD8-	CD8-	ANA810	774341
2094488	CD94-	Q4: CD94-	ANA884	774341
2094502	CD16+	CD16+	ANA811	774344
2094510	HLADR+	HLADR+	ANA812	774345
2094517	CD314-	Q1: CD314-	ANA886	774346
2094520	singlet	singlets		774347
2094522	CD3-	CD3-	ANA809	774347
2094528	singlet	singlets		774348
2094530	CD3-	CD3-	ANA809	774348
2094539	CD16+	CD16+	ANA811	774349
2094541	CD314-	Q4: CD314-	ANA886	774349
2094543	viable	B cell: viable		774350
2094550	singlet	singlets		774353
2094565	CD24+	CD24+	ANA807	774355
2094579	CD19+	CD19+	ANA805	774357
2094612	CD20+	CD20+	ANA806	774361
2094615	viable	B cell: viable		774362
2094640	CD3+	CD3+	ANA809	774368
2094646	CD4+	CD4+	ANA41	774369
2094663	CD45RA+	Q1: CD45RA+	ANA816	774371
2094679	CD127low	CD127low	ANA182	774373
2094684	lymphocyte	Lymph		774374
2094693	lymphocyte	Lymph		774375
2094696		Treg: viable		774376
2094703	CXCR3	CXCR3 FMO: viable	ANA76	774378
2094707	lymphocyte	Lymph		774379
2094724	singlet	singlets		774383
2094752	CD3-	CD3-	ANA809	774388
2094759	CD19+	CD19+	ANA805	774389
2094761	CXCR3+	CXCR3+	ANA76	774389
2094794	CD3+	CD3+	ANA809	774398
