FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
188861	8		PE-A	STAT5A	pSTAT-5
188862	7		FITC-A	STAT1	pSTAT-1
188867	12		QDot 605-A	PTPRC	CD45RA
188880	4		SSC-A		SSC-A
188881	13		APC-A	STAT3	pSTAT-3
188882	13		APC-A	STAT3	pSTAT-3
188886	6		SSC-W		SSC-W
182592	6		SSC-W		SSC-W
182597	5		SSC-H		SSC-H
182606	11		Pacific Blue-A	CD3E	CD3
182610	7		FITC-A		TCRgd
182611	7		FITC-A	LILRB1	CD85j
182621	11		Pacific Blue-A	CD3E	CD3
182624	8		PE-A	PDCD1	PD-1
182649	1		FSC-A		FSC-A
182654	1		FSC-A		FSC-A
182669	11		Pacific Blue-A	CD3E	CD3
182671	12		APC-A	CD19	CD19
182686	9		PerCP-Cy5-5-A	CD4	CD4
182689	5		SSC-H		SSC-H
182692	4		SSC-A		SSC-A
182693	4		SSC-A		SSC-A
182709	4		SSC-A		SSC-A
182713	13		APC-Cy7-A	CD8A	CD8
182717	2		FSC-H		FSC-H
182719	11		Pacific Blue-A	CD3E	CD3
182728	11		Pacific Blue-A	CD3E	CD3
182785	4		SSC-A		SSC-A
182790	13		APC-Cy7-A	CD8A	CD8
182811	7		FITC-A		CD16/56
182820	5		SSC-H		SSC-H
182829	4		SSC-A		SSC-A
182834	12		APC-A	HLA-DRA	Anti-HLA-DR
182845	6		SSC-W		SSC-W
182857	9		PerCP-Cy5-5-A	HLA-DRA	Anti-HLA-DR
182865	9		PerCP-Cy5-5-A	CD19	CD19
182887	12		APC-A	IL7R	CD127
182916	13		APC-Cy7-A	CD8A	CD8
182921	9		PerCP-Cy5-5-A	CD19	CD19
182922	2		FSC-H		FSC-H
182926	12		APC-A	CD27	CD27
182939	11		Pacific Blue-A	CD3E	CD3
182948	6		SSC-W		SSC-W
182951	10		PE-Cy7-A	CD33	CD33
182953	9		PerCP-Cy5-5-A	CD4	CD4
182957	14		Time		Time
182958	9		PerCP-Cy5-5-A	CD4	CD4
182962	8		PE-A	KLRK1	CD314
182974	1		FSC-A		FSC-A
182976	12		APC-A	NCAM1	CD56
183009	12		APC-A	HLA-DRA	Anti-HLA-DR
183011	13		APC-Cy7-A	CD8A	CD8
183029	13		APC-Cy7-A	CD8A	CD8
183038	12		APC-A	CD27	CD27
183040	9		PerCP-Cy5-5-A	CD19	CD19
183066	13		APC-Cy7-A	CD8A	CD8
