EXPERIMENT_ACCESSION	PROTOCOL_ACCESSION
EXP9413	PTL4992
EXP14711	PTL8157
EXP14711	PTL8160
EXP14712	PTL8159
EXP14712	PTL8160
EXP14713	PTL8160
EXP13925	PTL7276
EXP13373	PTL5885
EXP13575	PTL6559
EXP14713	PTL8157
EXP13372	PTL5883
EXP13373	PTL5884
EXP13375	PTL5888
EXP14711	PTL8158
EXP14712	PTL8157
EXP14714	PTL8160
EXP14715	PTL8159
EXP13924	PTL7276
EXP13377	PTL5892
EXP14625	PTL5892
EXP14715	PTL8158
EXP14716	PTL8165
EXP9413	PTL5260
EXP14626	PTL7966
EXP14713	PTL8158
EXP14714	PTL8158
EXP14714	PTL8159
EXP14716	PTL8166
EXP10664	PTL5320
EXP14712	PTL8158
EXP14715	PTL8160
EXP13923	PTL7276
EXP13923	PTL7277
EXP13924	PTL7277
EXP13936	PTL7288
EXP10742	PTL5416
EXP13574	PTL6558
EXP13764	PTL6559
EXP14711	PTL8159
EXP14714	PTL8157
EXP13925	PTL7277
EXP13375	PTL5885
EXP14599	PTL7934
EXP14713	PTL8159
EXP14715	PTL8157
EXP14055	PTL5883
