RESULT_ID	ARM_ACCESSION	BIOSAMPLE_ACCESSION	COMMENTS	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	GENE_ID	GENE_NAME	GENE_SYMBOL_PREFERRED	GENE_SYMBOL_REPORTED	OTHER_GENE_ACCESSION	REPOSITORY_ACCESSION	REPOSITORY_NAME	STUDY_ACCESSION	STUDY_TIME_COLLECTED	STUDY_TIME_COLLECTED_UNIT	SUBJECT_ACCESSION	UNIT_PREFERRED	UNIT_REPORTED	VALUE_PREFERRED	VALUE_REPORTED	WORKSPACE_ID
119827	ARM544	BS589028		EXP9413	ES499068	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113566		copy_number		41943.92	2510
119814	ARM544	BS589022		EXP9413	ES499062				TREC				SDY67	0	Days	SUB113560		copy_number		164.591	2510
119661	ARM544	BS588943		EXP9413	ES498983	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113481		copy_number		18293.57	2510
119690	ARM544	BS588958		EXP9413	ES498998				TREC				SDY67	0	Days	SUB113496		copy_number		97.162	2510
119884	ARM544	BS589057		EXP9413	ES499097				TREC				SDY67	0	Days	SUB113595		copy_number		7.793	2510
119667	ARM544	BS588946		EXP9413	ES498986	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113484		copy_number		105538.49	2510
119825	ARM544	BS589027		EXP9413	ES499067	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113565		copy_number		30333.42	2510
119849	ARM544	BS589039		EXP9413	ES499079	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113577		copy_number		17843.6	2510
119889	ARM544	BS589059		EXP9413	ES499099	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113597		copy_number		25538.7	2510
119899	ARM544	BS589064		EXP9413	ES499104	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113602		copy_number		67978.05	2510
119685	ARM544	BS588955		EXP9413	ES498995	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113493		copy_number		38953.43	2510
119786	ARM544	BS589007		EXP9413	ES499047	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113545		copy_number		36231.86	2510
119745	ARM544	BS588987		EXP9413	ES499027				TREC				SDY67	0	Days	SUB113525		copy_number		0.958	2510
119704	ARM544	BS588966		EXP9413	ES499006	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113504		copy_number		17390.76	2510
119871	ARM544	BS589050		EXP9413	ES499090	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113588		copy_number		26780.26	2510
119749	ARM544	BS588989		EXP9413	ES499029				TREC				SDY67	0	Days	SUB113527		copy_number		152.897	2510
119762	ARM544	BS588995		EXP9413	ES499035	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113533		copy_number		10641.82	2510
119906	ARM544	BS589068		EXP9413	ES499108				TREC				SDY67	0	Days	SUB113606		copy_number		2.535	2510
119794	ARM544	BS589012		EXP9413	ES499052				TREC				SDY67	0	Days	SUB113550		copy_number		28.129	2510
119623	ARM544	BS588924		EXP9413	ES498964	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113462		copy_number		68858.37	2510
119726	ARM544	BS588977		EXP9413	ES499017	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113515		copy_number		107980.03	2510
119858	ARM544	BS589044		EXP9413	ES499084				TREC				SDY67	0	Days	SUB113582		copy_number		19.487	2510
119656	ARM544	BS588941		EXP9413	ES498981				TREC				SDY67	0	Days	SUB113479		copy_number		66.938	2510
119893	ARM544	BS589061		EXP9413	ES499101	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113599		copy_number		99869.52	2510
119763	ARM544	BS588996		EXP9413	ES499036				TREC				SDY67	0	Days	SUB113534		copy_number		405.582	2510
119627	ARM544	BS588926		EXP9413	ES498966	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113464		copy_number		86110.61	2510
119759	ARM544	BS588994		EXP9413	ES499034				TREC				SDY67	0	Days	SUB113532		copy_number		26.327	2510
119730	ARM544	BS588979		EXP9413	ES499019	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113517		copy_number		43774.23	2510
119768	ARM544	BS588998		EXP9413	ES499038	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113536		copy_number		97312.51	2510
119767	ARM544	BS588998		EXP9413	ES499038				TREC				SDY67	0	Days	SUB113536		copy_number		33.381	2510
119637	ARM544	BS588931		EXP9413	ES498971	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113469		copy_number		46884.29	2510
119830	ARM544	BS589030		EXP9413	ES499070				TREC				SDY67	0	Days	SUB113568		copy_number		28.384	2510
119877	ARM544	BS589053		EXP9413	ES499093	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113591		copy_number		48216.78	2510
119905	ARM544	BS589067		EXP9413	ES499107	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113605		copy_number		215645.2	2510
119845	ARM544	BS589037		EXP9413	ES499077	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113575		copy_number		15630.42	2510
119659	ARM544	BS588942		EXP9413	ES498982	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113480		copy_number		40575.19	2510
119911	ARM544	BS589070		EXP9413	ES499110	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113608		copy_number		197916.67	2510
119772	ARM544	BS589000		EXP9413	ES499040	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113538		copy_number		105924.95	2510
119671	ARM544	BS588948		EXP9413	ES498988	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113486		copy_number		22710.18	2510
119826	ARM544	BS589028		EXP9413	ES499068				TREC				SDY67	0	Days	SUB113566		copy_number		17.662	2510
119740	ARM544	BS588984		EXP9413	ES499024	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113522		copy_number		57228.1	2510
119606	ARM544	BS588916		EXP9413	ES498956				TREC				SDY67	0	Days	SUB113454		copy_number		12.805	2510
119856	ARM544	BS589043		EXP9413	ES499083				TREC				SDY67	0	Days	SUB113581		copy_number		197.677	2510
119815	ARM544	BS589022		EXP9413	ES499062	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113560		copy_number		177209.59	2510
119798	ARM544	BS589014		EXP9413	ES499054				TREC				SDY67	0	Days	SUB113552		copy_number		45.307	2510
119799	ARM544	BS589014		EXP9413	ES499054	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113552		copy_number		109206.29	2510
119699	ARM544	BS588964		EXP9413	ES499004				TREC				SDY67	0	Days	SUB113502		copy_number		25.077	2510
119653	ARM544	BS588939		EXP9413	ES498979	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113477		copy_number		87269.12	2510
119885	ARM544	BS589057		EXP9413	ES499097	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113595		copy_number		13207.77	2510
119883	ARM544	BS589056		EXP9413	ES499096	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113594		copy_number		130250.01	2510
119773	ARM544	BS589001		EXP9413	ES499041				TREC				SDY67	0	Days	SUB113539		copy_number		303.39	2510
119816	ARM544	BS589023		EXP9413	ES499063				TREC				SDY67	0	Days	SUB113561		copy_number		11.436	2510
119796	ARM544	BS589013		EXP9413	ES499053				TREC				SDY67	0	Days	SUB113551		copy_number		160.143	2510
119848	ARM544	BS589039		EXP9413	ES499079				TREC				SDY67	0	Days	SUB113577		copy_number		62.853	2510
119733	ARM544	BS588981		EXP9413	ES499021				TREC				SDY67	0	Days	SUB113519		copy_number		0.227	2510
119758	ARM544	BS588993		EXP9413	ES499033	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113531		copy_number		49059.15	2510
119846	ARM544	BS589038		EXP9413	ES499078				TREC				SDY67	0	Days	SUB113576		copy_number		36.467	2510
119785	ARM544	BS589007		EXP9413	ES499047				TREC				SDY67	0	Days	SUB113545		copy_number		9.051	2510
119913	ARM544	BS589071		EXP9413	ES499111	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113609		copy_number		325789.47	2510
119621	ARM544	BS588923		EXP9413	ES498963	1234	chemokine (C-C motif) receptor 5 (gene/pseudogene)	ANA35	CCR5				SDY67	0	Days	SUB113461		copy_number		113503.38	2510
