FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
234764	2		FSC-H		FSC-H
234764	4		SSC-A		SSC-A
234770	11		Qdot 565-A	CD20	CD20
232717	24		Time		Time
232717	1		FSC-A		FSC-A
232717	15		APC-A		Helios
232717	10		585/42 Violet-A	CD3E	CD3
232717	19		PE-A	CD39	CD39
232749	3		FSC-W		FSC-W
232749	1		FSC-A		FSC-A
232753	5		SSC-H		SSC-H
232753	16		AF 700-A	MKI67	Ki67
232753	18		FITC-A	CD38	CD38
232753	19		PE-A	CD39	CD39
232753	23		PE-Cy7-A	IL7R	CD127
232756	3		FSC-W		FSC-W
232756	12		660/40 Violet-A	CD4	CD4
232756	6		SSC-W		SSC-W
232759	3		FSC-W		FSC-W
232759	16		AF 700-A	MKI67	Ki67
232759	20		PE-TxRed-A		Foxp3
232759	15		APC-A		Helios
232718	13		710/50 Violet-A	CD27	CD27
232718	12		660/40 Violet-A	IL2RA	CD25
232718	17		APC-Cy7-A		CD14-16-19dead
232718	20		PE-TxRed-A		Foxp3
232721	8		AmCyan-A	CXCR5	CXCR5
232989	1		FSC-A		FSC-A
232989	14		780/60 Violet-A	CD38	CD38
232989	11		610/20 Violet-A	PTPRC	CD45RA
232767	16		AF 700-A	MKI67	Ki67
232767	2		FSC-H		FSC-H
232767	11		610/20 Violet-A	PTPRC	CD45RA
232767	10		585/42 Violet-A	CD3E	CD3
232767	4		SSC-A		SSC-A
232773	10		585/42 Violet-A	CD3E	CD3
232773	19		PE-A		p16
232773	23		PE-Cy7-A	ICOS	ICOS
232773	7		Pacific Blue-A	PDCD1	PD1
232769	19		PE-A		Itch
232821	5		SSC-H		SSC-H
232821	3		FSC-W		FSC-W
232821	12		660/40 Violet-A	CD4	CD4
232821	22		PE-Cy5-5-A		PE-Cy5-5-A
232821	18		FITC-A		gH2AX
232821	15		APC-A		p21
232824	5		SSC-H		SSC-H
232824	24		Time		Time
232824	16		AF 700-A	MKI67	Ki67
232824	1		FSC-A		FSC-A
232824	10		585/42 Violet-A	CD3E	CD3
232824	9		560/40 Violet-A	CD8A	CD8
232827	16		AF 700-A	MKI67	Ki67
232827	1		FSC-A		FSC-A
232827	6		SSC-W		SSC-W
232827	21		PE-Cy5-A		SirT2
232827	8		AmCyan-A	CXCR5	CXCR5
232830	3		FSC-W		FSC-W
232830	14		780/60 Violet-A	CD38	CD38
232830	7		Pacific Blue-A	PDCD1	PD1
232829	18		FITC-A		Foxp1
232829	1		FSC-A		FSC-A
232829	6		SSC-W		SSC-W
232829	21		PE-Cy5-A		STK39
232829	9		560/40 Violet-A	CD8A	CD8
232833	17		APC-Cy7-A		CD14-16-19dead
232833	22		PE-Cy5-5-A		PE-Cy5-5-A
232839	3		FSC-W		FSC-W
232839	16		AF 700-A	MKI67	Ki67
232839	13		710/50 Violet-A	CD27	CD27
232839	22		PE-Cy5-5-A		PE-Cy5-5-A
232887	2		FSC-H		FSC-H
232887	15		APC-A		p21
