EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES571017	ESR9014
ES571027	ESR9014
ES571030	ESR9014
ES571036	ESR9014
ES571040	ESR9014
ES571041	ESR9014
ES571046	ESR9014
ES983000	ESR16456
ES983000	ESR16453
ES983000	ESR16445
ES983001	ESR16456
ES983001	ESR16452
ES983001	ESR16445
ES983002	ESR16450
ES983002	ESR16447
ES983003	ESR16448
ES983003	ESR16447
ES983004	ESR16458
ES983004	ESR16448
ES983004	ESR16445
ES983005	ESR16451
ES983005	ESR16447
ES983006	ESR16458
ES983006	ESR16455
ES983006	ESR16452
ES983007	ESR16452
ES983008	ESR16455
ES983009	ESR16449
ES983010	ESR16457
ES983010	ESR16456
ES983010	ESR16449
ES983010	ESR16447
ES983011	ESR16453
ES983011	ESR16444
ES983012	ESR16446
ES983013	ESR16458
ES983013	ESR16455
ES983014	ESR16449
ES983015	ESR16454
ES983015	ESR16446
ES983015	ESR16445
ES983016	ESR16499
ES983016	ESR16457
ES983016	ESR16448
ES983016	ESR16445
ES983017	ESR16499
ES983017	ESR16458
ES983019	ESR16499
ES983019	ESR16455
ES983021	ESR16448
ES983022	ESR16457
ES983022	ESR16455
ES983022	ESR16450
ES983023	ESR16452
ES983023	ESR16445
ES983025	ESR16458
ES983025	ESR16454
ES983025	ESR16452
ES983027	ESR16457
ES983027	ESR16456
ES983027	ESR16445
ES983028	ESR16447
ES983029	ESR16455
ES983030	ESR16458
ES983030	ESR16453
ES983030	ESR16445
ES983032	ESR16452
ES983032	ESR16449
ES983032	ESR16448
ES983033	ESR16448
ES983034	ESR16457
ES983034	ESR16452
ES983034	ESR16448
ES983034	ESR16446
ES983034	ESR16444
ES983035	ESR16456
ES983036	ESR16448
ES983036	ESR16447
ES983036	ESR16444
ES983037	ESR16452
ES983038	ESR16451
ES983040	ESR16458
ES983040	ESR16450
ES983040	ESR16445
ES983041	ESR16499
ES983041	ESR16454
ES983041	ESR16452
ES983042	ESR16450
ES983043	ESR16448
ES983043	ESR16444
ES983044	ESR16457
ES983044	ESR16450
ES983044	ESR16447
ES983045	ESR16454
ES983045	ESR16452
ES983045	ESR16449
ES983045	ESR16447
ES983045	ESR16445
ES983046	ESR16455
ES983046	ESR16447
ES983048	ESR16447
ES983049	ESR16449
ES983049	ESR16456
ES983049	ESR16455
ES983049	ESR16452
ES983050	ESR16455
ES983050	ESR16452
ES983050	ESR16450
ES983050	ESR16447
ES983051	ESR16451
ES983051	ESR16444
ES983052	ESR16454
ES983053	ESR16455
ES983053	ESR16453
ES983055	ESR16455
ES983055	ESR16452
ES983055	ESR16449
ES983056	ESR16450
ES983057	ESR16450
ES983057	ESR16444
ES983058	ESR16455
ES983058	ESR16449
ES983059	ESR16448
ES983060	ESR16458
ES983060	ESR16449
ES983060	ESR16448
ES983061	ESR16455
ES983061	ESR16447
ES983061	ESR16446
ES983061	ESR16444
ES983062	ESR16458
ES983062	ESR16455
ES983062	ESR16454
ES983062	ESR16451
ES983062	ESR16449
ES983062	ESR16448
ES983063	ESR16499
ES983063	ESR16452
ES983063	ESR16448
ES983065	ESR16499
ES983065	ESR16450
ES983065	ESR16447
ES983065	ESR16446
ES983066	ESR16457
ES983066	ESR16456
ES983067	ESR16446
ES983067	ESR16444
ES983067	ESR16499
ES983068	ESR16455
ES983068	ESR16446
ES983068	ESR16444
ES983069	ESR16466
ES983069	ESR16463
ES983069	ESR16447
ES983071	ESR16463
ES983071	ESR16462
ES983071	ESR16445
ES983072	ESR16464
ES983072	ESR16462
ES983072	ESR16461
ES983073	ESR16466
ES983073	ESR16465
ES983073	ESR16457
ES983073	ESR16448
ES983074	ESR16458
ES983074	ESR16457
ES983074	ESR16447
ES983075	ESR16466
ES983075	ESR16463
ES983075	ESR16448
ES983076	ESR16446
ES983077	ESR16458
ES983079	ESR16458
ES983079	ESR16445
ES983080	ESR16461
ES983080	ESR16458
ES983081	ESR16466
ES983081	ESR16465
ES983081	ESR16464
ES983081	ESR16457
ES983081	ESR16446
ES983081	ESR16445
ES983082	ESR16466
ES983082	ESR16448
ES983083	ESR16459
ES983083	ESR16457
ES983084	ESR16459
ES983084	ESR16448
ES983085	ESR16465
ES983085	ESR16464
ES983085	ESR16461
ES983085	ESR16457
ES983085	ESR16446
ES983086	ESR16448
ES983087	ESR16463
ES983087	ESR16459
ES983087	ESR16448
ES983088	ESR16447
ES983089	ESR16444
ES983090	ESR16465
ES983091	ESR16466
ES983091	ESR16462
ES983093	ESR16457
ES983093	ESR16448
ES983094	ESR16466
ES983094	ESR16461
ES983094	ESR16457
ES983094	ESR16444
ES983095	ESR16465
ES983095	ESR16457
ES983095	ESR16445
ES983096	ESR16461
ES983097	ESR16458
ES983098	ESR16463
ES983099	ESR16463
ES983099	ESR16457
ES983100	ESR16464
ES983101	ESR16465
ES983101	ESR16459
ES983101	ESR16444
ES983102	ESR16444
ES983104	ESR16462
ES983104	ESR16457
ES983105	ESR16465
ES983105	ESR16463
ES983105	ESR16457
ES983105	ESR16448
ES983105	ESR16446
ES983105	ESR16444
ES983106	ESR16447
ES983107	ESR16460
ES983108	ESR16461
ES983108	ESR16460
ES983108	ESR16448
ES983109	ESR16463
ES983109	ESR16460
ES983109	ESR16459
ES983109	ESR16445
ES983110	ESR16463
ES983111	ESR16446
ES983111	ESR16444
ES983112	ESR16460
ES983112	ESR16447
ES983112	ESR16446
ES983113	ESR16466
ES983113	ESR16465
ES983113	ESR16446
ES983114	ESR16462
ES983114	ESR16447
ES983114	ESR16445
ES983114	ESR16444
ES983115	ESR16466
ES983115	ESR16461
ES983115	ESR16457
ES983116	ESR16459
ES983117	ESR16466
ES983117	ESR16465
ES983117	ESR16461
ES983117	ESR16460
ES983120	ESR16463
ES983121	ESR16465
ES983121	ESR16447
ES983121	ESR16446
ES983121	ESR16445
ES983122	ESR16463
ES983122	ESR16447
ES983122	ESR16446
ES983122	ESR16444
ES983123	ESR16464
ES983123	ESR16447
ES983123	ESR16445
ES983124	ESR16500
ES983124	ESR16466
ES983124	ESR16461
ES983124	ESR16458
ES983125	ESR16463
ES983125	ESR16459
ES983126	ESR16464
ES983126	ESR16463
ES983126	ESR16459
ES983126	ESR16445
ES983127	ESR16466
ES983127	ESR16465
ES983127	ESR16462
ES983127	ESR16458
ES983128	ESR16464
ES983128	ESR16463
ES983128	ESR16457
ES983130	ESR16457
ES983130	ESR16447
ES983130	ESR16446
ES983131	ESR16444
ES983132	ESR16457
ES983132	ESR16445
ES983133	ESR16463
ES983133	ESR16462
ES983133	ESR16458
ES983133	ESR16447
ES983134	ESR16461
ES983135	ESR16500
ES983135	ESR16461
ES983135	ESR16457
ES983135	ESR16446
ES983136	ESR16445
ES983137	ESR16447
ES983139	ESR16464
ES983140	ESR16500
ES983140	ESR16464
ES983141	ESR16461
ES983142	ESR16448
ES983142	ESR16446
ES983143	ESR16446
ES983144	ESR16466
ES983144	ESR16465
ES983144	ESR16462
ES983144	ESR16460
ES983144	ESR16457
ES983145	ESR16460
ES983145	ESR16458
ES983146	ESR16500
ES983147	ESR16463
ES983148	ESR16457
ES983148	ESR16448
ES983149	ESR16458
ES983150	ESR16462
ES983151	ESR16464
ES983151	ESR16458
ES983152	ESR16462
ES983154	ESR16465
ES983154	ESR16445
ES983155	ESR16500
ES983155	ESR16462
ES983156	ESR16447
ES983157	ESR16465
