EXPSAMPLE_ACCESSION	REPOSITORY_ACCESSION	REPOSITORY_NAME
ES983916	GSM1147762	GEO
ES983921	GSM1147787	GEO
ES983924	GSM1147800	GEO
ES983927	GSM1147815	GEO
ES983953	GSM1147949	GEO
ES983957	GSM1147969	GEO
ES983967	GSM1148012	GEO
ES983970	GSM1148024	GEO
ES983977	GSM1147766	GEO
ES983978	GSM1147771	GEO
ES983979	GSM1147776	GEO
ES983988	GSM1147828	GEO
ES983993	GSM1147852	GEO
ES983995	GSM1147862	GEO
ES984000	GSM1147887	GEO
ES984011	GSM1147933	GEO
ES984025	GSM1148004	GEO
ES984029	GSM1148033	GEO
ES984036	GSM1147775	GEO
ES984037	GSM1147780	GEO
ES984038	GSM1147785	GEO
ES984040	GSM1147794	GEO
ES984049	GSM1147841	GEO
ES984056	GSM1147876	GEO
ES571025	GSM1147796	GEO
ES571039	GSM1147864	GEO
ES571040	GSM1147869	GEO
ES571044	GSM1147888	GEO
ES571056	GSM1147940	GEO
ES571072	GSM1148013	GEO
ES571087	GSM1147793	GEO
ES571089	GSM1147802	GEO
ES571095	GSM1147830	GEO
ES571097	GSM1147840	GEO
ES571098	GSM1147845	GEO
ES571099	GSM1147850	GEO
ES571100	GSM1147855	GEO
ES571101	GSM1147860	GEO
ES571102	GSM1147865	GEO
ES571114	GSM1147919	GEO
ES571131	GSM1147997	GEO
ES571135	GSM1148014	GEO
ES571137	GSM1148022	GEO
ES984075	GSM1147972	GEO
ES984077	GSM1147983	GEO
ES984087	GSM1148032	GEO
ES983917	GSM1147767	GEO
ES983920	GSM1147782	GEO
ES983925	GSM1147805	GEO
ES983928	GSM1147820	GEO
ES983934	GSM1147848	GEO
ES983936	GSM1147858	GEO
ES983952	GSM1147944	GEO
ES983956	GSM1147964	GEO
ES983962	GSM1147990	GEO
ES983971	GSM1148029	GEO
ES983981	GSM1147786	GEO
ES983990	GSM1147837	GEO
ES984003	GSM1147899	GEO
ES984005	GSM1147906	GEO
ES984008	GSM1147921	GEO
ES984014	GSM1147948	GEO
ES984016	GSM1147958	GEO
ES984031	GSM1148043	GEO
ES984035	GSM1147770	GEO
ES984047	GSM1147831	GEO
ES984050	GSM1147846	GEO
ES571024	GSM1147792	GEO
ES571038	GSM1147859	GEO
ES571050	GSM1147913	GEO
ES571062	GSM1147970	GEO
ES571064	GSM1147976	GEO
ES571066	GSM1147986	GEO
ES571074	GSM1148021	GEO
ES571086	GSM1147789	GEO
ES571110	GSM1147900	GEO
ES571119	GSM1147941	GEO
ES571123	GSM1147961	GEO
ES571125	GSM1147971	GEO
ES984062	GSM1147905	GEO
ES984064	GSM1147915	GEO
ES984065	GSM1147920	GEO
ES984074	GSM1147967	GEO
ES984085	GSM1148023	GEO
ES983938	GSM1147868	GEO
ES983941	GSM1147883	GEO
ES983943	GSM1147896	GEO
ES983944	GSM1147907	GEO
ES983954	GSM1147954	GEO
ES983963	GSM1147995	GEO
ES983968	GSM1148015	GEO
ES983972	GSM1148034	GEO
ES983984	GSM1147809	GEO
ES983994	GSM1147857	GEO
ES984013	GSM1147943	GEO
ES984017	GSM1147963	GEO
ES984027	GSM1148019	GEO
ES984034	GSM1147765	GEO
ES984039	GSM1147790	GEO
ES984051	GSM1147851	GEO
ES984053	GSM1147861	GEO
ES571027	GSM1147806	GEO
ES571028	GSM1147811	GEO
ES571042	GSM1147879	GEO
ES571043	GSM1147884	GEO
ES571055	GSM1147935	GEO
ES571067	GSM1147991	GEO
ES571069	GSM1148001	GEO
ES571105	GSM1147880	GEO
ES571106	GSM1147885	GEO
ES571107	GSM1147889	GEO
ES571111	GSM1147904	GEO
ES571118	GSM1147936	GEO
ES571120	GSM1147946	GEO
ES984063	GSM1147910	GEO
ES984070	GSM1147947	GEO
ES984071	GSM1147952	GEO
ES984073	GSM1147962	GEO
ES984083	GSM1148011	GEO
ES983918	GSM1147772	GEO
ES983935	GSM1147853	GEO
ES983946	GSM1147917	GEO
ES983951	GSM1147939	GEO
ES983955	GSM1147959	GEO
ES983961	GSM1147985	GEO
ES983964	GSM1148000	GEO
ES983965	GSM1148005	GEO
ES983969	GSM1148020	GEO
ES983980	GSM1147781	GEO
ES983983	GSM1147804	GEO
ES983989	GSM1147832	GEO
ES983999	GSM1147882	GEO
ES984001	GSM1147890	GEO
ES984007	GSM1147916	GEO
ES984010	GSM1147928	GEO
ES984030	GSM1148038	GEO
ES984032	GSM1148048	GEO
ES984045	GSM1147818	GEO
ES984046	GSM1147827	GEO
ES571019	GSM1147768	GEO
ES571020	GSM1147773	GEO
ES571026	GSM1147801	GEO
ES571041	GSM1147874	GEO
ES571045	GSM1147892	GEO
ES571051	GSM1147918	GEO
ES571078	GSM1148040	GEO
ES571080	GSM1147759	GEO
ES571081	GSM1147764	GEO
ES571093	GSM1147822	GEO
ES571104	GSM1147875	GEO
ES571117	GSM1147931	GEO
ES571121	GSM1147951	GEO
ES571141	GSM1148041	GEO
ES984061	GSM1147901	GEO
ES984080	GSM1147998	GEO
ES984082	GSM1148008	GEO
ES984086	GSM1148027	GEO
ES984090	GSM1148047	GEO
ES983923	GSM1147795	GEO
ES983929	GSM1147824	GEO
ES983945	GSM1147912	GEO
ES983958	GSM1147974	GEO
ES983959	GSM1147975	GEO
ES983966	GSM1148010	GEO
ES983975	GSM1148049	GEO
ES983982	GSM1147799	GEO
ES983985	GSM1147814	GEO
ES983992	GSM1147847	GEO
ES984004	GSM1147902	GEO
ES984012	GSM1147938	GEO
ES984020	GSM1147979	GEO
ES984022	GSM1147989	GEO
ES984033	GSM1147760	GEO
ES984044	GSM1147813	GEO
ES571022	GSM1147783	GEO
ES571023	GSM1147788	GEO
ES571049	GSM1147908	GEO
ES571053	GSM1147925	GEO
ES571058	GSM1147950	GEO
ES571059	GSM1147955	GEO
ES571060	GSM1147960	GEO
ES571065	GSM1147981	GEO
ES571076	GSM1148030	GEO
ES571083	GSM1147774	GEO
ES571084	GSM1147779	GEO
ES571090	GSM1147807	GEO
ES571092	GSM1147817	GEO
ES571122	GSM1147956	GEO
ES571139	GSM1148031	GEO
ES984066	GSM1147927	GEO
ES984067	GSM1147932	GEO
ES984081	GSM1148003	GEO
ES984084	GSM1148018	GEO
ES984089	GSM1148042	GEO
ES983931	GSM1147833	GEO
ES983933	GSM1147843	GEO
ES983942	GSM1147891	GEO
ES983947	GSM1147922	GEO
ES983950	GSM1147934	GEO
ES983976	GSM1147761	GEO
ES983996	GSM1147867	GEO
ES983997	GSM1147872	GEO
ES984019	GSM1147973	GEO
ES984024	GSM1147999	GEO
ES984028	GSM1148028	GEO
ES984041	GSM1147798	GEO
ES984057	GSM1147881	GEO
ES984059	GSM1147894	GEO
ES571018	GSM1147763	GEO
ES571029	GSM1147816	GEO
ES571034	GSM1147839	GEO
ES571037	GSM1147854	GEO
ES571048	GSM1147903	GEO
ES571057	GSM1147945	GEO
ES571075	GSM1148025	GEO
ES571077	GSM1148035	GEO
ES571085	GSM1147784	GEO
ES571088	GSM1147797	GEO
ES571094	GSM1147826	GEO
ES571096	GSM1147835	GEO
ES571103	GSM1147870	GEO
ES571108	GSM1147893	GEO
ES571132	GSM1148002	GEO
ES571140	GSM1148036	GEO
ES984060	GSM1147898	GEO
ES984072	GSM1147957	GEO
ES984078	GSM1147988	GEO
ES983919	GSM1147777	GEO
ES983930	GSM1147829	GEO
ES983932	GSM1147838	GEO
ES983939	GSM1147873	GEO
ES983940	GSM1147878	GEO
ES983949	GSM1147929	GEO
ES983986	GSM1147819	GEO
ES983991	GSM1147842	GEO
ES983998	GSM1147877	GEO
ES984002	GSM1147895	GEO
ES984006	GSM1147911	GEO
ES984009	GSM1147923	GEO
ES984042	GSM1147803	GEO
ES984048	GSM1147836	GEO
ES984052	GSM1147856	GEO
ES984054	GSM1147866	GEO
ES984058	GSM1147886	GEO
ES571017	GSM1147758	GEO
ES571030	GSM1147821	GEO
ES571033	GSM1147834	GEO
ES571035	GSM1147844	GEO
ES571054	GSM1147930	GEO
ES571068	GSM1147996	GEO
ES571070	GSM1148006	GEO
ES571073	GSM1148016	GEO
ES571079	GSM1148045	GEO
ES571109	GSM1147897	GEO
ES571112	GSM1147909	GEO
ES571116	GSM1147926	GEO
ES571127	GSM1147977	GEO
ES571128	GSM1147982	GEO
ES571129	GSM1147987	GEO
ES571130	GSM1147992	GEO
ES571136	GSM1148017	GEO
ES984069	GSM1147942	GEO
ES984076	GSM1147978	GEO
ES984079	GSM1147993	GEO
ES984088	GSM1148037	GEO
ES983922	GSM1147791	GEO
ES983926	GSM1147810	GEO
ES983937	GSM1147863	GEO
ES983948	GSM1147924	GEO
ES983960	GSM1147980	GEO
ES983973	GSM1148039	GEO
ES983974	GSM1148044	GEO
ES983987	GSM1147823	GEO
ES984015	GSM1147953	GEO
ES984018	GSM1147968	GEO
ES984021	GSM1147984	GEO
ES984023	GSM1147994	GEO
ES984026	GSM1148009	GEO
ES984043	GSM1147808	GEO
ES984055	GSM1147871	GEO
ES571021	GSM1147778	GEO
ES571031	GSM1147825	GEO
ES571036	GSM1147849	GEO
ES571061	GSM1147965	GEO
ES571082	GSM1147769	GEO
ES571091	GSM1147812	GEO
ES571113	GSM1147914	GEO
ES571124	GSM1147966	GEO
ES571133	GSM1148007	GEO
ES571138	GSM1148026	GEO
ES571142	GSM1148046	GEO
ES984068	GSM1147937	GEO
