EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES788395	ESR12354
ES788395	ESR12337
ES788396	ESR12351
ES788396	ESR12346
ES788397	ESR12332
ES788397	ESR12330
ES788397	ESR12326
ES788398	ESR12336
ES788399	ESR12355
ES788399	ESR12354
ES788399	ESR12342
ES788400	ESR12351
ES788400	ESR12350
ES788400	ESR12346
ES788401	ESR12359
ES788401	ESR12339
ES788402	ESR12360
ES788403	ESR12351
ES788403	ESR12347
ES788403	ESR12346
ES788403	ESR12344
ES788403	ESR12343
ES788405	ESR12337
ES788406	ESR12360
ES788407	ESR12351
ES788408	ESR12359
ES788408	ESR12339
ES788409	ESR12356
ES788409	ESR12341
ES788410	ESR12346
ES788411	ESR12326
ES788413	ESR12357
ES788413	ESR12342
ES788414	ESR12361
ES788414	ESR12350
ES788415	ESR12338
ES788415	ESR12336
ES788415	ESR12335
ES788416	ESR12357
ES788417	ESR12342
ES788418	ESR12327
ES788419	ESR12332
ES788419	ESR12331
ES788419	ESR12326
ES788420	ESR12332
ES788420	ESR12331
ES788422	ESR12356
ES788422	ESR12355
ES788422	ESR12354
ES788424	ESR12341
ES788425	ESR12356
ES788426	ESR12337
ES788427	ESR12350
ES788427	ESR12347
ES788429	ESR12346
ES788429	ESR12345
ES788429	ESR12344
ES788430	ESR12361
ES788430	ESR12343
ES788431	ESR12343
ES788432	ESR12361
ES788432	ESR12347
ES788432	ESR12344
ES788433	ESR12338
ES788433	ESR12337
ES788434	ESR12342
ES788434	ESR12335
ES788435	ESR12339
ES788438	ESR12342
ES788439	ESR12333
ES788439	ESR12328
ES788440	ESR12357
ES788440	ESR12352
ES788440	ESR12334
ES788441	ESR12360
ES788442	ESR12348
ES788442	ESR12342
ES788443	ESR12350
ES788445	ESR12338
ES788445	ESR12336
ES788445	ESR12334
ES788446	ESR12334
ES788447	ESR12334
ES788448	ESR12356
ES788448	ESR12354
ES788448	ESR12353
ES788449	ESR12346
ES788450	ESR12351
ES788450	ESR12342
ES788451	ESR12335
ES788452	ESR12359
ES788452	ESR12342
ES788452	ESR12334
ES788453	ESR12328
ES788454	ESR12341
ES788454	ESR12337
ES788455	ESR12352
ES788456	ESR12351
ES788457	ESR12361
ES788457	ESR12346
ES788457	ESR12344
ES788459	ESR12334
ES788460	ESR12332
ES788460	ESR12330
ES788462	ESR12360
ES788462	ESR12357
ES788463	ESR12350
ES788463	ESR12349
ES788463	ESR12343
ES788465	ESR12342
ES786790	ESR12357
ES786790	ESR12355
ES786791	ESR12352
ES786791	ESR12341
ES786792	ESR12337
ES786793	ESR12347
ES786794	ESR12351
ES786794	ESR12350
ES786794	ESR12349
ES786796	ESR12347
ES786796	ESR12344
ES786797	ESR12345
ES786799	ESR12336
ES786800	ESR12339
ES786800	ESR12337
ES786800	ESR12335
ES786800	ESR12334
ES786801	ESR12342
ES786801	ESR12339
ES786801	ESR12338
ES786802	ESR12359
ES786802	ESR12338
ES786803	ESR12336
ES786803	ESR12334
ES786804	ESR12341
ES786807	ESR12330
ES786808	ESR12354
ES786809	ESR12357
ES786809	ESR12355
ES786809	ESR12342
ES786810	ESR12354
ES786810	ESR12353
ES786811	ESR12360
ES786811	ESR12354
ES786812	ESR12355
ES786812	ESR12353
ES786812	ESR12337
ES786813	ESR12356
ES786813	ESR12352
ES786814	ESR12361
ES786814	ESR12343
ES786815	ESR12347
ES786816	ESR12361
ES786817	ESR12347
ES786818	ESR12348
ES786819	ESR12342
ES786819	ESR12336
ES786821	ESR12335
ES786822	ESR12341
ES786822	ESR12339
ES786823	ESR12359
ES786823	ESR12340
ES786823	ESR12334
ES786825	ESR12330
ES786826	ESR12342
ES786826	ESR12331
ES786828	ESR12357
ES786828	ESR12356
ES786828	ESR12337
ES786831	ESR12360
ES786831	ESR12353
ES786831	ESR12341
ES786831	ESR12334
ES786832	ESR12354
ES786833	ESR12352
ES786834	ESR12349
ES786835	ESR12348
ES786836	ESR12345
ES786836	ESR12342
ES786837	ESR12351
ES786837	ESR12348
ES786839	ESR12350
ES786839	ESR12349
ES786839	ESR12345
ES786840	ESR12359
ES786840	ESR12336
ES786841	ESR12339
ES786842	ESR12338
ES786842	ESR12336
ES786845	ESR12339
ES786845	ESR12335
ES786846	ESR12342
ES786846	ESR12333
ES786846	ESR12332
ES786846	ESR12330
