FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
450594	Flow cytometry result	83363864	3283.450594.fcs	3283.fcs	2799
450595	Flow cytometry result	86442406	3283.450595.txt	3283.txt	2799
450596	Flow cytometry compensation or control	14109082	3344.450596.fcs	3344.fcs	2799
450597	Flow cytometry compensation or control	13801400	3346.450597.fcs	3346.fcs	2799
450598	Flow cytometry compensation or control	16512284	3348.450598.fcs	3348.fcs	2799
450599	Flow cytometry compensation or control	16162369	3350.450599.fcs	3350.fcs	2799
450600	Flow cytometry compensation or control	14142897	3352.450600.fcs	3352.fcs	2799
450601	Flow cytometry compensation or control	28270713	3354.450601.fcs	3354.fcs	2799
450602	Flow cytometry compensation or control	33051663	3356.450602.fcs	3356.fcs	2799
450603	Flow cytometry compensation or control	19488789	3358.450603.fcs	3358.fcs	2799
450604	Flow cytometry compensation or control	26145780	3360.450604.fcs	3360.fcs	2799
450605	Flow cytometry compensation or control	34031880	3362.450605.fcs	3362.fcs	2799
450606	Flow cytometry compensation or control	26082610	3364.450606.fcs	3364.fcs	2799
450607	Flow cytometry result	72845350	3397.450607.fcs	3397.fcs	2799
450608	Flow cytometry result	75627967	3397.450608.txt	3397.txt	2799
450609	Flow cytometry compensation or control	17138141	3371.450609.fcs	3371.fcs	2799
450610	Flow cytometry compensation or control	20291842	3374.450610.fcs	3374.fcs	2799
450611	Flow cytometry compensation or control	18112173	3376.450611.fcs	3376.fcs	2799
450612	Flow cytometry compensation or control	21626207	3378.450612.fcs	3378.fcs	2799
450613	Flow cytometry compensation or control	19779609	3380.450613.fcs	3380.fcs	2799
450614	Flow cytometry compensation or control	16369138	3382.450614.fcs	3382.fcs	2799
450615	Flow cytometry compensation or control	14446363	3384.450615.fcs	3384.fcs	2799
450616	Flow cytometry compensation or control	17068721	3386.450616.fcs	3386.fcs	2799
450617	Flow cytometry compensation or control	6161932	3388.450617.fcs	3388.fcs	2799
450618	Flow cytometry compensation or control	27581308	3390.450618.fcs	3390.fcs	2799
450619	Flow cytometry compensation or control	29763094	3392.450619.fcs	3392.fcs	2799
450620	Flow cytometry compensation or control	15660572	3394.450620.fcs	3394.fcs	2799
450621	Flow cytometry result	75550667	2051.450621.fcs	2051.fcs	2799
450622	Flow cytometry result	78137044	2051.450622.txt	2051.txt	2799
450623	Flow cytometry compensation or control	17873062	2048.450623.fcs	2048.fcs	2799
450624	Flow cytometry compensation or control	34196211	2118.450624.fcs	2118.fcs	2799
450625	Flow cytometry compensation or control	13668510	2120.450625.fcs	2120.fcs	2799
450626	Flow cytometry compensation or control	12176044	2122.450626.fcs	2122.fcs	2799
450627	Flow cytometry compensation or control	12218214	2124.450627.fcs	2124.fcs	2799
450628	Flow cytometry compensation or control	11047112	2126.450628.fcs	2126.fcs	2799
450629	Flow cytometry compensation or control	10293604	2128.450629.fcs	2128.fcs	2799
450630	Flow cytometry compensation or control	12829534	2130.450630.fcs	2130.fcs	2799
450631	Flow cytometry compensation or control	20993814	2132.450631.fcs	2132.fcs	2799
450632	Flow cytometry compensation or control	22387197	2134.450632.fcs	2134.fcs	2799
450633	Flow cytometry compensation or control	19303199	2136.450633.fcs	2136.fcs	2799
450634	Flow cytometry compensation or control	15082981	2138.450634.fcs	2138.fcs	2799
