FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
878582	CD19+	B lym CD19+	ANA805	454785
878596	CD38+	CD38+	ANA808	454786
878597		Freq. of		454786
878605		Freq. of		454787
878607	singlet	Singlet		454788
878610	CD19+	Q3: CD19+	ANA805	454788
878631	CD27+	B lym CD27+	ANA40	454790
878637		Plasmablast		454791
878640		Count		454792
878641	singlet	Singlet		454793
878645		CD45+		454793
878649	CD19+	Q2: CD19+	ANA805	454794
878651		Freq. of		454794
878659	IgD+	IgD+	ANA813	454795
878665	CD19+	B lym CD19+	ANA805	454796
878692	CD19+	B lym CD19+	ANA805	454799
878696		Freq. of		454799
878712	CD19+	Q3: CD19+	ANA805	454801
878718	CD27+	B lym CD27+	ANA40	454801
878719		Sum of Plasma cells		454802
878728		CD45+		454804
878735	CD19+	B lym CD19+	ANA805	454805
878749	CD19+	Q2: CD19+	ANA805	454807
878751	CD27+	CD27+	ANA40	454807
878755	CD20+	CD20+	ANA806	454807
878787	CD27+	B lym CD27+	ANA40	454811
878795	CD19+	Q3: CD19+	ANA805	454812
878799	CD138+	CD138+	ANA891	454812
878830		CD45+		454818
878842	CD19+	Q2: CD19+	ANA805	454819
878843	CD20+	CD20+	ANA806	454819
878844	CD24+	CD24+	ANA807	454819
878845	CD38+	CD38+	ANA808	454819
878851	CD19+	B lym CD19+	ANA805	454820
878869	CD20-	CD20-	ANA806	454822
878870	CD27+	B lym CD27+	ANA40	454822
878872		Freq. of		454822
878881	CD38+	CD38+	ANA808	454823
879889		Freq. of		454958
879901	CD19+	Q2: CD19+	ANA805	454960
879910	CD19+	B lym CD19+	ANA805	454961
879912	CD20+	CD20+	ANA806	454961
879920	CD19+	B lym CD19+	ANA805	454962
879932	CD20-	CD20-	ANA806	454963
879933		Freq. of		454963
879934	CD19+	B lym CD19+	ANA805	454963
879938	CD19+	Q3: CD19+	ANA805	454964
879947	CD19+	Q3: CD19+	ANA805	454965
879956	CD19+	B lym CD19+	ANA805	454966
879961	CD138+	CD138+	ANA891	454966
879970		CD45+		454969
880007	CD38+	CD38+	ANA808	454973
880020	CD19+	B lym CD19+	ANA805	454975
880038		CD45+		454977
880042	CD27+	B lym CD27+	ANA40	454977
880047		Sum of Plasma cells		454978
880059	CD19+	B lym CD19+	ANA805	454981
880072	CD19+	Q2: CD19+	ANA805	454982
880074	singlet	Singlet		454983
880080	IgD-	IgD-	ANA813	454983
880083	CD20+	CD20+	ANA806	454983
880086	CD19+	B lym CD19+	ANA805	454984
880088	CD20+	CD20+	ANA806	454984
880090	CD38+	CD38+	ANA808	454984
880093	CD20+	CD20+	ANA806	454984
880097	CD19+	Q3: CD19+	ANA805	454985
880110	singlet	Singlet		454987
880112	CD19+	B lym CD19+	ANA805	454987
880116	CD38+	CD38+	ANA808	454987
880121		CD45+		454988
880122	CD19+	B lym CD19+	ANA805	454988
880133		CD45+		454990
880134		Count		454990
880141		CD45+		454992
880144	CD20+	CD20+	ANA806	454992
880148		CD45+		454993
880149	CD19+	B lym CD19+	ANA805	454993
880159	CD19+	B lym CD19+	ANA805	454994
880164		Freq. of		454994
880178		CD45+		454996
880183	CD19+	B lym CD19+	ANA805	454996
880187	CD19+	Q3: CD19+	ANA805	454997
880188	CD20-	CD20-	ANA806	454997
880213		Sum of Plasma cells		455000
880554		CD45+		455046
880558	CD19+	Q2: CD19+	ANA805	455047
880569		Freq. of		455048
880580	CD19+	Q2: CD19+	ANA805	455049
880581	CD20+	CD20+	ANA806	455049
880587	CD24+	CD24+	ANA807	455050
880589		Freq. of		455050
880590	CD19+	Q2: CD19+	ANA805	455050
880599	singlet	Singlet		455052
880607	CD20-	CD20-	ANA806	455052
