FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
80073	11		PE-Cy5-A	CD20	CD20
100673	14		QDOT 565-A		CD45
113170	14		QDOT 565-A		CD45
135152	17		APC-Cy7-A	CD27	CD27
107316	3		FSC-H		FSC-H
95216	3		FSC-H		FSC-H
159205	5		SSC-A		SSC-A
159209	15		APC-A		SLAM
159216	10		PE-Texas Red-A	PTPRC	CD45RA
159217	16		Alexa 700-A	CD3E	CD3
159224	4		FSC-W		FSC-W
160787	11		PE-Cy5-A	ITAX	CD11c
160790	11		PE-Cy5-A	CD40	CD40
160791	6		SSC-H		SSC-H
159073	17		APC-Cy7-A	CD27	CD27
159077	14		QDOT 565-A		CD45
159081	9		PE-A	CD14	CD14
159084	12		PE-Cy7-A	CCR7	CCR7
159085	7		SSC-W		SSC-W
160824	5		SSC-A		SSC-A
160831	16		Alexa 700-A	HLA-DRA	HLADR
159226	1		Time		Time
159226	15		APC-A	THBD	BDCA-3
159237	7		SSC-W		SSC-W
160281	2		FSC-A		FSC-A
160297	8		FITC-A		LIN-1
160298	3		FSC-H		FSC-H
159100	15		APC-A		SLAM
159109	14		QDOT 565-A		CD45
159110	7		SSC-W		SSC-W
159112	2		FSC-A		FSC-A
159279	2		FSC-A		FSC-A
159281	14		QDOT 565-A		CD45
159291	7		SSC-W		SSC-W
159296	1		Time		Time
160220	4		FSC-W		FSC-W
160811	9		PE-A	CD14	CD14
160231	11		PE-Cy5-A	CD40	CD40
160234	12		PE-Cy7-A	CCR7	CCR7
160237	14		QDOT 565-A		CD45
160255	17		APC-Cy7-A	CD8A	CD8
160839	5		SSC-A		SSC-A
160851	14		QDOT 565-A		CD45
160851	15		APC-A	SDC1	CD138
160856	11		PE-Cy5-A	CD40	CD40
160308	12		PE-Cy7-A	CD38	CD38
160316	11		PE-Cy5-A	CD40	CD40
160317	10		PE-Texas Red-A	CD2	CD2
158999	8		FITC-A	CX3CR1	CX3CR1
159009	7		SSC-W		SSC-W
160328	2		FSC-A		FSC-A
158985	5		SSC-A		SSC-A
158986	7		SSC-W		SSC-W
158987	2		FSC-A		FSC-A
158989	17		APC-Cy7-A	CD8A	CD8
160874	8		FITC-A		LIN-1
