NAME	COMMENTS	DEFINITION	DESCRIPTION	LINK
B: B cell	B cells	CD3-, CD19+ , CD20+	B cell	http://purl.obolibrary.org/obo/CL_0000236
T: CCR4+ Treg	Tregs	CD3+, CD4+, CD127lo, CD25+, CCR4+	naive CCR4-positive regulatory T cell	http://purl.obolibrary.org/obo/CL_0001045
NK: CD16+ CD56+  NK cell	DCMonNK	CD3-, CD19-, CD20-, CD14-, HLA-DR-, CD16+, CD56+	CD16-positive, CD56-dim natural killer cell	http://purl.obolibrary.org/obo/CL_0000939
M: CD16+ monocyte	DCMonNK	CD3-, CD19-, CD20-, CD14+, CD16+	CD14-positive, CD16-positive monocyte	http://purl.obolibrary.org/obo/CL_0002397
NK: CD16- CD56bright NK cell	DCMonNK	CD3-, CD19-, CD20-, CD14-, HLA-DR-, CD16-, CD56++	CD16-negative, CD56-bright natural killer cell	http://purl.obolibrary.org/obo/CL_0000938
M: CD16- monocyte	DCMonNK	CD3-, CD19-, CD20-, CD14+, CD16-	CD14-positive, CD16-negative classical monocyte	http://purl.obolibrary.org/obo/CL_0002057
T: CD4+ T cell		CD3+, CD4+	CD4-positive, alpha-beta T cell 	http://purl.obolibrary.org/obo/CL_0000624
T: CD8+ T cell	T cells	CD3+, CD8+	CD8-positive, alpha-beta T cell	http://purl.obolibrary.org/obo/CL_0000625
B: IgD+ memory B cell	B cells	CD3-, CD19+, CD20+, CD27+, IgD+	unswitched memory B cell	http://purl.obolibrary.org/obo/CL_0000970
B: IgD- memory B cell		CD3-, CD19+, CD20+, CD27+, IgD-	IgD-negative memory B cell	http://purl.obolibrary.org/obo/CL_0001053
Live/Dead		Living cells gated from dead cells	Viable cells	http://purl.obolibrary.org/obo/PATO_0000169
T: NK T cell		CD3+, CD56+, CD14-, CD33-	mature NK T cell	http://purl.obolibrary.org/obo/CL_0000814
NK: NK cell	DCMonNK	CD3-, CD56+	natural killer cell	http://purl.obolibrary.org/obo/CL_0000623
