STANDARD_CURVE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
SC14	388484	MBAA
SC22	388484	MBAA
SC38	388484	MBAA
SC62	388486	MBAA
SC71	388486	MBAA
SC74	388486	MBAA
SC85	388486	MBAA
SC87	388486	MBAA
SC88	388486	MBAA
SC108	388487	MBAA
SC113	388487	MBAA
SC117	388487	MBAA
SC126	388487	MBAA
SC133	388487	MBAA
SC11	388484	MBAA
SC23	388484	MBAA
SC41	388484	MBAA
SC49	388484	MBAA
SC63	388486	MBAA
SC66	388486	MBAA
SC78	388486	MBAA
SC81	388486	MBAA
SC102	388487	MBAA
SC111	388487	MBAA
SC116	388487	MBAA
SC128	388487	MBAA
SC29	388484	MBAA
SC33	388484	MBAA
SC44	388484	MBAA
SC46	388484	MBAA
SC52	388486	MBAA
SC59	388486	MBAA
SC67	388486	MBAA
SC72	388486	MBAA
SC79	388486	MBAA
SC97	388487	MBAA
SC104	388487	MBAA
SC134	388487	MBAA
SC50	388484	MBAA
SC56	388486	MBAA
SC65	388486	MBAA
SC84	388486	MBAA
SC90	388486	MBAA
SC103	388487	MBAA
SC121	388487	MBAA
SC130	388487	MBAA
SC132	388487	MBAA
SC15	388484	MBAA
SC16	388484	MBAA
SC17	388484	MBAA
SC19	388484	MBAA
SC25	388484	MBAA
SC30	388484	MBAA
SC34	388484	MBAA
SC54	388486	MBAA
SC60	388486	MBAA
SC68	388486	MBAA
SC80	388486	MBAA
SC100	388487	MBAA
SC101	388487	MBAA
SC105	388487	MBAA
SC115	388487	MBAA
SC119	388487	MBAA
SC124	388487	MBAA
SC129	388487	MBAA
SC10	388484	MBAA
SC20	388484	MBAA
SC21	388484	MBAA
SC35	388484	MBAA
SC39	388484	MBAA
SC42	388484	MBAA
SC47	388484	MBAA
SC48	388484	MBAA
SC51	388484	MBAA
SC55	388486	MBAA
SC58	388486	MBAA
SC69	388486	MBAA
SC76	388486	MBAA
SC77	388486	MBAA
SC96	388487	MBAA
SC106	388487	MBAA
SC114	388487	MBAA
SC122	388487	MBAA
SC125	388487	MBAA
SC131	388487	MBAA
SC135	388487	MBAA
SC13	388484	MBAA
SC18	388484	MBAA
SC27	388484	MBAA
SC31	388484	MBAA
SC37	388484	MBAA
SC40	388484	MBAA
SC53	388486	MBAA
SC57	388486	MBAA
SC61	388486	MBAA
SC70	388486	MBAA
SC73	388486	MBAA
SC75	388486	MBAA
SC83	388486	MBAA
SC86	388486	MBAA
SC91	388486	MBAA
SC92	388486	MBAA
SC93	388486	MBAA
SC95	388487	MBAA
SC99	388487	MBAA
SC109	388487	MBAA
SC110	388487	MBAA
SC118	388487	MBAA
SC120	388487	MBAA
SC123	388487	MBAA
SC127	388487	MBAA
SC12	388484	MBAA
SC24	388484	MBAA
SC26	388484	MBAA
SC28	388484	MBAA
SC32	388484	MBAA
SC36	388484	MBAA
SC43	388484	MBAA
SC45	388484	MBAA
SC64	388486	MBAA
SC82	388486	MBAA
SC89	388486	MBAA
SC94	388487	MBAA
SC98	388487	MBAA
SC107	388487	MBAA
SC112	388487	MBAA
