EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES805091		194	3	
ES805103		194	3	
ES805124		194	3	
ES805138		194	3	
ES805156		194	3	
ES805173		195	3	
ES805191		195	3	
ES805193		195	3	
ES805200		195	3	
ES805202		195	3	
ES805208		195	3	
ES805210		195	3	
ES805218		195	3	
ES805224		195	3	
ES805231		195	3	
ES805246		195	3	
ES805252		195	3	
ES805253		195	3	
ES805255		196	3	
ES805264		196	3	
ES805308		198	3	
ES805318		198	3	
ES805320		198	3	
ES805327		198	3	
ES805332		198	3	
ES805335		198	3	
ES805343		198	3	
ES805357		199	3	
ES805363		199	3	
ES805367		199	3	
ES805392		199	3	
ES805405		199	3	
ES805418		199	3	
ES805429		199	3	
ES805433		196	3	
ES805447		196	3	
ES805475		196	3	
ES805481		196	3	
ES805487		196	3	
ES805491		197	3	
ES805492		197	3	
ES805496		197	3	
ES805548		197	3	
ES805566		197	3	
ES805586		198	3	
ES805590		198	3	
ES805092		194	3	
ES805098		194	3	
ES805106		194	3	
ES805116		194	3	
ES805125		194	3	
ES805134		194	3	
ES805137		194	3	
ES805140		194	3	
ES805150		194	3	
ES805161		194	3	
ES805169		194	3	
ES805178		195	3	
ES805180		195	3	
ES805185		195	3	
ES805187		195	3	
ES805206		195	3	
ES805214		195	3	
ES805217		195	3	
ES805229		195	3	
ES805242		195	3	
ES805245		195	3	
ES805248		195	3	
ES805249		195	3	
ES805250		195	3	
ES805254		195	3	
ES805261		196	3	
ES805266		196	3	
ES805270		196	3	
ES805274		196	3	
ES805290		198	3	
ES805292		198	3	
ES805294		198	3	
ES805297		198	3	
ES805304		198	3	
ES805305		198	3	
ES805314		198	3	
ES805316		198	3	
ES805319		198	3	
ES805331		198	3	
ES805342		198	3	
ES805358		199	3	
ES805364		199	3	
ES805365		199	3	
ES805371		199	3	
ES805373		199	3	
ES805376		199	3	
ES805379		199	3	
ES805383		199	3	
ES805384		199	3	
ES805396		199	3	
ES805399		199	3	
ES805406		199	3	
ES805408		199	3	
ES805410		199	3	
ES805419		199	3	
ES805420		199	3	
ES805421		199	3	
ES805439		196	3	
ES805440		196	3	
ES805445		196	3	
ES805452		196	3	
ES805457		196	3	
ES805458		196	3	
ES805459		196	3	
ES805488		196	3	
ES805493		197	3	
ES805495		197	3	
ES805525		197	3	
ES805526		197	3	
ES805531		197	3	
ES805547		197	3	
ES805559		197	3	
ES805569		197	3	
ES805574		197	3	
ES805588		198	3	
ES805589		198	3	
ES805099		194	3	
ES805113		194	3	
ES805118		194	3	
ES805122		194	3	
ES805128		194	3	
ES805131		194	3	
ES805144		194	3	
ES805148		194	3	
ES805155		194	3	
ES805158		194	3	
ES805163		194	3	
ES805164		194	3	
ES805165		194	3	
ES805171		195	3	
ES805176		195	3	
ES805189		195	3	
ES805194		195	3	
ES805212		195	3	
ES805220		195	3	
ES805221		195	3	
ES805230		195	3	
ES805241		195	3	
ES805244		195	3	
ES805247		195	3	
ES805265		196	3	
ES805276		196	3	
ES805291		198	3	
ES805295		198	3	
ES805329		198	3	
ES805346		198	3	
ES805360		199	3	
ES805369		199	3	
ES805395		199	3	
ES805411		199	3	
ES805413		199	3	
ES805428		199	3	
ES805441		196	3	
ES805443		196	3	
ES805463		196	3	
ES805464		196	3	
ES805468		196	3	
ES805476		196	3	
ES805480		196	3	
ES805498		197	3	
ES805499		197	3	
ES805503		197	3	
ES805507		197	3	
ES805509		197	3	
ES805513		197	3	
ES805520		197	3	
ES805523		197	3	
ES805543		197	3	
ES805544		197	3	
ES805550		197	3	
ES805552		197	3	
ES805560		197	3	
ES805561		197	3	
ES805562		197	3	
ES805571		198	3	
ES805585		198	3	
ES805094		194	3	
ES805096		194	3	
ES805102		194	3	
ES805108		194	3	
ES805109		194	3	
ES805111		194	3	
ES805143		194	3	
ES805145		194	3	
ES805181		195	3	
ES805188		195	3	
ES805197		195	3	
ES805198		195	3	
ES805207		195	3	
ES805213		195	3	
ES805219		195	3	
ES805226		195	3	
ES805235		195	3	
ES805238		195	3	
ES805239		195	3	
ES805243		195	3	
ES805267		196	3	
ES805269		196	3	
ES805272		196	3	
ES805275		196	3	
ES805280		196	3	
ES805281		196	3	
ES805282		196	3	
ES805286		198	3	
ES805309		198	3	
ES805310		198	3	
ES805326		198	3	
ES805330		198	3	
ES805337		198	3	
ES805340		198	3	
ES805341		198	3	
ES805361		199	3	
ES805375		199	3	
ES805388		199	3	
ES805390		199	3	
ES805400		199	3	
ES805403		199	3	
ES805409		199	3	
ES805412		199	3	
ES805414		199	3	
ES805427		199	3	
ES805430		199	3	
ES805431		199	3	
ES805435		196	3	
ES805442		196	3	
ES805451		196	3	
ES805461		196	3	
ES805473		196	3	
ES805484		196	3	
ES805485		196	3	
ES805502		197	3	
ES805519		197	3	
ES805522		197	3	
ES805529		197	3	
ES805532		197	3	
ES805533		197	3	
ES805537		197	3	
ES805541		197	3	
ES805545		197	3	
ES805551		197	3	
ES805556		197	3	
ES805563		197	3	
ES805567		197	3	
ES805576		198	3	
ES805580		198	3	
ES805582		198	3	
ES805100		194	3	
ES805107		194	3	
ES805119		194	3	
ES805120		194	3	
ES805121		194	3	
ES805123		194	3	
ES805126		194	3	
ES805129		194	3	
ES805133		194	3	
ES805149		194	3	
ES805157		194	3	
ES805160		194	3	
ES805167		194	3	
ES805172		195	3	
ES805179		195	3	
ES805182		195	3	
ES805190		195	3	
ES805192		195	3	
ES805199		195	3	
ES805203		195	3	
ES805211		195	3	
ES805215		195	3	
ES805216		195	3	
ES805223		195	3	
ES805227		195	3	
ES805258		196	3	
ES805260		196	3	
ES805271		196	3	
ES805299		198	3	
ES805302		198	3	
ES805312		198	3	
ES805323		198	3	
ES805351		199	3	
ES805353		199	3	
ES805356		199	3	
ES805359		199	3	
ES805382		199	3	
ES805387		199	3	
ES805397		199	3	
ES805401		199	3	
ES805402		199	3	
ES805422		199	3	
ES805423		199	3	
ES805425		199	3	
ES805446		196	3	
ES805448		196	3	
ES805454		196	3	
ES805456		196	3	
ES805460		196	3	
ES805462		196	3	
ES805483		196	3	
ES805486		196	3	
ES805489		197	3	
ES805501		197	3	
ES805511		197	3	
ES805516		197	3	
ES805517		197	3	
ES805518		197	3	
ES805538		197	3	
ES805540		197	3	
ES805542		197	3	
ES805565		197	3	
ES805568		197	3	
ES805581		198	3	
ES805583		198	3	
ES805101		194	3	
ES805104		194	3	
ES805110		194	3	
ES805139		194	3	
ES805153		194	3	
ES805159		194	3	
ES805162		194	3	
ES805166		194	3	
ES805196		195	3	
ES805205		195	3	
ES805228		195	3	
ES805233		195	3	
ES805236		195	3	
ES805257		196	3	
ES805283		198	3	
ES805298		198	3	
ES805300		198	3	
ES805307		198	3	
ES805315		198	3	
ES805321		198	3	
ES805328		198	3	
ES805333		198	3	
ES805334		198	3	
ES805344		198	3	
ES805345		198	3	
ES805349		199	3	
ES805352		199	3	
ES805362		199	3	
ES805377		199	3	
ES805378		199	3	
ES805380		199	3	
ES805381		199	3	
ES805386		199	3	
ES805393		199	3	
ES805404		199	3	
ES805416		199	3	
ES805424		199	3	
ES805426		199	3	
ES805432		199	3	
ES805434		196	3	
ES805444		196	3	
ES805453		196	3	
ES805455		196	3	
ES805467		196	3	
ES805472		196	3	
ES805474		196	3	
ES805482		196	3	
ES805506		197	3	
ES805508		197	3	
ES805510		197	3	
ES805514		197	3	
ES805515		197	3	
ES805528		197	3	
ES805534		197	3	
ES805535		197	3	
ES805546		197	3	
ES805549		197	3	
ES805558		197	3	
ES805573		197	3	
ES805579		198	3	
ES805090		194	3	
ES805097		194	3	
ES805105		194	3	
ES805112		194	3	
ES805115		194	3	
ES805130		194	3	
ES805132		194	3	
ES805136		194	3	
ES805141		194	3	
ES805146		194	3	
ES805147		194	3	
ES805151		194	3	
ES805152		194	3	
ES805168		194	3	
ES805170		194	3	
ES805174		195	3	
ES805184		195	3	
ES805186		195	3	
ES805195		195	3	
ES805225		195	3	
ES805232		195	3	
ES805237		195	3	
ES805256		196	3	
ES805259		196	3	
ES805262		196	3	
ES805263		196	3	
ES805268		196	3	
ES805284		198	3	
ES805285		198	3	
ES805287		198	3	
ES805303		198	3	
ES805313		198	3	
ES805322		198	3	
ES805325		198	3	
ES805336		198	3	
ES805338		198	3	
ES805347		198	3	
ES805348		198	3	
ES805350		199	3	
ES805354		199	3	
ES805355		199	3	
ES805366		199	3	
ES805370		199	3	
ES805372		199	3	
ES805385		199	3	
ES805394		199	3	
ES805398		199	3	
ES805415		199	3	
ES805417		199	3	
ES805436		196	3	
ES805449		196	3	
ES805450		196	3	
ES805465		196	3	
ES805471		196	3	
ES805478		196	3	
ES805490		197	3	
ES805500		197	3	
ES805504		197	3	
ES805505		197	3	
ES805521		197	3	
ES805524		197	3	
ES805539		197	3	
ES805553		197	3	
ES805554		197	3	
ES805557		197	3	
ES805564		197	3	
ES805570		197	3	
ES805577		198	3	
ES805578		198	3	
ES805587		198	3	
ES805093		194	3	
ES805095		194	3	
ES805114		194	3	
ES805117		194	3	
ES805127		194	3	
ES805135		194	3	
ES805142		194	3	
ES805154		194	3	
ES805175		195	3	
ES805177		195	3	
ES805183		195	3	
ES805201		195	3	
ES805204		195	3	
ES805209		195	3	
ES805222		195	3	
ES805234		195	3	
ES805240		195	3	
ES805251		195	3	
ES805273		196	3	
ES805277		196	3	
ES805278		196	3	
ES805279		196	3	
ES805288		198	3	
ES805289		198	3	
ES805293		198	3	
ES805296		198	3	
ES805301		198	3	
ES805306		198	3	
ES805311		198	3	
ES805317		198	3	
ES805324		198	3	
ES805339		198	3	
ES805368		199	3	
ES805374		199	3	
ES805389		199	3	
ES805391		199	3	
ES805407		199	3	
ES805437		196	3	
ES805438		196	3	
ES805466		196	3	
ES805469		196	3	
ES805470		196	3	
ES805477		196	3	
ES805479		196	3	
ES805494		197	3	
ES805497		197	3	
ES805512		197	3	
ES805527		197	3	
ES805530		197	3	
ES805536		197	3	
ES805555		197	3	
ES805572		198	3	
ES805575		198	3	
ES805584		198	3	
