FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1859470		T cell: viable		678619
1859479		T cell: viable		678621
1859481	lymphocyte	Lymph		678621
1859491		T cell: viable		678623
1859500	lymphocyte	Lymph		678624
1859511	CD27-	Q3: CD27-	ANA40	678625
1859517	CD45RA-	Q4: CD45RA-	ANA816	678626
1859535	CD85J+	CD85j+	ANA888	678629
1859537	singlet	singlets		678630
1859539	CD3+	CD3+	ANA809	678630
1859544	singlet	singlets		678631
1859546	CD3+	CD3+	ANA809	678631
1859555	CD45RA+	Q3: CD45RA+	ANA816	678632
1859558	singlet	singlets		678633
1859564	viable	NK-NKT: viable		678634
1859572	lymphocyte	Lymph		678637
1859573	CD3+	CD3+	ANA809	678637
1859601	singlet	singlets		678642
1859610	CD3+	CD3+	ANA809	678643
1859616	CD8-	CD8-	ANA810	678644
1859626	viable	NK-NKT: viable		678646
1859630	CD8-	CD8-	ANA810	678646
1859656	singlet	singlets		678651
1859670	viable	NK-NKT: viable		678653
1859671	singlet	singlets		678653
1859672	lymphocyte	Lymph		678653
1859677	CD94+	Q2: CD94+	ANA884	678653
1859692	CD314-	Q4: CD314-	ANA886	678655
1859699	lymphocyte	Lymph		678658
1859719	singlet	singlets		678662
1859723	CD20+	CD20+	ANA806	678662
1859735	singlet	singlets		678664
1859740	IgD-	Q1: IgD-	ANA813	678664
1859784		Treg: viable		678673
1859786	lymphocyte	Lymph		678673
1859788		Treg: viable		678674
1859797	CD4+	CD4+	ANA41	678675
1859801	lymphocyte	Lymph		678676
1859807	singlet	singlets		678677
1859808	lymphocyte	Lymph		678677
1859811	IL2RAhi	CD25hi	ANA163	678677
1859813	CD161-	Q1: CD161-	ANA883	678677
1859814	CD45RA+	Q1: CD45RA+	ANA816	678677
1859816	singlet	singlets		678678
1859820	IL2RAhi	CD25hi	ANA163	678678
1859822	CD161+	Q2: CD161+	ANA883	678678
1859839	CD127low	CD127low	ANA182	678680
1859848	singlet	singlets		678682
1859885	CXCR3	CXCR3 FMO: viable	ANA76	678691
1859890	CXCR3	CXCR3 FMO: viable	ANA76	678692
1859891	singlet	singlets		678692
1859892	lymphocyte	Lymph		678692
1859913	CXCR3	CXCR3 FMO: viable	ANA76	678696
1859924	CXCR3+	CXCR3+	ANA76	678698
1859939	CD16+	CD16+	ANA811	678703
1859941	CXCR3+	CXCR3+	ANA76	678703
1859944	lymphocyte	Lymph		678704
1859955	CD4+	CD4+	ANA41	678706
1859964	lymphocyte	Lymph		678708
1859965	CD3+	CD3+	ANA809	678708
1859979	singlet	singlets		678711
1859980	lymphocyte	Lymph		678711
1859990		Mono		678713
1860000		Activated T: viable		678717
1860002	lymphocyte	Lymph		678717
1860005	lymphocyte	Lymph		678718
1860006	CD3+	CD3+	ANA809	678718
1860012		Activated T: viable		678720
1860017	PD1+	PD1+	ANA818	678720
1860027	lymphocyte	Lymph		678722
1860032		Activated T: viable		678723
1860037	HLADR+	Q3: HLADR+	ANA812	678723
1860044	HLADR-	Q4: HLADR-	ANA812	678724
1860045	CD38-	Q4: CD38-	ANA808	678724
1860046		Activated T: viable		678725
1860052	singlet	singlets		678726
1860059	lymphocyte	Lymph		678727
1860061	CD8+	CD8+	ANA810	678727
1860065	singlet	singlets		678728
1860071		Activated T: viable		678729
1860072	singlet	singlets		678729
1860084	CD38-	Q4: CD38-	ANA808	678730
1860094	lymphocyte	Lymph		678734
1860097	lymphocyte	Lymph		678735
1860106	lymphocyte	Lymph		678737
1860139	lymphocyte	Lymph		678742
1860145	singlet	singlets		678743
1860151	lymphocyte	Lymph		678744
1860152	CD3+	CD3+	ANA809	678744
1860158	CD3+	CD3+	ANA809	678745
1860159	CD8+	CD8+	ANA810	678745
1860164	CD3+	CD3+	ANA809	678746
1860166	CD45RA-	Q1: CD45RA-	ANA816	678746
1860172	CD8+	CD8+	ANA810	678747
1860184	lymphocyte	Lymph		678749
1860186	CD8+	CD8+	ANA810	678749
1860187	CD45RA-	Q4: CD45RA-	ANA816	678749
1860189	viable	NK-NKT: viable		678750
1860197	lymphocyte	Lymph		678753
1860198	CD3+	CD3+	ANA809	678753
1860199	viable	NK-NKT: viable		678754
1860204	viable	NK-NKT: viable		678755
1860218	viable	NK-NKT: viable		678757
1860221	CD3+	CD3+	ANA809	678757
1860224	CD94-	Q3: CD94-	ANA884	678757
1860227	lymphocyte	Lymph		678758
1860228	CD3+	CD3+	ANA809	678758
1860232	viable	NK-NKT: viable		678759
1860238	singlet	singlets		678760
1860240	CD3+	CD3+	ANA809	678760
1860251	viable	NK-NKT: viable		678762
1860254	CD3+	CD3+	ANA809	678762
1860265	viable	NK-NKT: viable		678764
1860266	singlet	singlets		678764
1860275	singlet	singlets		678766
1860278	CD16+	CD16+	ANA811	678766
1860284	CD16+	CD16+	ANA811	678767
1860290	CD3-	CD3-	ANA809	678768
1860306	CD3-	CD3-	ANA809	678770
1860307	CD16+	CD16+	ANA811	678770
1860308	CD56+	CD56+	ANA815	678770
1860314	CD3-	CD3-	ANA809	678771
1860317	CD314-	Q4: CD314-	ANA886	678771
1860323	singlet	singlets		678774
1860324	lymphocyte	Lymph		678774
1860327	lymphocyte	Lymph		678775
1860329	viable	B cell: viable		678776
1860349	CD24+	CD24+	ANA807	678778
1860356	CD20+	CD20+	ANA806	678779
1860365	IgD-	Q1: IgD-	ANA813	678780
1860372	CD20+	CD20+	ANA806	678781
1860376	singlet	singlets		678782
1860377	lymphocyte	Lymph		678782
1860382	CD27-	Q3: CD27-	ANA40	678782
1860385	lymphocyte	Lymph		678783
1860392	singlet	singlets		678784
1860399	CD3-	CD3-	ANA809	678785
