STANDARD_CURVE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ASSAY_GROUP_ID	ASSAY_ID	EXPERIMENT_ACCESSION	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC966		Fisher-ICN2931949		198	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC978		Fisher-ICN2931949		198	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC983		Fisher-ICN2931949		197	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC995		Fisher-ICN2931949		197	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC997		Fisher-ICN2931949		199	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC999		Fisher-ICN2931949		195	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC972		Fisher-ICN2931949		198	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC977		Fisher-ICN2931949		197	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1002		Fisher-ICN2931949		198	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC986		Fisher-ICN2931949		194	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1000		Fisher-ICN2931949		196	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC964		Fisher-ICN2931949		196	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC963		Fisher-ICN2931949		195	EXP13808	part of the kit	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
