BIOSAMPLE_ACCESSION	TREATMENT_ACCESSION
BS747685	TRT1609
BS747687	TRT1609
BS747688	TRT1609
BS747691	TRT1609
BS747697	TRT1609
BS747715	TRT1609
BS747721	TRT1609
BS747730	TRT1609
BS747731	TRT1609
BS747734	TRT1609
BS747736	TRT1609
BS747741	TRT1609
BS747748	TRT1609
BS747750	TRT1609
BS747760	TRT1609
BS747772	TRT1609
BS747780	TRT1609
BS747782	TRT1609
BS747786	TRT1609
BS747791	TRT1609
BS747797	TRT1609
BS747809	TRT1609
BS747823	TRT1609
BS747827	TRT1609
BS747838	TRT1609
BS747864	TRT1609
BS747866	TRT1609
BS747867	TRT1609
BS747872	TRT1609
BS747885	TRT1609
BS747890	TRT1609
BS747892	TRT1609
BS747690	TRT1609
BS747704	TRT1609
BS747708	TRT1609
BS747727	TRT1609
BS747739	TRT1609
BS747745	TRT1609
BS747755	TRT1609
BS747757	TRT1609
BS747771	TRT1609
BS747781	TRT1609
BS747785	TRT1609
BS747801	TRT1609
BS747805	TRT1609
BS747844	TRT1609
BS747847	TRT1609
BS747861	TRT1609
BS747863	TRT1609
BS747868	TRT1609
BS747896	TRT1609
BS747897	TRT1609
BS747899	TRT1609
BS747903	TRT1609
BS747906	TRT1609
BS747682	TRT1609
BS747689	TRT1609
BS747695	TRT1609
BS747698	TRT1609
BS747724	TRT1609
BS747728	TRT1609
BS747733	TRT1609
BS747759	TRT1609
BS747766	TRT1609
BS747774	TRT1609
BS747775	TRT1609
BS747793	TRT1609
BS747804	TRT1609
BS747806	TRT1609
BS747807	TRT1609
BS747822	TRT1609
BS747831	TRT1609
BS747840	TRT1609
BS747843	TRT1609
BS747849	TRT1609
BS747855	TRT1609
BS747865	TRT1609
BS747886	TRT1609
BS747889	TRT1609
BS747891	TRT1609
BS747686	TRT1609
BS747692	TRT1609
BS747693	TRT1609
BS747694	TRT1609
BS747709	TRT1609
BS747717	TRT1609
BS747725	TRT1609
BS747732	TRT1609
BS747740	TRT1609
BS747743	TRT1609
BS747746	TRT1609
BS747751	TRT1609
BS747754	TRT1609
BS747770	TRT1609
BS747787	TRT1609
BS747792	TRT1609
BS747795	TRT1609
BS747799	TRT1609
BS747812	TRT1609
BS747821	TRT1609
BS747837	TRT1609
BS747841	TRT1609
BS747848	TRT1609
BS747862	TRT1609
BS747870	TRT1609
BS747873	TRT1609
BS747880	TRT1609
BS747881	TRT1609
BS747887	TRT1609
BS747901	TRT1609
BS747902	TRT1609
BS747908	TRT1609
BS747679	TRT1609
BS747680	TRT1609
BS747681	TRT1609
BS747700	TRT1609
BS747705	TRT1609
BS747706	TRT1609
BS747711	TRT1609
BS747712	TRT1609
BS747719	TRT1609
BS747729	TRT1609
BS747735	TRT1609
BS747744	TRT1609
BS747752	TRT1609
BS747753	TRT1609
BS747756	TRT1609
BS747761	TRT1609
BS747763	TRT1609
BS747777	TRT1609
BS747778	TRT1609
BS747790	TRT1609
BS747800	TRT1609
BS747808	TRT1609
BS747811	TRT1609
BS747813	TRT1609
BS747820	TRT1609
BS747828	TRT1609
BS747830	TRT1609
BS747834	TRT1609
BS747835	TRT1609
BS747836	TRT1609
BS747854	TRT1609
BS747877	TRT1609
BS747879	TRT1609
BS747882	TRT1609
BS747904	TRT1609
BS747907	TRT1609
BS747677	TRT1609
BS747702	TRT1609
BS747703	TRT1609
BS747707	TRT1609
BS747710	TRT1609
BS747713	TRT1609
BS747714	TRT1609
BS747716	TRT1609
BS747726	TRT1609
BS747742	TRT1609
BS747747	TRT1609
BS747749	TRT1609
BS747758	TRT1609
BS747762	TRT1609
BS747764	TRT1609
BS747769	TRT1609
BS747773	TRT1609
BS747779	TRT1609
BS747796	TRT1609
BS747798	TRT1609
BS747802	TRT1609
BS747810	TRT1609
BS747814	TRT1609
BS747817	TRT1609
BS747819	TRT1609
BS747829	TRT1609
BS747832	TRT1609
BS747833	TRT1609
BS747842	TRT1609
BS747845	TRT1609
BS747846	TRT1609
BS747859	TRT1609
BS747883	TRT1609
BS747884	TRT1609
BS747900	TRT1609
BS747905	TRT1609
BS747676	TRT1609
BS747678	TRT1609
BS747683	TRT1609
BS747684	TRT1609
BS747696	TRT1609
BS747723	TRT1609
BS747738	TRT1609
BS747765	TRT1609
BS747767	TRT1609
BS747768	TRT1609
BS747803	TRT1609
BS747816	TRT1609
BS747850	TRT1609
BS747857	TRT1609
BS747860	TRT1609
BS747869	TRT1609
BS747874	TRT1609
BS747875	TRT1609
BS747878	TRT1609
BS747893	TRT1609
BS747895	TRT1609
BS747898	TRT1609
BS747699	TRT1609
BS747701	TRT1609
BS747718	TRT1609
BS747720	TRT1609
BS747722	TRT1609
BS747737	TRT1609
BS747776	TRT1609
BS747783	TRT1609
BS747784	TRT1609
BS747788	TRT1609
BS747789	TRT1609
BS747794	TRT1609
BS747815	TRT1609
BS747818	TRT1609
BS747824	TRT1609
BS747825	TRT1609
BS747826	TRT1609
BS747839	TRT1609
BS747851	TRT1609
BS747852	TRT1609
BS747853	TRT1609
BS747856	TRT1609
BS747858	TRT1609
BS747871	TRT1609
BS747876	TRT1609
BS747888	TRT1609
BS747894	TRT1609
