CONTROL_SAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	CATALOG_ID	DILUTION_FACTOR	EXPERIMENT_ACCESSION	LOT_NUMBER	RESULT_SCHEMA	SOURCE	UPLOAD_RESULT_STATUS	WORKSPACE_ID
CS1034	H51-2	2293	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1042	H51-2	2288	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1050	H51-2	2290	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1031	H51-2	2292	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1041	H51-2	2288	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1053	H51-2	2291	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1036	H51-2	2287	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1038	H51-2	2287	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1044	H51-2	2289	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1046	H51-2	2289	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1049	H51-2	2290	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1051	H51-2	2291	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1052	H51-2	2291	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1032	H51-2	2292	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1037	H51-2	2287	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1043	H51-2	2289	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1048	H51-2	2290	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1029	H51-2	2292	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1039	H51-2	2288	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1045	H51-2	2289	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1047	H51-2	2290	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1030	H51-2	2292	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1033	H51-2	2293	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1035	H51-2	2287	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1040	H51-2	2288	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
CS1054	H51-2	2291	Fisher ICN2931949	1	EXP13838		MBAA	Control Serum	Parsed	2883
