REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR12071	ESR12053	2883
ESR12071	ESR12054	2883
ESR12071	ESR12055	2883
ESR12071	ESR12059	2883
ESR12071	ESR12060	2883
ESR12071	ESR12061	2883
ESR12071	ESR12064	2883
ESR12071	ESR12065	2883
ESR12072	ESR12046	2883
ESR12072	ESR12056	2883
ESR12072	ESR12059	2883
ESR12072	ESR12062	2883
ESR12072	ESR12065	2883
ESR12072	ESR12066	2883
ESR12072	ESR12068	2883
ESR12073	ESR12049	2883
ESR12073	ESR12050	2883
ESR12073	ESR12051	2883
ESR12073	ESR12054	2883
ESR12073	ESR12058	2883
ESR12073	ESR12059	2883
ESR12073	ESR12069	2883
ESR12074	ESR12043	2883
ESR12074	ESR12044	2883
ESR12074	ESR12052	2883
ESR12074	ESR12059	2883
ESR12074	ESR12060	2883
ESR12074	ESR12061	2883
ESR12074	ESR12065	2883
ESR12075	ESR12045	2883
ESR12075	ESR12049	2883
ESR12075	ESR12057	2883
ESR12075	ESR12059	2883
ESR12075	ESR12061	2883
ESR12075	ESR12063	2883
ESR12075	ESR12065	2883
ESR12076	ESR12045	2883
ESR12076	ESR12047	2883
ESR12076	ESR12048	2883
ESR12076	ESR12057	2883
ESR12076	ESR12059	2883
ESR12076	ESR12061	2883
ESR12076	ESR12062	2883
ESR12076	ESR12065	2883
ESR12077	ESR12058	2883
ESR12077	ESR12059	2883
ESR12077	ESR12061	2883
ESR12077	ESR12065	2883
ESR12077	ESR12067	2883
ESR12077	ESR12070	2883
