EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES784114	TRT1338
ES784115	TRT1338
ES784132	TRT1338
ES784154	TRT1338
ES784172	TRT1338
ES784185	TRT1338
ES784206	TRT1338
ES784212	TRT1338
ES784223	TRT1338
ES784225	TRT1338
ES784235	TRT1338
ES784236	TRT1338
ES784251	TRT1338
ES784253	TRT1338
ES784256	TRT1338
ES784262	TRT1338
ES784263	TRT1338
ES784268	TRT1338
ES784277	TRT1338
ES784279	TRT1338
ES784297	TRT1338
ES784305	TRT1338
ES784308	TRT1338
ES784317	TRT1338
ES784318	TRT1338
ES784325	TRT1338
ES779470	TRT1338
ES779473	TRT1338
ES779477	TRT1338
ES779492	TRT1338
ES779500	TRT1338
ES779505	TRT1338
ES779513	TRT1338
ES779517	TRT1338
ES779520	TRT1338
ES779532	TRT1338
ES779540	TRT1338
ES779549	TRT1338
ES779557	TRT1338
ES779558	TRT1338
ES779559	TRT1338
ES779563	TRT1338
ES779575	TRT1338
ES779580	TRT1338
ES779588	TRT1338
ES779591	TRT1338
ES779594	TRT1338
ES779599	TRT1338
ES779602	TRT1338
ES779603	TRT1338
ES779610	TRT1338
ES779616	TRT1338
ES779617	TRT1338
ES779623	TRT1338
ES779631	TRT1338
ES779637	TRT1338
ES779659	TRT1338
ES779661	TRT1338
ES779666	TRT1338
ES779676	TRT1338
ES779679	TRT1338
ES779680	TRT1338
ES779689	TRT1338
ES783579	TRT1338
ES783583	TRT1338
ES783587	TRT1338
ES783606	TRT1338
ES783627	TRT1338
ES783639	TRT1338
ES783645	TRT1338
ES783647	TRT1338
ES783650	TRT1338
ES783651	TRT1338
ES784345	TRT1338
ES784349	TRT1338
ES784355	TRT1338
ES784363	TRT1338
ES784369	TRT1338
ES779410	TRT1338
ES779413	TRT1338
ES779415	TRT1338
ES779429	TRT1338
ES779438	TRT1338
ES779448	TRT1338
ES779455	TRT1338
ES784127	TRT1338
ES784131	TRT1338
ES784145	TRT1338
ES784151	TRT1338
ES784159	TRT1338
ES784163	TRT1338
ES784173	TRT1338
ES784177	TRT1338
ES784182	TRT1338
ES784189	TRT1338
ES784192	TRT1338
ES784197	TRT1338
ES784205	TRT1338
ES784207	TRT1338
ES784210	TRT1338
ES784234	TRT1338
ES784237	TRT1338
ES784239	TRT1338
ES784247	TRT1338
ES784249	TRT1338
ES784254	TRT1338
ES784276	TRT1338
ES784278	TRT1338
ES784286	TRT1338
ES784296	TRT1338
ES784304	TRT1338
ES784327	TRT1338
ES779472	TRT1338
ES779478	TRT1338
ES779483	TRT1338
ES779501	TRT1338
ES779504	TRT1338
ES779506	TRT1338
ES779510	TRT1338
ES779514	TRT1338
ES779519	TRT1338
ES779543	TRT1338
ES779552	TRT1338
ES779573	TRT1338
ES779584	TRT1338
ES779586	TRT1338
ES779590	TRT1338
ES779622	TRT1338
ES779627	TRT1338
ES779644	TRT1338
ES779652	TRT1338
ES779662	TRT1338
ES779663	TRT1338
ES779665	TRT1338
ES779667	TRT1338
ES779674	TRT1338
ES779687	TRT1338
ES779692	TRT1338
ES779694	TRT1338
ES779702	TRT1338
ES779705	TRT1338
ES783582	TRT1338
ES783586	TRT1338
ES783589	TRT1338
ES783590	TRT1338
ES783593	TRT1338
ES783596	TRT1338
ES783603	TRT1338
ES783604	TRT1338
ES783609	TRT1338
ES783628	TRT1338
ES783629	TRT1338
ES783654	TRT1338
ES783658	TRT1338
ES783662	TRT1338
ES784333	TRT1338
ES784334	TRT1338
ES784348	TRT1338
ES784366	TRT1338
ES779402	TRT1338
ES779403	TRT1338
ES779426	TRT1338
ES779435	TRT1338
ES779449	TRT1338
ES779451	TRT1338
ES779457	TRT1338
ES779458	TRT1338
ES784117	TRT1338
ES784121	TRT1338
ES784152	TRT1338
ES784157	TRT1338
ES784160	TRT1338
ES784181	TRT1338
ES784195	TRT1338
ES784198	TRT1338
ES784214	TRT1338
ES784219	TRT1338
ES784224	TRT1338
ES784230	TRT1338
ES784232	TRT1338
ES784233	TRT1338
ES784238	TRT1338
ES784240	TRT1338
ES784255	TRT1338
ES784261	TRT1338
ES784270	TRT1338
ES784273	TRT1338
ES784283	TRT1338
ES784287	TRT1338
ES784288	TRT1338
ES784290	TRT1338
ES784295	TRT1338
ES784306	TRT1338
ES784307	TRT1338
ES784311	TRT1338
ES784313	TRT1338
ES784320	TRT1338
ES784321	TRT1338
ES784324	TRT1338
ES784326	TRT1338
ES779475	TRT1338
ES779531	TRT1338
ES779533	TRT1338
ES779537	TRT1338
ES779541	TRT1338
ES779542	TRT1338
ES779554	TRT1338
ES779562	TRT1338
ES779565	TRT1338
ES779576	TRT1338
ES779577	TRT1338
ES779582	TRT1338
ES779629	TRT1338
ES779632	TRT1338
ES779650	TRT1338
ES779668	TRT1338
ES779682	TRT1338
ES779683	TRT1338
ES779685	TRT1338
ES779688	TRT1338
ES779691	TRT1338
ES783581	TRT1338
ES783588	TRT1338
ES783605	TRT1338
ES783611	TRT1338
ES783621	TRT1338
ES783622	TRT1338
ES783633	TRT1338
ES783646	TRT1338
ES783652	TRT1338
ES784336	TRT1338
ES784338	TRT1338
ES784346	TRT1338
ES784347	TRT1338
ES784357	TRT1338
ES784360	TRT1338
ES784361	TRT1338
ES784364	TRT1338
ES779399	TRT1338
ES779401	TRT1338
ES779418	TRT1338
ES779424	TRT1338
ES779425	TRT1338
ES779428	TRT1338
ES779436	TRT1338
ES779441	TRT1338
ES779452	TRT1338
ES779462	TRT1338
ES779463	TRT1338
ES784118	TRT1338
ES784123	TRT1338
ES784124	TRT1338
ES784138	TRT1338
ES784139	TRT1338
ES784141	TRT1338
ES784142	TRT1338
ES784143	TRT1338
ES784147	TRT1338
ES784150	TRT1338
ES784156	TRT1338
ES784164	TRT1338
ES784165	TRT1338
ES784170	TRT1338
ES784180	TRT1338
ES784213	TRT1338
ES784220	TRT1338
ES784228	TRT1338
ES784246	TRT1338
ES784248	TRT1338
ES784274	TRT1338
ES784275	TRT1338
ES784281	TRT1338
ES784289	TRT1338
ES784310	TRT1338
ES784314	TRT1338
ES784316	TRT1338
ES779486	TRT1338
ES779497	TRT1338
ES779507	TRT1338
ES779512	TRT1338
ES779525	TRT1338
ES779535	TRT1338
ES779544	TRT1338
ES779545	TRT1338
ES779546	TRT1338
ES779551	TRT1338
ES779555	TRT1338
ES779568	TRT1338
ES779581	TRT1338
ES779583	TRT1338
ES779593	TRT1338
ES779597	TRT1338
ES779609	TRT1338
ES779626	TRT1338
ES779633	TRT1338
ES779636	TRT1338
ES779638	TRT1338
ES779645	TRT1338
ES779647	TRT1338
ES779656	TRT1338
ES779675	TRT1338
ES779695	TRT1338
ES783580	TRT1338
ES783595	TRT1338
ES783598	TRT1338
ES783599	TRT1338
ES783612	TRT1338
ES783613	TRT1338
ES783619	TRT1338
ES783624	TRT1338
ES783625	TRT1338
ES783636	TRT1338
ES783640	TRT1338
ES783644	TRT1338
ES783649	TRT1338
ES783660	TRT1338
ES784330	TRT1338
ES784337	TRT1338
ES784353	TRT1338
ES784354	TRT1338
ES784356	TRT1338
ES784365	TRT1338
ES784368	TRT1338
ES779407	TRT1338
ES779414	TRT1338
ES779416	TRT1338
ES779430	TRT1338
ES779432	TRT1338
ES779437	TRT1338
ES779453	TRT1338
ES779456	TRT1338
ES779464	TRT1338
ES779468	TRT1338
ES784119	TRT1338
ES784125	TRT1338
ES784129	TRT1338
ES784133	TRT1338
ES784137	TRT1338
ES784140	TRT1338
ES784144	TRT1338
ES784153	TRT1338
ES784155	TRT1338
ES784158	TRT1338
ES784169	TRT1338
ES784171	TRT1338
ES784174	TRT1338
ES784184	TRT1338
ES784190	TRT1338
ES784201	TRT1338
ES784221	TRT1338
ES784227	TRT1338
ES784229	TRT1338
ES784231	TRT1338
ES784267	TRT1338
ES784269	TRT1338
ES784294	TRT1338
ES784298	TRT1338
ES784300	TRT1338
ES784302	TRT1338
ES779471	TRT1338
ES779474	TRT1338
ES779476	TRT1338
ES779491	TRT1338
ES779496	TRT1338
ES779499	TRT1338
ES779503	TRT1338
ES779515	TRT1338
ES779516	TRT1338
ES779524	TRT1338
ES779529	TRT1338
ES779534	TRT1338
ES779567	TRT1338
ES779598	TRT1338
ES779606	TRT1338
ES779608	TRT1338
ES779611	TRT1338
ES779614	TRT1338
ES779621	TRT1338
ES779624	TRT1338
ES779625	TRT1338
ES779634	TRT1338
ES779642	TRT1338
ES779651	TRT1338
ES779672	TRT1338
ES779681	TRT1338
ES779686	TRT1338
ES779693	TRT1338
ES779701	TRT1338
ES779703	TRT1338
ES779704	TRT1338
ES783584	TRT1338
