fcs_file_name	file_info_id..4	FCS_file_name	Panel
FluVaccine10-1-13_NCH-VK-143BPanel.467282.fcs	467282	FluVaccine10-1-13_NCH-VK-143BPanel.467282.fcs	B
FluVaccine10-1-13_NCH-VK-143DC1Panel.467296.fcs	467296	FluVaccine10-1-13_NCH-VK-143DC1Panel.467296.fcs	DC1
FluVaccine10-1-13_NCH-VK-143MonoPanel.467298.fcs	467298	FluVaccine10-1-13_NCH-VK-143MonoPanel.467298.fcs	Mono
FluVaccine10-1-13_NCH-VK-143TfhPanel.467300.fcs	467300	FluVaccine10-1-13_NCH-VK-143TfhPanel.467300.fcs	Tfh
FluVaccine10-1-13_NCH-VK-144BPanel.467302.fcs	467302	FluVaccine10-1-13_NCH-VK-144BPanel.467302.fcs	B
FluVaccine10-1-13_NCH-VK-144DC1Panel.467305.fcs	467305	FluVaccine10-1-13_NCH-VK-144DC1Panel.467305.fcs	DC1
FluVaccine10-1-13_NCH-VK-144MonoPane.467307.fcs	467307	FluVaccine10-1-13_NCH-VK-144MonoPane.467307.fcs	Mono
FluVaccine10-1-13_NCH-VK-144TfhPanel.467309.fcs	467309	FluVaccine10-1-13_NCH-VK-144TfhPanel.467309.fcs	Tfh
FluVaccine10-1-13_NCH-VK-148BPanel.467311.fcs	467311	FluVaccine10-1-13_NCH-VK-148BPanel.467311.fcs	B
FluVaccine10-1-13_NCH-VK-148DC1Panel.467314.fcs	467314	FluVaccine10-1-13_NCH-VK-148DC1Panel.467314.fcs	DC1
FluVaccine10-1-13_NCH-VK-148MonoPanel.467316.fcs	467316	FluVaccine10-1-13_NCH-VK-148MonoPanel.467316.fcs	Mono
FluVaccine10-1-13_NCH-VK-148TfhPanel.467318.fcs	467318	FluVaccine10-1-13_NCH-VK-148TfhPanel.467318.fcs	Tfh
FluVaccine8-13-13_NCH-VK-131BPanel.467336.fcs	467336	FluVaccine8-13-13_NCH-VK-131BPanel.467336.fcs	B
FluVaccine8-13-13_NCH-VK-131DC1Panel.467350.fcs	467350	FluVaccine8-13-13_NCH-VK-131DC1Panel.467350.fcs	DC1
FluVaccine8-13-13_NCH-VK-131MonoPane.467352.fcs	467352	FluVaccine8-13-13_NCH-VK-131MonoPane.467352.fcs	Mono
FluVaccine8-13-13_NCH-VK-131TfhPanel.467354.fcs	467354	FluVaccine8-13-13_NCH-VK-131TfhPanel.467354.fcs	Tfh
FluVaccine8-13-13_NCH-VK-132BPanel.467356.fcs	467356	FluVaccine8-13-13_NCH-VK-132BPanel.467356.fcs	B
FluVaccine8-13-13_NCH-VK-132DC1Panel.467359.fcs	467359	FluVaccine8-13-13_NCH-VK-132DC1Panel.467359.fcs	DC1
FluVaccine8-13-13_NCH-VK-132MonoPanel.467361.fcs	467361	FluVaccine8-13-13_NCH-VK-132MonoPanel.467361.fcs	Mono
FluVaccine8-13-13_NCH-VK-132TfhPanel.467363.fcs	467363	FluVaccine8-13-13_NCH-VK-132TfhPanel.467363.fcs	Tfh
FluVaccine8-13-13_NCH-VK-133BPanel.467365.fcs	467365	FluVaccine8-13-13_NCH-VK-133BPanel.467365.fcs	B
FluVaccine8-13-13_NCH-VK-133DC1Panel.467368.fcs	467368	FluVaccine8-13-13_NCH-VK-133DC1Panel.467368.fcs	DC1
FluVaccine8-13-13_NCH-VK-133MonoPanel.467370.fcs	467370	FluVaccine8-13-13_NCH-VK-133MonoPanel.467370.fcs	Mono
FluVaccine8-13-13_NCH-VK-133TfhPanel.467372.fcs	467372	FluVaccine8-13-13_NCH-VK-133TfhPanel.467372.fcs	Tfh
FluVaccine8-13-13_NCH-VK-134BPanel.467374.fcs	467374	FluVaccine8-13-13_NCH-VK-134BPanel.467374.fcs	B
FluVaccine8-13-13_NCH-VK-134DC1Panel.467377.fcs	467377	FluVaccine8-13-13_NCH-VK-134DC1Panel.467377.fcs	DC1
FluVaccine8-13-13_NCH-VK-134MonoPanel.467379.fcs	467379	FluVaccine8-13-13_NCH-VK-134MonoPanel.467379.fcs	Mono
FluVaccine8-13-13_NCH-VK-134TfhPanel.467381.fcs	467381	FluVaccine8-13-13_NCH-VK-134TfhPanel.467381.fcs	Tfh
FluVaccine8-13-13_NCH-VK-135BPanel.467383.fcs	467383	FluVaccine8-13-13_NCH-VK-135BPanel.467383.fcs	B
FluVaccine8-13-13_NCH-VK-135DC1Panel.467386.fcs	467386	FluVaccine8-13-13_NCH-VK-135DC1Panel.467386.fcs	DC1
FluVaccine8-13-13_NCH-VK-135MonoPanel.467388.fcs	467388	FluVaccine8-13-13_NCH-VK-135MonoPanel.467388.fcs	Mono
FluVaccine8-13-13_NCH-VK-135TfhPanel.467390.fcs	467390	FluVaccine8-13-13_NCH-VK-135TfhPanel.467390.fcs	Tfh
FluVaccine8-13-13_NCH-VK-152BPanel.467392.fcs	467392	FluVaccine8-13-13_NCH-VK-152BPanel.467392.fcs	B
FluVaccine8-13-13_NCH-VK-152DC1Panel.467395.fcs	467395	FluVaccine8-13-13_NCH-VK-152DC1Panel.467395.fcs	DC1
FluVaccine8-13-13_NCH-VK-152MonoPanel.467397.fcs	467397	FluVaccine8-13-13_NCH-VK-152MonoPanel.467397.fcs	Mono
FluVaccine8-13-13_NCH-VK-152TfhPanel.467399.fcs	467399	FluVaccine8-13-13_NCH-VK-152TfhPanel.467399.fcs	Tfh
FluVaccine9-26-13_NCH-VK-147BPanel.467402.fcs	467402	FluVaccine9-26-13_NCH-VK-147BPanel.467402.fcs	B
FluVaccine9-26-13_NCH-VK-147DC1Panel.467416.fcs	467416	FluVaccine9-26-13_NCH-VK-147DC1Panel.467416.fcs	DC1
FluVaccine9-26-13_NCH-VK-147MonoPanel.467418.fcs	467418	FluVaccine9-26-13_NCH-VK-147MonoPanel.467418.fcs	Mono
