FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
483431	Flow cytometry result	24475307	Flu Vaccine-K 11-09-10_NCH-VK 21 B Panel.483431.fcs	Flu Vaccine-K 11-09-10_NCH-VK 21 B Panel.fcs	2799
483432	Flow cytometry compensation or control	8836018	Flu Vaccine-K 11-09-10_NCH-VK 21 Ctrl.483432.fcs	Flu Vaccine-K 11-09-10_NCH-VK 21 Ctrl.fcs	2799
483433	Flow cytometry compensation or control	8354593	Comp Controls_Unstained 11_09_10.483433.fcs	Comp Controls_Unstained 11_09_10.fcs	2799
483434	Flow cytometry compensation or control	9971115	Comp Controls_LIN1 FITC 11_09_10.483434.fcs	Comp Controls_LIN1 FITC 11_09_10.fcs	2799
483435	Flow cytometry compensation or control	9584392	Comp Controls_Cd3 PE 11_09_10.483435.fcs	Comp Controls_Cd3 PE 11_09_10.fcs	2799
483436	Flow cytometry compensation or control	10167651	Comp Controls_CD19 PE-Texas Red 11_09_10.483436.fcs	Comp Controls_CD19 PE-Texas Red 11_09_10.fcs	2799
483437	Flow cytometry compensation or control	10453308	Comp Controls_CD20 PE-Cy5 11_09_10.483437.fcs	Comp Controls_CD20 PE-Cy5 11_09_10.fcs	2799
483438	Flow cytometry compensation or control	9071072	Comp Controls_CD56 PE-Cy7 11_09_10.483438.fcs	Comp Controls_CD56 PE-Cy7 11_09_10.fcs	2799
483439	Flow cytometry compensation or control	10692065	Comp Controls_CD4 Pacific Blue 11_09_10.483439.fcs	Comp Controls_CD4 Pacific Blue 11_09_10.fcs	2799
483440	Flow cytometry compensation or control	12068448	Comp Controls_CD45 QDOT 565 11_09_10.483440.fcs	Comp Controls_CD45 QDOT 565 11_09_10.fcs	2799
483441	Flow cytometry compensation or control	14935862	Comp Controls_CD16 APC 11_09_10.483441.fcs	Comp Controls_CD16 APC 11_09_10.fcs	2799
483442	Flow cytometry compensation or control	10264679	Comp Controls_CD3 Alexa 700 11_09_10.483442.fcs	Comp Controls_CD3 Alexa 700 11_09_10.fcs	2799
483443	Flow cytometry compensation or control	11910887	Comp Controls_CD8 APC-Cy7 11_09_10.483443.fcs	Comp Controls_CD8 APC-Cy7 11_09_10.fcs	2799
483444	Flow cytometry result	27790795	Flu Vaccine-K 11-09-10_NCH-VK 21 B Panel.483444.txt	Flu Vaccine-K 11-09-10_NCH-VK 21 B Panel.txt	2799
483445	Flow cytometry result	25509783	Flu Vaccine-K 11-09-10_NCH-VK 21 DC Panel.483445.fcs	Flu Vaccine-K 11-09-10_NCH-VK 21 DC Panel.fcs	2799
483446	Flow cytometry result	29641094	Flu Vaccine-K 11-09-10_NCH-VK 21 DC Panel.483446.txt	Flu Vaccine-K 11-09-10_NCH-VK 21 DC Panel.txt	2799
483447	Flow cytometry result	31991776	Flu Vaccine-K 11-09-10_NCH-VK 21 Mono,2f,Gran,2f,SLAN.483447.fcs	Flu Vaccine-K 11-09-10_NCH-VK 21 Mono,2f,Gran,2f,SLAN.fcs	2799
483448	Flow cytometry result	36573199	Flu Vaccine-K 11-09-10_NCH-VK 21 Mono,2f,Gran,2f,SLAN.483448.txt	Flu Vaccine-K 11-09-10_NCH-VK 21 Mono,2f,Gran,2f,SLAN.txt	2799
483449	Flow cytometry result	26320149	Flu Vaccine-K 11-09-10_NCH-VK 21 TFH Panel.483449.fcs	Flu Vaccine-K 11-09-10_NCH-VK 21 TFH Panel.fcs	2799
483450	Flow cytometry result	30047517	Flu Vaccine-K 11-09-10_NCH-VK 21 TFH Panel.483450.txt	Flu Vaccine-K 11-09-10_NCH-VK 21 TFH Panel.txt	2799
483451	Flow cytometry result	23078179	Flu Vaccine-K 11-16-10_NCH-VK 21 B Panel.483451.fcs	Flu Vaccine-K 11-16-10_NCH-VK 21 B Panel.fcs	2799
483452	Flow cytometry compensation or control	5923782	Flu Vaccine-K 11-16-10_NCH-VK 21 Ctrl.483452.fcs	Flu Vaccine-K 11-16-10_NCH-VK 21 Ctrl.fcs	2799
483453	Flow cytometry compensation or control	10257259	Comp Controls_LIN1 FITC 11_1617_10.483453.fcs	Comp Controls_LIN1 FITC 11_1617_10.fcs	2799
483454	Flow cytometry compensation or control	10904544	Comp Controls_Cd3 PE 11_1617_10.483454.fcs	Comp Controls_Cd3 PE 11_1617_10.fcs	2799
483455	Flow cytometry compensation or control	11318551	Comp Controls_CD19 PE-Texas Red 11_1617_10.483455.fcs	Comp Controls_CD19 PE-Texas Red 11_1617_10.fcs	2799
483456	Flow cytometry compensation or control	11287940	Comp Controls_CD20 PE-Cy5 11_1617_10.483456.fcs	Comp Controls_CD20 PE-Cy5 11_1617_10.fcs	2799
483457	Flow cytometry compensation or control	12304948	Comp Controls_CD56 PE-Cy7 11_1617_10.483457.fcs	Comp Controls_CD56 PE-Cy7 11_1617_10.fcs	2799
483458	Flow cytometry compensation or control	10263053	Comp Controls_CD4 Pacific Blue 11_1617_10.483458.fcs	Comp Controls_CD4 Pacific Blue 11_1617_10.fcs	2799
483459	Flow cytometry compensation or control	9651116	Comp Controls_CD45 QDOT 565 11_1617_10.483459.fcs	Comp Controls_CD45 QDOT 565 11_1617_10.fcs	2799
483460	Flow cytometry compensation or control	9602622	Comp Controls_CD16 APC 11_1617_10.483460.fcs	Comp Controls_CD16 APC 11_1617_10.fcs	2799
483461	Flow cytometry compensation or control	9138531	Comp Controls_CD3 Alexa 700 11_1617_10.483461.fcs	Comp Controls_CD3 Alexa 700 11_1617_10.fcs	2799
483462	Flow cytometry compensation or control	12064771	Comp Controls_CD8 APC-Cy7 11_1617_10.483462.fcs	Comp Controls_CD8 APC-Cy7 11_1617_10.fcs	2799
483463	Flow cytometry result	26387749	Flu Vaccine-K 11-16-10_NCH-VK 21 B Panel.483463.txt	Flu Vaccine-K 11-16-10_NCH-VK 21 B Panel.txt	2799
483464	Flow cytometry result	22033497	Flu Vaccine-K 11-16-10_NCH-VK 21 TFH Panel.483464.fcs	Flu Vaccine-K 11-16-10_NCH-VK 21 TFH Panel.fcs	2799
483465	Flow cytometry result	25535143	Flu Vaccine-K 11-16-10_NCH-VK 21 TFH Panel.483465.txt	Flu Vaccine-K 11-16-10_NCH-VK 21 TFH Panel.txt	2799
483466	Flow cytometry result	21349214	Flu Vaccine-K 12-07-10_NCH-VK 21 B Panel.483466.fcs	Flu Vaccine-K 12-07-10_NCH-VK 21 B Panel.fcs	2799
483467	Flow cytometry compensation or control	6053052	Flu Vaccine-K 12-07-10_NCH-VK 21 Ctrl.483467.fcs	Flu Vaccine-K 12-07-10_NCH-VK 21 Ctrl.fcs	2799
483468	Flow cytometry result	24460314	Flu Vaccine-K 12-07-10_NCH-VK 21 B Panel.483468.txt	Flu Vaccine-K 12-07-10_NCH-VK 21 B Panel.txt	2799
483469	Flow cytometry result	23301835	Flu Vaccine-K 12-07-10_NCH-VK 21 TFH Panel.483469.fcs	Flu Vaccine-K 12-07-10_NCH-VK 21 TFH Panel.fcs	2799
483470	Flow cytometry result	26617201	Flu Vaccine-K 12-07-10_NCH-VK 21 TFH Panel.483470.txt	Flu Vaccine-K 12-07-10_NCH-VK 21 TFH Panel.txt	2799
483471	Flow cytometry result	16710322	Flu Vaccine-K 2-08-11_NCH-VK 21 B Panel.483471.fcs	Flu Vaccine-K 2-08-11_NCH-VK 21 B Panel.fcs	2799
483472	Flow cytometry compensation or control	7331452	Flu Vaccine-K 2-08-11_NCH-VK 21 Ctrl.483472.fcs	Flu Vaccine-K 2-08-11_NCH-VK 21 Ctrl.fcs	2799
483473	Flow cytometry result	19328772	Flu Vaccine-K 2-08-11_NCH-VK 21 B Panel.483473.txt	Flu Vaccine-K 2-08-11_NCH-VK 21 B Panel.txt	2799
483474	Flow cytometry result	20948831	Flu Vaccine-K 2-08-11_NCH-VK 21 TFH Panel.483474.fcs	Flu Vaccine-K 2-08-11_NCH-VK 21 TFH Panel.fcs	2799
483475	Flow cytometry result	24343904	Flu Vaccine-K 2-08-11_NCH-VK 21 TFH Panel.483475.txt	Flu Vaccine-K 2-08-11_NCH-VK 21 TFH Panel.txt	2799
483476	Flow cytometry result	54530947	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21  B Panel.483476.fcs	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21  B Panel.fcs	2799
483477	Flow cytometry compensation or control	24629675	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 Ctrl.483477.fcs	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 Ctrl.fcs	2799
483478	Flow cytometry result	58030079	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21  B Panel.483478.txt	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21  B Panel.txt	2799
483479	Flow cytometry result	43483860	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 DC Panel.483479.fcs	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 DC Panel.fcs	2799
483480	Flow cytometry result	47321658	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 DC Panel.483480.txt	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 DC Panel.txt	2799
483481	Flow cytometry result	49008549	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 Mono,2f,Gran,2f,SLAM.483481.fcs	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 Mono,2f,Gran,2f,SLAM.fcs	2799
483482	Flow cytometry result	52841898	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 Mono,2f,Gran,2f,SLAM.483482.txt	Flu Vaccine-Kids 05-17-11 6M_NCH-VK 21 Mono,2f,Gran,2f,SLAM.txt	2799
