fcs_file_name	fcs_version	FCS_file_name	Panel
FluVaccine-K1-22-113M_NCH-VK32BPanel.483768.fcs	3	FluVaccine-K1-22-113M_NCH-VK32BPanel.483768.fcs	B
FluVaccine-K1-22-113M_NCH-VK32TFHPanel.483771.fcs	3	FluVaccine-K1-22-113M_NCH-VK32TFHPanel.483771.fcs	TFH
FluVaccine-K1-22-113M_NCH-VK33BPanel.483797.fcs	3	FluVaccine-K1-22-113M_NCH-VK33BPanel.483797.fcs	B
FluVaccine-K1-22-113M_NCH-VK33TFHPanel.483800.fcs	3	FluVaccine-K1-22-113M_NCH-VK33TFHPanel.483800.fcs	TFH
FluVaccine-K1-22-113M_NCH-VK39BPanel.483937.fcs	3	FluVaccine-K1-22-113M_NCH-VK39BPanel.483937.fcs	B
FluVaccine-K1-22-113M_NCH-VK39TFHPanel.483940.fcs	3	FluVaccine-K1-22-113M_NCH-VK39TFHPanel.483940.fcs	TFH
FluVaccine-K11-09-10_NCH-VK21BPanel.483431.fcs	3	FluVaccine-K11-09-10_NCH-VK21BPanel.483431.fcs	B
FluVaccine-K11-09-10_NCH-VK21DCPanel.483445.fcs	3	FluVaccine-K11-09-10_NCH-VK21DCPanel.483445.fcs	DC
FluVaccine-K11-09-10_NCH-VK21Mono,2f,Gran,2f,SLAN.483447.fcs	3	FluVaccine-K11-09-10_NCH-VK21Mono,2f,Gran,2f,SLAN.483447.fcs	Mono
FluVaccine-K11-09-10_NCH-VK21TFHPanel.483449.fcs	3	FluVaccine-K11-09-10_NCH-VK21TFHPanel.483449.fcs	TFH
FluVaccine-K11-09-10_NCH-VK22BPanel.483485.fcs	3	FluVaccine-K11-09-10_NCH-VK22BPanel.483485.fcs	B
FluVaccine-K11-09-10_NCH-VK22DCPanel.483488.fcs	3	FluVaccine-K11-09-10_NCH-VK22DCPanel.483488.fcs	DC
FluVaccine-K11-09-10_NCH-VK22Mono,2f,Gran,2f,SLAN.483490.fcs	3	FluVaccine-K11-09-10_NCH-VK22Mono,2f,Gran,2f,SLAN.483490.fcs	Mono
FluVaccine-K11-09-10_NCH-VK22TFHPanel.483492.fcs	3	FluVaccine-K11-09-10_NCH-VK22TFHPanel.483492.fcs	TFH
FluVaccine-K11-09-10_NCH-VK23BPanel.483509.fcs	3	FluVaccine-K11-09-10_NCH-VK23BPanel.483509.fcs	B
FluVaccine-K11-09-10_NCH-VK23DCPanel.483512.fcs	3	FluVaccine-K11-09-10_NCH-VK23DCPanel.483512.fcs	DC
