EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES1003638	ESR15680
ES1003638	ESR15673
ES1003639	ESR15721
ES1003639	ESR15706
ES1003640	ESR15678
ES1003641	ESR16851
ES1003644	ESR15729
ES1003644	ESR15692
ES1003644	ESR15691
ES1003646	ESR15699
ES1003647	ESR15730
ES1003648	ESR15689
ES1003648	ESR15673
ES1003650	ESR15729
ES1003651	ESR15680
ES1003652	ESR15678
ES1003652	ESR15674
ES1003652	ESR15672
ES1003653	ESR15706
ES1003653	ESR15702
ES1003654	ESR15693
ES1003654	ESR15690
ES1003655	ESR15680
ES1003656	ESR15724
ES1003657	ESR15683
ES1003658	ESR15674
ES1003665	ESR15680
ES1003666	ESR15706
ES1003666	ESR15678
ES1003667	ESR15671
ES1003668	ESR16852
ES1003669	ESR15679
ES1003670	ESR15728
ES1003671	ESR15680
ES1003672	ESR15716
ES1003672	ESR15714
ES1003673	ESR15694
ES1003674	ESR15692
ES1003674	ESR15690
ES1003676	ESR15700
ES1003676	ESR15697
ES1003676	ESR15683
ES1003676	ESR15679
ES1003679	ESR15720
ES1003680	ESR15716
ES1003680	ESR15679
ES1003680	ESR15676
ES1003681	ESR15725
ES1003681	ESR15724
ES1003681	ESR15673
ES1003682	ESR15705
ES1003683	ESR15680
ES1003684	ESR15706
ES1003684	ESR15705
ES1003685	ESR15678
ES1003686	ESR15683
ES1003686	ESR15681
ES1003687	ESR15700
ES1003688	ESR15731
ES1003689	ESR15697
ES1003690	ESR15706
ES1003691	ESR15677
ES1003693	ESR15679
ES1003693	ESR15678
ES1003696	ESR15702
ES1003696	ESR15680
ES1003697	ESR15727
ES1003697	ESR15677
ES1003697	ESR15673
ES1003698	ESR15697
ES1003699	ESR15688
ES1003699	ESR15687
ES1003701	ESR15735
ES1003702	ESR15678
ES1003705	ESR15674
ES1003706	ESR15678
ES1003707	ESR15695
ES1003708	ESR15681
ES1003709	ESR15726
ES1003711	ESR15679
ES1003711	ESR15678
ES1003712	ESR15725
ES1003712	ESR15723
ES1003712	ESR15722
ES1003713	ESR15723
ES1003714	ESR15699
ES1003715	ESR15701
ES1003716	ESR15676
ES1003716	ESR15673
ES1003718	ESR15678
ES1003720	ESR15720
ES1003720	ESR15674
ES1003720	ESR15673
ES1003721	ESR15693
ES1003721	ESR15689
