EXPSAMPLE_ACCESSION	REPOSITORY_ACCESSION	REPOSITORY_NAME
ES784396	GSM1441484	GEO
ES784405	GSM1441493	GEO
ES784620	GSM1441708	GEO
ES784624	GSM1441712	GEO
ES784626	GSM1441714	GEO
ES784648	GSM1441736	GEO
ES784651	GSM1441739	GEO
ES784652	GSM1441740	GEO
ES784655	GSM1441743	GEO
ES784657	GSM1441745	GEO
ES784664	GSM1441752	GEO
ES784669	GSM1441757	GEO
ES784679	GSM1441767	GEO
ES784681	GSM1441769	GEO
ES784687	GSM1441775	GEO
ES784693	GSM1441781	GEO
ES784698	GSM1441786	GEO
ES784699	GSM1441787	GEO
ES784700	GSM1441788	GEO
ES784702	GSM1441790	GEO
ES784704	GSM1441792	GEO
ES784713	GSM1441801	GEO
ES784721	GSM1441809	GEO
ES784728	GSM1441816	GEO
ES784412	GSM1441500	GEO
ES784413	GSM1441501	GEO
ES784430	GSM1441518	GEO
ES784440	GSM1441528	GEO
ES784444	GSM1441532	GEO
ES784450	GSM1441538	GEO
ES784453	GSM1441541	GEO
ES784455	GSM1441543	GEO
ES784456	GSM1441544	GEO
ES784478	GSM1441566	GEO
ES784481	GSM1441569	GEO
ES784486	GSM1441574	GEO
ES784487	GSM1441575	GEO
ES784497	GSM1441585	GEO
ES784501	GSM1441589	GEO
ES784505	GSM1441593	GEO
ES784515	GSM1441603	GEO
ES784527	GSM1441615	GEO
ES784533	GSM1441621	GEO
ES784540	GSM1441628	GEO
ES784567	GSM1441655	GEO
ES784582	GSM1441670	GEO
ES784596	GSM1441684	GEO
ES736225	GSM1441863	GEO
ES736235	GSM1441873	GEO
ES736239	GSM1441877	GEO
ES736240	GSM1441878	GEO
ES736244	GSM1441882	GEO
ES736245	GSM1441883	GEO
ES736260	GSM1441898	GEO
ES736261	GSM1441899	GEO
ES736267	GSM1441905	GEO
ES736275	GSM1441913	GEO
ES736196	GSM1441834	GEO
ES736203	GSM1441841	GEO
ES736205	GSM1441843	GEO
ES736283	GSM1441921	GEO
ES736285	GSM1441923	GEO
ES736291	GSM1441929	GEO
ES736295	GSM1441933	GEO
ES736298	GSM1441936	GEO
ES736312	GSM1441950	GEO
ES736329	GSM1441967	GEO
ES736335	GSM1441973	GEO
ES784390	GSM1441478	GEO
ES784392	GSM1441480	GEO
ES784394	GSM1441482	GEO
ES784408	GSM1441496	GEO
ES784633	GSM1441721	GEO
ES784641	GSM1441729	GEO
ES784675	GSM1441763	GEO
ES784680	GSM1441768	GEO
ES784682	GSM1441770	GEO
ES784688	GSM1441776	GEO
ES784694	GSM1441782	GEO
ES784696	GSM1441784	GEO
ES784709	GSM1441797	GEO
ES784714	GSM1441802	GEO
ES784717	GSM1441805	GEO
ES784740	GSM1441828	GEO
ES736346	GSM1441984	GEO
ES784416	GSM1441504	GEO
ES784417	GSM1441505	GEO
ES784425	GSM1441513	GEO
ES784431	GSM1441519	GEO
ES784441	GSM1441529	GEO
ES784442	GSM1441530	GEO
ES784458	GSM1441546	GEO
ES784465	GSM1441553	GEO
ES784468	GSM1441556	GEO
ES784471	GSM1441559	GEO
ES784472	GSM1441560	GEO
ES784482	GSM1441570	GEO
ES784485	GSM1441573	GEO
ES784488	GSM1441576	GEO
ES784502	GSM1441590	GEO
ES784504	GSM1441592	GEO
ES784512	GSM1441600	GEO
ES784513	GSM1441601	GEO
ES784520	GSM1441608	GEO
ES784525	GSM1441613	GEO
ES784529	GSM1441617	GEO
ES784532	GSM1441620	GEO
ES784535	GSM1441623	GEO
ES784539	GSM1441627	GEO
ES784545	GSM1441633	GEO
ES784551	GSM1441639	GEO
ES784562	GSM1441650	GEO
ES784570	GSM1441658	GEO
ES784573	GSM1441661	GEO
ES784585	GSM1441673	GEO
ES784602	GSM1441690	GEO
ES784603	GSM1441691	GEO
ES784611	GSM1441699	GEO
ES784617	GSM1441705	GEO
ES736218	GSM1441856	GEO
ES736220	GSM1441858	GEO
ES736227	GSM1441865	GEO
ES736228	GSM1441866	GEO
ES736236	GSM1441874	GEO
ES736242	GSM1441880	GEO
ES736257	GSM1441895	GEO
ES736269	GSM1441907	GEO
ES736278	GSM1441916	GEO
ES736193	GSM1441831	GEO
ES736195	GSM1441833	GEO
ES736201	GSM1441839	GEO
ES736279	GSM1441917	GEO
ES736290	GSM1441928	GEO
ES736306	GSM1441944	GEO
ES736315	GSM1441953	GEO
ES736324	GSM1441962	GEO
ES736330	GSM1441968	GEO
ES784386	GSM1441474	GEO
ES784399	GSM1441487	GEO
ES784400	GSM1441488	GEO
ES784406	GSM1441494	GEO
ES784407	GSM1441495	GEO
ES784622	GSM1441710	GEO
ES784623	GSM1441711	GEO
ES784632	GSM1441720	GEO
ES784647	GSM1441735	GEO
ES784665	GSM1441753	GEO
ES784666	GSM1441754	GEO
ES784667	GSM1441755	GEO
ES784673	GSM1441761	GEO
ES784678	GSM1441766	GEO
ES784685	GSM1441773	GEO
ES784692	GSM1441780	GEO
ES784718	GSM1441806	GEO
ES784723	GSM1441811	GEO
ES784730	GSM1441818	GEO
ES784734	GSM1441822	GEO
ES784739	GSM1441827	GEO
ES736342	GSM1441980	GEO
ES784414	GSM1441502	GEO
ES784419	GSM1441507	GEO
ES784420	GSM1441508	GEO
ES784433	GSM1441521	GEO
ES784436	GSM1441524	GEO
ES784462	GSM1441550	GEO
ES784463	GSM1441551	GEO
ES784483	GSM1441571	GEO
ES784493	GSM1441581	GEO
ES784495	GSM1441583	GEO
ES784511	GSM1441599	GEO
ES784517	GSM1441605	GEO
ES784518	GSM1441606	GEO
ES784537	GSM1441625	GEO
ES784538	GSM1441626	GEO
ES784541	GSM1441629	GEO
ES784549	GSM1441637	GEO
ES784553	GSM1441641	GEO
ES784559	GSM1441647	GEO
ES784593	GSM1441681	GEO
ES784600	GSM1441688	GEO
ES784610	GSM1441698	GEO
ES784612	GSM1441700	GEO
ES784616	GSM1441704	GEO
ES736221	GSM1441859	GEO
ES736232	GSM1441870	GEO
ES736262	GSM1441900	GEO
ES736270	GSM1441908	GEO
ES736197	GSM1441835	GEO
ES736286	GSM1441924	GEO
ES736287	GSM1441925	GEO
ES736293	GSM1441931	GEO
ES736303	GSM1441941	GEO
ES736307	GSM1441945	GEO
ES736313	GSM1441951	GEO
ES736314	GSM1441952	GEO
ES736322	GSM1441960	GEO
ES736326	GSM1441964	GEO
ES736328	GSM1441966	GEO
ES736331	GSM1441969	GEO
ES736339	GSM1441977	GEO
ES784397	GSM1441485	GEO
ES784404	GSM1441492	GEO
ES784627	GSM1441715	GEO
ES784663	GSM1441751	GEO
ES784670	GSM1441758	GEO
ES784674	GSM1441762	GEO
ES784676	GSM1441764	GEO
ES784690	GSM1441778	GEO
ES784719	GSM1441807	GEO
ES784724	GSM1441812	GEO
ES784727	GSM1441815	GEO
ES784741	GSM1441829	GEO
ES784421	GSM1441509	GEO
ES784422	GSM1441510	GEO
ES784437	GSM1441525	GEO
ES784439	GSM1441527	GEO
ES784451	GSM1441539	GEO
ES784452	GSM1441540	GEO
ES784459	GSM1441547	GEO
ES784460	GSM1441548	GEO
ES784464	GSM1441552	GEO
ES784467	GSM1441555	GEO
ES784470	GSM1441558	GEO
ES784476	GSM1441564	GEO
ES784489	GSM1441577	GEO
ES784490	GSM1441578	GEO
ES784507	GSM1441595	GEO
ES784509	GSM1441597	GEO
ES784521	GSM1441609	GEO
ES784528	GSM1441616	GEO
ES784543	GSM1441631	GEO
ES784548	GSM1441636	GEO
ES784564	GSM1441652	GEO
ES784565	GSM1441653	GEO
ES784572	GSM1441660	GEO
ES784575	GSM1441663	GEO
ES784579	GSM1441667	GEO
ES784581	GSM1441669	GEO
ES784583	GSM1441671	GEO
ES784586	GSM1441674	GEO
ES784592	GSM1441680	GEO
ES784594	GSM1441682	GEO
ES784599	GSM1441687	GEO
ES784604	GSM1441692	GEO
ES784606	GSM1441694	GEO
ES736215	GSM1441853	GEO
ES736219	GSM1441857	GEO
ES736249	GSM1441887	GEO
ES736251	GSM1441889	GEO
ES736253	GSM1441891	GEO
ES736192	GSM1441830	GEO
ES736208	GSM1441846	GEO
ES736281	GSM1441919	GEO
ES736288	GSM1441926	GEO
ES736316	GSM1441954	GEO
ES736319	GSM1441957	GEO
ES736323	GSM1441961	GEO
ES736325	GSM1441963	GEO
ES736332	GSM1441970	GEO
ES736338	GSM1441976	GEO
ES784395	GSM1441483	GEO
ES784402	GSM1441490	GEO
ES784629	GSM1441717	GEO
ES784634	GSM1441722	GEO
ES784635	GSM1441723	GEO
ES784639	GSM1441727	GEO
ES784649	GSM1441737	GEO
ES784654	GSM1441742	GEO
ES784656	GSM1441744	GEO
ES784668	GSM1441756	GEO
ES784677	GSM1441765	GEO
ES784691	GSM1441779	GEO
ES784706	GSM1441794	GEO
ES784722	GSM1441810	GEO
ES784735	GSM1441823	GEO
ES736341	GSM1441979	GEO
ES736343	GSM1441981	GEO
ES784423	GSM1441511	GEO
ES784434	GSM1441522	GEO
ES784438	GSM1441526	GEO
ES784461	GSM1441549	GEO
ES784469	GSM1441557	GEO
ES784473	GSM1441561	GEO
ES784477	GSM1441565	GEO
ES784484	GSM1441572	GEO
ES784506	GSM1441594	GEO
ES784510	GSM1441598	GEO
ES784542	GSM1441630	GEO
ES784556	GSM1441644	GEO
ES784560	GSM1441648	GEO
ES784561	GSM1441649	GEO
ES784571	GSM1441659	GEO
ES784576	GSM1441664	GEO
ES784588	GSM1441676	GEO
ES784589	GSM1441677	GEO
ES784595	GSM1441683	GEO
ES784597	GSM1441685	GEO
ES784607	GSM1441695	GEO
ES784614	GSM1441702	GEO
ES784618	GSM1441706	GEO
ES736211	GSM1441849	GEO
ES736212	GSM1441850	GEO
ES736214	GSM1441852	GEO
ES736230	GSM1441868	GEO
ES736237	GSM1441875	GEO
ES736241	GSM1441879	GEO
ES736254	GSM1441892	GEO
ES736255	GSM1441893	GEO
ES736259	GSM1441897	GEO
ES736272	GSM1441910	GEO
ES736276	GSM1441914	GEO
ES736277	GSM1441915	GEO
ES736209	GSM1441847	GEO
ES736280	GSM1441918	GEO
ES736294	GSM1441932	GEO
ES736296	GSM1441934	GEO
ES736305	GSM1441943	GEO
ES736310	GSM1441948	GEO
ES736311	GSM1441949	GEO
ES736336	GSM1441974	GEO
ES784391	GSM1441479	GEO
ES784403	GSM1441491	GEO
ES784625	GSM1441713	GEO
ES784630	GSM1441718	GEO
ES784638	GSM1441726	GEO
ES784643	GSM1441731	GEO
ES784662	GSM1441750	GEO
ES784671	GSM1441759	GEO
ES784683	GSM1441771	GEO
ES784689	GSM1441777	GEO
ES784697	GSM1441785	GEO
ES784703	GSM1441791	GEO
ES784705	GSM1441793	GEO
ES784720	GSM1441808	GEO
ES784725	GSM1441813	GEO
ES784726	GSM1441814	GEO
ES784732	GSM1441820	GEO
ES784733	GSM1441821	GEO
ES736344	GSM1441982	GEO
ES736345	GSM1441983	GEO
ES736347	GSM1441985	GEO
ES784410	GSM1441498	GEO
ES784418	GSM1441506	GEO
ES784429	GSM1441517	GEO
ES784435	GSM1441523	GEO
ES784447	GSM1441535	GEO
ES784457	GSM1441545	GEO
ES784466	GSM1441554	GEO
ES784474	GSM1441562	GEO
ES784491	GSM1441579	GEO
ES784496	GSM1441584	GEO
ES784498	GSM1441586	GEO
ES784514	GSM1441602	GEO
ES784544	GSM1441632	GEO
ES784547	GSM1441635	GEO
ES784558	GSM1441646	GEO
ES784577	GSM1441665	GEO
ES784587	GSM1441675	GEO
ES784598	GSM1441686	GEO
ES784601	GSM1441689	GEO
ES784613	GSM1441701	GEO
ES784615	GSM1441703	GEO
ES784619	GSM1441707	GEO
ES736213	GSM1441851	GEO
ES736222	GSM1441860	GEO
ES736231	GSM1441869	GEO
ES736233	GSM1441871	GEO
ES736246	GSM1441884	GEO
ES736266	GSM1441904	GEO
ES736268	GSM1441906	GEO
ES736271	GSM1441909	GEO
ES736273	GSM1441911	GEO
ES736194	GSM1441832	GEO
ES736199	GSM1441837	GEO
ES736202	GSM1441840	GEO
ES736204	GSM1441842	GEO
ES736284	GSM1441922	GEO
ES736289	GSM1441927	GEO
ES736301	GSM1441939	GEO
ES736302	GSM1441940	GEO
ES736308	GSM1441946	GEO
ES736309	GSM1441947	GEO
ES736318	GSM1441956	GEO
ES736333	GSM1441971	GEO
ES784389	GSM1441477	GEO
ES784398	GSM1441486	GEO
ES784409	GSM1441497	GEO
ES784621	GSM1441709	GEO
ES784628	GSM1441716	GEO
ES784640	GSM1441728	GEO
ES784650	GSM1441738	GEO
ES784660	GSM1441748	GEO
ES784684	GSM1441772	GEO
ES784686	GSM1441774	GEO
ES784695	GSM1441783	GEO
ES784708	GSM1441796	GEO
ES784710	GSM1441798	GEO
ES784711	GSM1441799	GEO
ES784712	GSM1441800	GEO
ES784736	GSM1441824	GEO
ES784738	GSM1441826	GEO
ES736340	GSM1441978	GEO
ES784426	GSM1441514	GEO
ES784427	GSM1441515	GEO
ES784445	GSM1441533	GEO
ES784475	GSM1441563	GEO
ES784500	GSM1441588	GEO
ES784503	GSM1441591	GEO
ES784508	GSM1441596	GEO
ES784519	GSM1441607	GEO
ES784522	GSM1441610	GEO
ES784526	GSM1441614	GEO
ES784530	GSM1441618	GEO
ES784534	GSM1441622	GEO
ES784554	GSM1441642	GEO
ES784555	GSM1441643	GEO
ES784557	GSM1441645	GEO
ES784563	GSM1441651	GEO
ES784568	GSM1441656	GEO
ES784574	GSM1441662	GEO
ES784580	GSM1441668	GEO
ES784584	GSM1441672	GEO
ES784591	GSM1441679	GEO
ES784605	GSM1441693	GEO
ES784608	GSM1441696	GEO
ES736210	GSM1441848	GEO
ES736224	GSM1441862	GEO
ES736234	GSM1441872	GEO
ES736248	GSM1441886	GEO
ES736252	GSM1441890	GEO
ES736263	GSM1441901	GEO
ES736198	GSM1441836	GEO
ES736207	GSM1441845	GEO
ES736292	GSM1441930	GEO
ES736304	GSM1441942	GEO
ES736317	GSM1441955	GEO
ES736320	GSM1441958	GEO
ES736321	GSM1441959	GEO
ES784387	GSM1441475	GEO
ES784388	GSM1441476	GEO
ES784393	GSM1441481	GEO
ES784401	GSM1441489	GEO
ES784631	GSM1441719	GEO
ES784636	GSM1441724	GEO
ES784637	GSM1441725	GEO
ES784642	GSM1441730	GEO
ES784644	GSM1441732	GEO
ES784645	GSM1441733	GEO
ES784646	GSM1441734	GEO
ES784653	GSM1441741	GEO
ES784658	GSM1441746	GEO
ES784659	GSM1441747	GEO
ES784661	GSM1441749	GEO
ES784672	GSM1441760	GEO
ES784701	GSM1441789	GEO
ES784707	GSM1441795	GEO
ES784715	GSM1441803	GEO
ES784716	GSM1441804	GEO
ES784729	GSM1441817	GEO
ES784731	GSM1441819	GEO
ES784737	GSM1441825	GEO
ES784411	GSM1441499	GEO
ES784415	GSM1441503	GEO
ES784424	GSM1441512	GEO
ES784428	GSM1441516	GEO
ES784432	GSM1441520	GEO
ES784443	GSM1441531	GEO
ES784446	GSM1441534	GEO
ES784448	GSM1441536	GEO
ES784449	GSM1441537	GEO
ES784454	GSM1441542	GEO
ES784479	GSM1441567	GEO
ES784480	GSM1441568	GEO
