EXPSAMPLE_ACCESSION	DATA_FORMAT	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	RESULT_TOTAL_RECS	WORKSPACE_ID
ES851311	Other		EXP13950		MBAA	55	2883
ES851313	Other		EXP13950		MBAA	55	2883
ES851315	Other		EXP13950		MBAA	55	2883
ES851326	Other		EXP13950		MBAA	55	2883
ES833745	Other		EXP13915		HAI	3	2883
ES833751	Other		EXP13915		HAI	3	2883
ES833761	Other		EXP13915		HAI	3	2883
ES833762	Other		EXP13915		HAI	6	2883
ES833772	Other		EXP13915		HAI	6	2883
ES833774	Other		EXP13915		HAI	6	2883
ES833786	Other		EXP13915		HAI	6	2883
ES833790	Other		EXP13915		HAI	6	2883
ES833802	Other		EXP13915		HAI	6	2883
ES833822	Other		EXP13915		HAI	6	2883
ES848075	Other		EXP13922		OTHER	0	2883
ES848080	Other		EXP13922		OTHER	0	2883
ES848097	Other		EXP13922		OTHER	0	2883
ES848106	Other		EXP13922		OTHER	0	2883
ES848118	Other		EXP13922		OTHER	0	2883
ES848121	Other		EXP13922		OTHER	0	2883
ES848133	Other		EXP13922		OTHER	0	2883
ES848140	Other		EXP13922		OTHER	0	2883
ES848150	Other		EXP13922		OTHER	0	2883
ES848154	Other		EXP13922		OTHER	0	2883
ES848160	Other		EXP13922		OTHER	0	2883
ES848167	Other		EXP13922		OTHER	0	2883
ES851055	Other		EXP13950		MBAA	55	2883
ES851060	Other		EXP13950		MBAA	55	2883
ES851090	Other		EXP13950		MBAA	55	2883
ES851102	Other		EXP13950		MBAA	55	2883
ES851106	Other		EXP13950		MBAA	55	2883
ES851109	Other		EXP13950		MBAA	55	2883
ES851115	Other		EXP13950		MBAA	55	2883
ES851118	Other		EXP13950		MBAA	55	2883
ES851127	Other		EXP13950		MBAA	55	2883
ES851129	Other		EXP13950		MBAA	55	2883
ES851130	Other		EXP13950		MBAA	55	2883
ES851133	Other		EXP13950		MBAA	55	2883
ES851141	Other		EXP13950		MBAA	55	2883
ES851142	Other		EXP13950		MBAA	55	2883
ES851148	Other		EXP13950		MBAA	55	2883
ES851152	Other		EXP13950		MBAA	55	2883
ES851155	Other		EXP13950		MBAA	55	2883
ES851157	Other		EXP13950		MBAA	55	2883
ES851158	Other		EXP13950		MBAA	55	2883
ES848195	Other		EXP13922		OTHER	0	2883
ES848199	Other		EXP13922		OTHER	0	2883
ES848221	Other		EXP13922		OTHER	0	2883
ES848223	Other		EXP13922		OTHER	0	2883
ES848226	Other		EXP13922		OTHER	0	2883
ES848228	Other		EXP13922		OTHER	0	2883
ES848230	Other		EXP13922		OTHER	0	2883
ES848235	Other		EXP13922		OTHER	0	2883
ES848239	Other		EXP13922		OTHER	0	2883
ES848245	Other		EXP13922		OTHER	0	2883
ES848250	Other		EXP13922		OTHER	0	2883
ES848267	Other		EXP13922		OTHER	0	2883
ES848270	Other		EXP13922		OTHER	0	2883
ES848272	Other		EXP13922		OTHER	0	2883
ES848273	Other		EXP13922		OTHER	0	2883
ES848286	Other		EXP13922		OTHER	0	2883
ES848288	Other		EXP13922		OTHER	0	2883
ES848295	Other		EXP13922		OTHER	0	2883
ES848298	Other		EXP13922		OTHER	0	2883
ES848308	Other		EXP13922		OTHER	0	2883
ES848309	Other		EXP13922		OTHER	0	2883
ES851165	Other		EXP13950		MBAA	55	2883
ES851189	Other		EXP13950		MBAA	55	2883
ES851200	Other		EXP13950		MBAA	55	2883
ES851206	Other		EXP13950		MBAA	55	2883
ES851218	Other		EXP13950		MBAA	55	2883
ES851222	Other		EXP13950		MBAA	55	2883
ES851241	Other		EXP13950		MBAA	55	2883
ES851247	Other		EXP13950		MBAA	55	2883
ES851258	Other		EXP13950		MBAA	55	2883
ES851267	Other		EXP13950		MBAA	55	2883
ES851272	Other		EXP13950		MBAA	55	2883
ES851275	Other		EXP13950		MBAA	55	2883
ES851282	Other		EXP13950		MBAA	55	2883
ES834625	Other		EXP13921		FCM	17	2883
ES834629	Other		EXP13921		FCM	13	2883
ES834638	Other		EXP13921		FCM	16	2883
ES834643	Other		EXP13921		FCM	13	2883
ES834655	Other		EXP13921		FCM	22	2883
ES834661	Other		EXP13921		FCM	18	2883
ES834667	Other		EXP13921		FCM	17	2883
ES834669	Other		EXP13921		FCM	22	2883
ES834671	Other		EXP13921		FCM	13	2883
ES834675	Other		EXP13921		FCM	18	2883
ES834685	Other		EXP13921		FCM	13	2883
ES834686	Other		EXP13921		FCM	16	2883
ES834706	Other		EXP13921		FCM	13	2883
ES834710	Other		EXP13921		FCM	18	2883
ES834712	Other		EXP13921		FCM	14	2883
ES834713	Other		EXP13921		FCM	13	2883
ES834729	Other		EXP13921		FCM	16	2883
ES834730	Other		EXP13921		FCM	17	2883
ES834739	Other		EXP13921		FCM	22	2883
ES848313	Other		EXP13922		OTHER	0	2883
ES848320	Other		EXP13922		OTHER	0	2883
ES848321	Other		EXP13922		OTHER	0	2883
ES848322	Other		EXP13922		OTHER	0	2883
ES848327	Other		EXP13922		OTHER	0	2883
ES848337	Other		EXP13922		OTHER	0	2883
ES848342	Other		EXP13922		OTHER	0	2883
ES848344	Other		EXP13922		OTHER	0	2883
ES848368	Other		EXP13922		OTHER	0	2883
ES848371	Other		EXP13922		OTHER	0	2883
ES848373	Other		EXP13922		OTHER	0	2883
ES848377	Other		EXP13922		OTHER	0	2883
ES848378	Other		EXP13922		OTHER	0	2883
ES848380	Other		EXP13922		OTHER	0	2883
ES848396	Other		EXP13922		OTHER	0	2883
ES848410	Other		EXP13922		OTHER	0	2883
ES848415	Other		EXP13922		OTHER	0	2883
ES848430	Other		EXP13922		OTHER	0	2883
ES848432	Other		EXP13922		OTHER	0	2883
ES848439	Other		EXP13922		OTHER	0	2883
ES848446	Other		EXP13922		OTHER	0	2883
ES848456	Other		EXP13922		OTHER	0	2883
ES848458	Other		EXP13922		OTHER	0	2883
ES834759	Other		EXP13921		FCM	18	2883
ES834761	Other		EXP13921		FCM	14	2883
ES834773	Other		EXP13921		FCM	18	2883
ES834777	Other		EXP13921		FCM	16	2883
