EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	TREATMENT_ACCESSION
ES850723	EXP13950	TRT1834
ES850724	EXP13950	TRT1834
ES850733	EXP13950	TRT1834
ES850754	EXP13950	TRT1834
ES850766	EXP13950	TRT1834
ES850769	EXP13950	TRT1834
ES850785	EXP13950	TRT1834
ES850787	EXP13950	TRT1834
ES850795	EXP13950	TRT1834
ES850797	EXP13950	TRT1834
ES850806	EXP13950	TRT1834
ES850807	EXP13950	TRT1834
ES850808	EXP13950	TRT1834
ES850809	EXP13950	TRT1834
ES850822	EXP13950	TRT1834
ES850826	EXP13950	TRT1834
ES850829	EXP13950	TRT1834
ES850830	EXP13950	TRT1834
ES850833	EXP13950	TRT1834
ES850837	EXP13950	TRT1834
ES850845	EXP13950	TRT1834
ES850850	EXP13950	TRT1834
ES850880	EXP13950	TRT1834
ES850892	EXP13950	TRT1834
ES848215	EXP13922	TRT494
ES848222	EXP13922	TRT495
ES848228	EXP13922	TRT495
ES848229	EXP13922	TRT492
ES848233	EXP13922	TRT494
ES848256	EXP13922	TRT1755
ES848262	EXP13922	TRT1755
ES848263	EXP13922	TRT494
ES848269	EXP13922	TRT494
ES848277	EXP13922	TRT492
ES848297	EXP13922	TRT1754
ES848320	EXP13922	TRT1753
ES848323	EXP13922	TRT494
ES848338	EXP13922	TRT1753
ES848340	EXP13922	TRT1755
ES848350	EXP13922	TRT1753
ES848354	EXP13922	TRT495
ES848357	EXP13922	TRT1754
ES848363	EXP13922	TRT1754
ES848395	EXP13922	TRT494
ES848401	EXP13922	TRT494
ES848424	EXP13922	TRT1755
ES848431	EXP13922	TRT494
ES848445	EXP13922	TRT492
ES833889	EXP13915	TRT1785
ES847980	EXP13922	TRT1755
ES847984	EXP13922	TRT1753
ES847988	EXP13922	TRT495
ES847991	EXP13922	TRT1754
ES847999	EXP13922	TRT494
ES848003	EXP13922	TRT1754
ES848008	EXP13922	TRT1753
ES848013	EXP13922	TRT492
ES848030	EXP13922	TRT495
ES848031	EXP13922	TRT492
ES848036	EXP13922	TRT495
ES848039	EXP13922	TRT1754
ES848057	EXP13922	TRT1754
ES848062	EXP13922	TRT1753
ES848063	EXP13922	TRT1754
ES848079	EXP13922	TRT492
ES848091	EXP13922	TRT492
ES848097	EXP13922	TRT492
ES848103	EXP13922	TRT492
ES848105	EXP13922	TRT1754
ES848115	EXP13922	TRT492
ES848120	EXP13922	TRT495
ES848158	EXP13922	TRT1753
ES848175	EXP13922	TRT492
ES848181	EXP13922	TRT492
ES848195	EXP13922	TRT1754
ES848196	EXP13922	TRT1755
ES848198	EXP13922	TRT495
ES848200	EXP13922	TRT1753
ES834615	EXP13921	TRT1783
ES834620	EXP13921	TRT1783
ES834636	EXP13921	TRT1783
ES834641	EXP13921	TRT1783
ES834648	EXP13921	TRT1783
ES834667	EXP13921	TRT1783
ES834683	EXP13921	TRT1783
ES834684	EXP13921	TRT1783
ES834687	EXP13921	TRT1783
ES834698	EXP13921	TRT1783
ES834706	EXP13921	TRT1783
ES834708	EXP13921	TRT1783
ES834710	EXP13921	TRT1783
ES834713	EXP13921	TRT1783
ES834716	EXP13921	TRT1783
ES834721	EXP13921	TRT1783
ES834738	EXP13921	TRT1783
ES834747	EXP13921	TRT1783
ES834752	EXP13921	TRT1783
ES850904	EXP13950	TRT1834
ES850905	EXP13950	TRT1834
ES850916	EXP13950	TRT1834
ES850917	EXP13950	TRT1834
ES850920	EXP13950	TRT1834
ES850924	EXP13950	TRT1834
ES850926	EXP13950	TRT1834
ES850938	EXP13950	TRT1834
ES850948	EXP13950	TRT1834
ES850951	EXP13950	TRT1834
ES850979	EXP13950	TRT1834
ES850985	EXP13950	TRT1834
ES850988	EXP13950	TRT1834
ES850989	EXP13950	TRT1834
ES850994	EXP13950	TRT1834
ES850999	EXP13950	TRT1834
ES851000	EXP13950	TRT1834
ES851002	EXP13950	TRT1834
ES851007	EXP13950	TRT1834
ES851015	EXP13950	TRT1834
ES851025	EXP13950	TRT1834
ES851046	EXP13950	TRT1834
ES851081	EXP13950	TRT1834
ES851093	EXP13950	TRT1834
ES851096	EXP13950	TRT1834
ES851104	EXP13950	TRT1834
ES851130	EXP13950	TRT1834
ES851132	EXP13950	TRT1834
ES851137	EXP13950	TRT1834
ES851145	EXP13950	TRT1834
ES851158	EXP13950	TRT1834
ES851163	EXP13950	TRT1834
