NAME	DESCRIPTION	LINK	SORT_ORDER	TYPE
pg	picogram	http://purl.obolibrary.org/obo/UO_0000025	1	mass
ng	nanogram	http://purl.obolibrary.org/obo/UO_0000024	2	mass
ug	microgram	http://purl.obolibrary.org/obo/UO_0000023	3	mass
mg	milligram	http://purl.obolibrary.org/obo/UO_0000022	4	mass
gm	gram	http://purl.obolibrary.org/obo/UO_0000021	5	mass
pl	picoliter	http://purl.obolibrary.org/obo/UO_0000103	7	volume
nl	nanoliter	http://purl.obolibrary.org/obo/UO_0000102	8	volume
ul	microliter	http://purl.obolibrary.org/obo/UO_0000101	9	volume
ml	milliliter	http://purl.obolibrary.org/obo/UO_0000098	10	volume
pg/nl	picogram per nanoliter		16	concentration
pg/ul	picogram per microliter	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67306&ns=NCI_Thesaurus	17	concentration
pg/ml	picogram per milliliter	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67327&ns=NCI_Thesaurus	18	concentration
ng/nl	nanogram per nanoliter		19	concentration
ng/ul	nanogram per microliter	http://purl.bioontology.org/ontology/SNOMEDCT/272082007	20	concentration
ng/ml	nanogram per milliliter	http://purl.bioontology.org/ontology/SNOMEDCT/258806002	21	concentration
ug/ul	microgram per microliter	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C42576&ns=NCI_Thesaurus	22	concentration
ug/ml	microgram per milliliter	http://purl.bioontology.org/ontology/SNOMEDCT/258801007	23	concentration
mg/ml	microgram per milliliter	http://purl.bioontology.org/ontology/SNOMEDCT/258798001	24	concentration
C	Celsius	http://purl.obolibrary.org/obo/UO_0000027	29	temperature
K	Kelvin	http://purl.obolibrary.org/obo/UO_0000012	30	temperature
F	Fahrenheit	http://purl.obolibrary.org/obo/UO_0000195	31	temperature
Not_Specified	No value provided. Not stated explicitly or in detail.	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C38046&ns=NCI_Thesaurus	99	Not_Specified
units/ml	Enzyme Unit per Milliliter. Unit of catalytic activity concentration defined as activity equal to one enzyme unit per one milliliter of system volume.	http://purl.bioontology.org/ontology/SNOMEDCT/259002007	28	concentration
M	molar	http://purl.obolibrary.org/obo/UO_0000062	15	concentration
cells	cell count	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C48938&ns=NCI_Thesaurus	32	derived_flow
cells/ul	A unit of cell concentration expressed as a number of cells per unit volume equal to one microliter.	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C67242&ns=NCI_Thesaurus	33	derived_flow
MFI at 90th percentile	Mean Fluorescence Intensity at 90th Percentile.  MFI : A unit of measure equal to the geometric mean fluorescence intensity of a log-normal distribution of fluorescence signals.	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C96687&ns=NCI_Thesaurus	34	derived_flow
stim/unstim fold change	Fold change comparing stimulated vs unstimulated sample		35	derived_flow
percentage	A fraction or ratio with 100 understood as the denominator. e.g. percentage of a cell population of interest within a parent population	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C25613&ns=NCI_Thesaurus	36	derived_flow
pM	picomolar	http://purl.obolibrary.org/obo/UO_0000066	11	concentration
nM	nanomolar	http://purl.obolibrary.org/obo/UO_0000065	12	concentration
uM	micromolar	http://purl.bioontology.org/ontology/SNOMEDCT/258814008	13	concentration
mM	millimolar	http://purl.obolibrary.org/obo/UO_0000063	14	concentration
MOI	multiplicity of infection	http://en.wikipedia.org/wiki/Multiplicity_of_infection	25	concentration
HAU	hemagglutination units	http://en.wikipedia.org/wiki/Virus_quantification	26	concentration
TCID50	mean tissue culture infective dose	http://en.wikipedia.org/wiki/Virus_quantification	27	concentration
Ct	Threshold cycle (or Ct or Cq) is a count which is defined as the fractional PCR cycle number at which the reporter fluorescence is greater than the threshold in the context of the RT-qPCR assay.	http://purl.obolibrary.org/obo/STATO_0000190	37	PCR
Cq	Threshold cycle (or Ct or Cq) is a count which is defined as the fractional PCR cycle number at which the reporter fluorescence is greater than the threshold in the context of the RT-qPCR assay.	http://purl.obolibrary.org/obo/STATO_0000190	38	PCR
Delta Ct	Difference between the target gene and the reference gene.	http://www.ncbi.nlm.nih.gov/pubmed/?term=PMID%3A11846609	39	PCR
Delta Delta Ct	Difference between the Delta Ct target gene of the treated sample and the Delta Ct of the target gene of the untreated sample.	http://www.ncbi.nlm.nih.gov/pubmed/?term=PMID%3A11846609	40	PCR
IU	The unitage assigned by the WHO to International Biological Standards - substances, classed as biological according to the criteria provided by WHO Expert Committee on Biological Standardization (e.g. hormones, enzymes, and vaccines), to enable the results of biological and immunological assay procedures to be expressed in the same way throughout the world. The definition of an international unit is generally arbitrary and technical, and has to be officially approved by the International Conference for Unification of Formulae.	http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&code=C48579&ns=NCI_Thesaurus	6	mass
