CONTROL_SAMPLE_ACCESSION	EXPERIMENT_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	CATALOG_ID	DATA_FORMAT	DILUTION_FACTOR	LOT_NUMBER	RESULTSET_NAME	RESULT_SCHEMA	RESULT_TOT_RECS	SOURCE	WORKSPACE_ID
CS1137	EXP13950	H51-2	2778	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1142	EXP13950	H51-2	2779	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1148	EXP13950	H51-2	2781	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1156	EXP13950	H51-1	366	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1132	EXP13950	H51-2	2777	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1138	EXP13950	H51-2	2778	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1140	EXP13950	H51-2	2779	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1149	EXP13950	H51-2	2781	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1128	EXP13950	H51-1	362	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1131	EXP13950	H51-2	2777	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1141	EXP13950	H51-2	2779	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1146	EXP13950	H51-2	2780	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1155	EXP13950	H51-1	366	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1130	EXP13950	H51-1	364	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1152	EXP13950	H51-2	2782	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1154	EXP13950	H51-2	2782	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1134	EXP13950	H51-2	2777	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1143	EXP13950	H51-2	2780	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1144	EXP13950	H51-2	2780	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1127	EXP13950	H51-1	362	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1133	EXP13950	H51-2	2777	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1139	EXP13950	H51-2	2779	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1145	EXP13950	H51-2	2780	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1147	EXP13950	H51-2	2781	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1151	EXP13950	H51-2	2782	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1153	EXP13950	H51-2	2782	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1129	EXP13950	H51-1	364	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1135	EXP13950	H51-2	2778	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1136	EXP13950	H51-2	2778	PC9000	Other	1			MBAA	55	Control Serum	2883
CS1150	EXP13950	H51-2	2781	PC9000	Other	1			MBAA	55	Control Serum	2883
