CONTROL_SAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
CS1132	EXP13950	533146	MBAA	MBAA
CS1133	EXP13950	533146	MBAA	MBAA
CS1134	EXP13950	533146	MBAA	MBAA
CS1137	EXP13950	533146	MBAA	MBAA
CS1143	EXP13950	533146	MBAA	MBAA
CS1145	EXP13950	533146	MBAA	MBAA
CS1153	EXP13950	533146	MBAA	MBAA
CS1138	EXP13950	533146	MBAA	MBAA
CS1156	EXP13950	533146	MBAA	MBAA
CS1127	EXP13950	533146	MBAA	MBAA
CS1136	EXP13950	533146	MBAA	MBAA
CS1139	EXP13950	533146	MBAA	MBAA
CS1130	EXP13950	533146	MBAA	MBAA
CS1141	EXP13950	533146	MBAA	MBAA
CS1152	EXP13950	533146	MBAA	MBAA
CS1129	EXP13950	533146	MBAA	MBAA
CS1142	EXP13950	533146	MBAA	MBAA
CS1144	EXP13950	533146	MBAA	MBAA
CS1150	EXP13950	533146	MBAA	MBAA
CS1128	EXP13950	533146	MBAA	MBAA
CS1147	EXP13950	533146	MBAA	MBAA
CS1149	EXP13950	533146	MBAA	MBAA
CS1151	EXP13950	533146	MBAA	MBAA
CS1131	EXP13950	533146	MBAA	MBAA
CS1140	EXP13950	533146	MBAA	MBAA
CS1154	EXP13950	533146	MBAA	MBAA
CS1155	EXP13950	533146	MBAA	MBAA
CS1135	EXP13950	533146	MBAA	MBAA
CS1146	EXP13950	533146	MBAA	MBAA
CS1148	EXP13950	533146	MBAA	MBAA
