STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	ANALYTE	ASSAY_GROUP_ID	ASSAY_ID	COMMENTS	DATA_FORMAT	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULTSET_NAME	RESULT_SCHEMA	RESULT_TOT_RECS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC6955	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6988	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7000	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7003	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7004	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6627	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6632	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6633	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6640	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6651	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6653	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7010	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7023	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7035	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6673	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6674	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6679	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6683	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6684	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6692	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6695	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6698	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6701	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7051	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7059	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7079	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6713	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6721	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6722	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6724	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6729	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6741	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6743	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6746	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7100	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7108	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7109	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7110	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7123	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7128	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6750	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6752	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6759	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6766	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6770	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7144	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7150	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7163	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7164	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6790	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7175	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7177	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7179	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7181	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
