SHORT_NAME	NAME	DEFINITION	LINK	COMMENTS	SORT_ORDER
Total Cells	NA	All cells in a sample	NA		1
Live/Dead	Viable cells	Living cells gated from dead cells	http://purl.obolibrary.org/obo/PATO_0000169		2
PBMC	peripheral blood mononuclear cell	A leukocyte with a single non-segmented nucleus in the mature form found in the circulatory pool of blood.	http://purl.obolibrary.org/obo/CL_2000001		3
B cell	B cell	CD3-, CD19+ , CD20+	http://purl.obolibrary.org/obo/CL_0000236	B cells	4
memory B cell	memory B cell	CD3-, CD19+, CD20+, CD27+	http://purl.obolibrary.org/obo/CL_0000787		5
plasmablast	plasmablast	CD3-, CD19+, CD20-, CD27hi, CD38hi	http://purl.obolibrary.org/obo/CL_0000980	B cells	6
transitional B cell	transitional stage B cell	CD3-, CD19+, CD20+, CD24hi, CD38hi	http://purl.obolibrary.org/obo/CL_0000818	B cells	7
naive B cell	naive B cell	CD3-, CD19+, CD20+, CD27-, IgD+	http://purl.obolibrary.org/obo/CL_0000788	B cells	8
IgD- memory B cell	IgD-negative memory B cell	CD3-, CD19+, CD20+, CD27+, IgD-	http://purl.obolibrary.org/obo/CL_0001053		9
IgD+ memory B cell	unswitched memory B cell	CD3-, CD19+, CD20+, CD27+, IgD+	http://purl.obolibrary.org/obo/CL_0000970	B cells	10
dendritic cell	dendritic cell	Lin-, CD14-, CD16-, CD56-, HLA-DR+(?)	http://purl.obolibrary.org/obo/CL_0000451	DCMonNK	11
plasmacytoid dendritic cell	plasmacytoid dendritic cell	Lin-, CD14-, CD16-, CD56-, HLA-DR+, CD11c-, CD123+	 http://purl.obolibrary.org/obo/CL_0000784	DCMonNK	12
myeloid dendritic cell	myeloid dendritic cell	Lin-, CD14-, CD16-, CD56-, HLA-DR+, CD11c+, CD123-	http://purl.obolibrary.org/obo/CL_0000782	DCMonNK	13
monocyte	monocyte	Lin-, CD14+	http://purl.obolibrary.org/obo/CL_0000576	DCMonNK	14
CD16- monocyte	CD14-positive, CD16-negative classical monocyte	Lin-, CD14+, CD16-	http://purl.obolibrary.org/obo/CL_0002057	DCMonNK	15
CD16+ monocyte	CD14-positive, CD16-positive monocyte	Lin-, CD14+, CD16+	http://purl.obolibrary.org/obo/CL_0002397	DCMonNK	16
NK cell	natural killer cell	CD3-, CD56+	http://purl.obolibrary.org/obo/CL_0000623	DCMonNK	17
CD16- CD56bright NK cell	CD16-negative, CD56-bright natural killer cell	CD3-, Lin-, CD14-, HLA-DR-, CD16-, CD56++	http://purl.obolibrary.org/obo/CL_0000938	DCMonNK	18
CD16+ CD56+  NK cell	CD16-positive, CD56-dim natural killer cell	CD3-, Lin-, CD14-, HLA-DR-, CD16+, CD56+	http://purl.obolibrary.org/obo/CL_0000939	DCMonNK	19
T cell	T cell	CD3+	http://purl.obolibrary.org/obo/CL_0000084	T cells	20
effector memory CD8+ T cell	effector memory CD8-positive, alpha-beta T cell	CD3+, CD4-, CD8+, CCR7-, CD45RA-	http://purl.obolibrary.org/obo/CL_0000913	T cells	21
effector CD8+ T cell	effector CD8-positive, alpha-beta T cell	CD3+, CD4-, CD8+, CCR7-, CD45RA+	http://purl.obolibrary.org/obo/CL_0001050		22
central memory CD8+ T cell	central memory CD8-positive, alpha-beta T cell	CD3+, CD4-, CD8+, CCR7+, CD45RA-	http://purl.obolibrary.org/obo/CL_0000907	T cells	23
naive CD8+ T cell	naive thymus-derived CD8-positive, alpha-beta T cell	CD3+, CD4-, CD8+, CCR7+, CD45RA+	http://purl.obolibrary.org/obo/CL_0000900	T cells	24
activated CD8+ T cell	activated CD8-positive, alpha-beta T cell, human	CD3+, CD4-, CD8+, CD38+, HLA-DR+	http://purl.obolibrary.org/obo/CL_0001049		25
non-Tc1/Tc17 CD8+ T cell	Tc2 cell	CD3+, CD4-, CD8+, CXCR3-, CCR6-	http://purl.obolibrary.org/obo/CL_0001052;http://purl.obolibrary.org/obo/CL_0000918 	T helper	26
Tc17 CD8+ T cell	Tc17 cell	CD3+, CD4-, CD8+, CXCR3-, CCR6+	http://purl.obolibrary.org/obo/CL_0002128	T helper	27
Tc1 CD8+ T cell	Tc1 cell	CD3+, CD4-, CD8+, CXCR3+, CCR6-	http://purl.obolibrary.org/obo/CL_0000917	T helper	28
CD4+ T cell	CD4-positive, alpha-beta T cell 	CD3+, CD4+	http://purl.obolibrary.org/obo/CL_0000624		29
Treg	CD4-positive, CD25+, alpha-beta regulatory T cell	CD3+, CD4+, CD127lo, CD25+	http://purl.obolibrary.org/obo/CL_0000792	Tregs	30
CCR4+ Treg	naive CCR4-positive regulatory T cell	CD3+, CD4+, CD127lo, CD25+, CCR4+	http://purl.obolibrary.org/obo/CL_0001045	Tregs	31
naive CCR4+ Treg	naive CCR4-positive regulatory T cell	CD3+, CD4+, CD127lo, CD25+, CCR4+, CD45RO-	http://purl.obolibrary.org/obo/CL_0001045	Tregs	32
memory CCR4+ Treg	memory CCR4-positive regulatory T cell	CD3+, CD4+, CD127lo, CD25+, CCR4+, CD45RO+	http://purl.obolibrary.org/obo/CL_0001046		33
activated CCR4+ Treg	activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human	CD3+, CD4+, CD127lo, CD25+, CCR4+, HLA-DR+	http://purl.obolibrary.org/obo/CL_0001048	Tregs	34
effector memory CD4+ T cell	effector memory CD4-positive, alpha-beta T cell	CD3+, CD4+, CD8-, CCR7-, CD45RA-	http://purl.obolibrary.org/obo/CL_0000905	T cells	35
effector CD4+ T cell	effector CD4-positive, alpha-beta T cell	CD3+, CD4+, CD8-, CCR7-, CD45RA+	http://purl.obolibrary.org/obo/CL_0001044		36
central memory CD4+ T cell	central memory CD4-positive, alpha-beta T cell	CD3+, CD4+, CD8-, CCR7+, CD45RA-	http://purl.obolibrary.org/obo/CL_0000904	T cells	37
naive CD4+ T cell	naive thymus-derived CD4-positive, alpha-beta T cell	CD3+, CD4+, CD8-, CCR7+, CD45RA+	http://purl.obolibrary.org/obo/CL_0000895	T cells	38
activated CD4+ T cell	activated CD4-positive, alpha-beta T cell	CD3+, CD4+, CD8-, CD38+, HLA-DR+	http://purl.obolibrary.org/obo/CL_0001043	T cells	39
non-Th1/Th17  CD4+ T cell	T-helper 2 cell	CD3+, CD4+, CD8-, CXCR3-, CCR6-	http://purl.obolibrary.org/obo/CL_0000546	T helper	40
Th17 CD4+ T cell	T-helper 17 cell	CD3+, CD4+, CD8-, CXCR3-, CCR6+	http://purl.obolibrary.org/obo/CL_0000899	T helper	41
Th1 CD4+ T cell	T-helper 1 cell	CD3+, CD4+, CD8-, CXCR3+, CCR6-	http://purl.obolibrary.org/obo/CL_0000545	T helper	42
NK T cell	mature NK T cell	CD3+, CD56+, CD14-, CD33-	http://purl.obolibrary.org/obo/CL_0000814		43
CD8+ T cell	CD8-positive, alpha-beta T cell	CD3+, CD8+	http://purl.obolibrary.org/obo/CL_0000625	T cells	44
