EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES834570	523399	FCM
ES834771	523400	FCM
ES834769	523400	FCM
ES834758	523400	FCM
ES834749	523400	FCM
ES834748	523400	FCM
ES834747	523400	FCM
ES834724	523400	FCM
ES834720	523400	FCM
ES834719	523400	FCM
ES834715	523400	FCM
ES834707	523400	FCM
ES834698	523400	FCM
ES834693	523400	FCM
ES834684	523400	FCM
ES834674	523400	FCM
ES834673	523400	FCM
ES834671	523400	FCM
ES834663	523400	FCM
ES834650	523400	FCM
ES834631	523400	FCM
ES834630	523400	FCM
ES834620	523400	FCM
ES834611	523400	FCM
ES834600	523400	FCM
ES834595	523400	FCM
ES834591	523400	FCM
ES834579	523400	FCM
ES835077	523400	FCM
ES835073	523400	FCM
ES835056	523400	FCM
ES835053	523400	FCM
ES835044	523400	FCM
ES835041	523400	FCM
ES835037	523400	FCM
ES835035	523400	FCM
ES835025	523400	FCM
ES835024	523400	FCM
ES835019	523400	FCM
ES835016	523400	FCM
ES835006	523400	FCM
ES834966	523400	FCM
ES834962	523400	FCM
ES834942	523400	FCM
ES834938	523400	FCM
ES834934	523400	FCM
ES834928	523400	FCM
ES834916	523400	FCM
ES834904	523400	FCM
ES834903	523400	FCM
ES834894	523400	FCM
ES834877	523400	FCM
ES834868	523400	FCM
ES834864	523400	FCM
ES834847	523400	FCM
ES834830	523400	FCM
ES834813	523400	FCM
ES834808	523400	FCM
ES834799	523400	FCM
ES834795	523400	FCM
ES834780	523400	FCM
ES834576	523400	FCM
ES834776	523401	FCM
ES834753	523401	FCM
ES834748	523401	FCM
ES834742	523401	FCM
ES834730	523401	FCM
ES834728	523401	FCM
ES834708	523401	FCM
ES834707	523401	FCM
ES834699	523401	FCM
ES834696	523401	FCM
ES834679	523401	FCM
ES834670	523401	FCM
ES834655	523401	FCM
ES834651	523401	FCM
ES834650	523401	FCM
ES834642	523401	FCM
ES834638	523401	FCM
ES834627	523401	FCM
ES834621	523401	FCM
ES834594	523401	FCM
ES834591	523401	FCM
ES834589	523401	FCM
ES834586	523401	FCM
ES834584	523401	FCM
ES834583	523401	FCM
ES834579	523401	FCM
ES835078	523401	FCM
ES835077	523401	FCM
ES835052	523401	FCM
ES835046	523401	FCM
ES835030	523401	FCM
ES835024	523401	FCM
ES835018	523401	FCM
ES835014	523401	FCM
ES835013	523401	FCM
ES834999	523401	FCM
ES834983	523401	FCM
ES834963	523401	FCM
ES834962	523401	FCM
ES834955	523401	FCM
ES834954	523401	FCM
ES834951	523401	FCM
ES834947	523401	FCM
ES834925	523401	FCM
ES834868	523401	FCM
ES834867	523401	FCM
ES834864	523401	FCM
ES834846	523401	FCM
ES834843	523401	FCM
ES834831	523401	FCM
ES834829	523401	FCM
ES834827	523401	FCM
ES834824	523401	FCM
ES834820	523401	FCM
ES834817	523401	FCM
ES834807	523401	FCM
ES834783	523401	FCM
ES834782	523401	FCM
ES834780	523401	FCM
ES834774	523402	FCM
ES834772	523402	FCM
ES834757	523402	FCM
ES834755	523402	FCM
ES834745	523402	FCM
ES834744	523402	FCM
ES834733	523402	FCM
ES834727	523402	FCM
ES834719	523402	FCM
ES834716	523402	FCM
ES834713	523402	FCM
ES834709	523402	FCM
ES834704	523402	FCM
ES834691	523402	FCM
ES834690	523402	FCM
ES834681	523402	FCM
ES834658	523402	FCM
ES834648	523402	FCM
ES834627	523402	FCM
ES834618	523402	FCM
ES834601	523402	FCM
ES834593	523402	FCM
ES834589	523402	FCM
ES834588	523402	FCM
ES835079	523402	FCM
ES835077	523402	FCM
ES835073	523402	FCM
ES835072	523402	FCM
ES835068	523402	FCM
ES835062	523402	FCM
ES835060	523402	FCM
ES835059	523402	FCM
ES835046	523402	FCM
ES835045	523402	FCM
ES835035	523402	FCM
ES835028	523402	FCM
ES835004	523402	FCM
ES834996	523402	FCM
ES834982	523402	FCM
ES834980	523402	FCM
ES834970	523402	FCM
ES834952	523402	FCM
ES834921	523402	FCM
ES834912	523402	FCM
ES834902	523402	FCM
ES834896	523402	FCM
ES834892	523402	FCM
ES834891	523402	FCM
ES834883	523402	FCM
ES834875	523402	FCM
ES834871	523402	FCM
ES834865	523402	FCM
ES834857	523402	FCM
ES834844	523402	FCM
ES834842	523402	FCM
ES834833	523402	FCM
ES834829	523402	FCM
ES834821	523402	FCM
ES834820	523402	FCM
ES834801	523402	FCM
ES834791	523402	FCM
ES834784	523402	FCM
ES834573	523402	FCM
ES834570	523402	FCM
ES834767	523403	FCM
ES834759	523403	FCM
ES834758	523403	FCM
ES834754	523403	FCM
ES834752	523403	FCM
ES834744	523403	FCM
ES834735	523403	FCM
ES834725	523403	FCM
ES834722	523403	FCM
ES834710	523403	FCM
ES834706	523403	FCM
ES834704	523403	FCM
ES834699	523403	FCM
ES834695	523403	FCM
ES834694	523403	FCM
ES834692	523403	FCM
ES834685	523403	FCM
ES834667	523403	FCM
ES834639	523403	FCM
ES834634	523403	FCM
ES834627	523403	FCM
ES834623	523403	FCM
ES834612	523403	FCM
ES834611	523403	FCM
ES834608	523403	FCM
ES834607	523403	FCM
ES834604	523403	FCM
ES834601	523403	FCM
ES834591	523403	FCM
ES834587	523403	FCM
ES834584	523403	FCM
ES834581	523403	FCM
ES835077	523403	FCM
ES835072	523403	FCM
ES835070	523403	FCM
ES835068	523403	FCM
ES835064	523403	FCM
ES835050	523403	FCM
ES835049	523403	FCM
ES835048	523403	FCM
ES835044	523403	FCM
ES835035	523403	FCM
ES835024	523403	FCM
ES835012	523403	FCM
ES835006	523403	FCM
ES834990	523403	FCM
ES834976	523403	FCM
ES834975	523403	FCM
ES834967	523403	FCM
ES834965	523403	FCM
ES834960	523403	FCM
ES834949	523403	FCM
ES834919	523403	FCM
ES834912	523403	FCM
ES834911	523403	FCM
ES834909	523403	FCM
ES834908	523403	FCM
ES834907	523403	FCM
ES834880	523403	FCM
ES834879	523403	FCM
ES834877	523403	FCM
ES834876	523403	FCM
ES834871	523403	FCM
ES834870	523403	FCM
ES834864	523403	FCM
ES834857	523403	FCM
ES834854	523403	FCM
ES834840	523403	FCM
ES834839	523403	FCM
ES834806	523403	FCM
ES834797	523403	FCM
ES834793	523403	FCM
ES834785	523403	FCM
ES834779	523404	FCM
ES834774	523404	FCM
ES834769	523404	FCM
ES834763	523404	FCM
ES834757	523404	FCM
ES834754	523404	FCM
ES834753	523404	FCM
ES834734	523404	FCM
ES834728	523404	FCM
ES834709	523404	FCM
ES834704	523404	FCM
ES834691	523404	FCM
ES834681	523404	FCM
ES834678	523404	FCM
ES834674	523404	FCM
ES834650	523404	FCM
ES834642	523404	FCM
ES834641	523404	FCM
ES834637	523404	FCM
ES834636	523404	FCM
ES834633	523404	FCM
ES834618	523404	FCM
ES834609	523404	FCM
ES834589	523404	FCM
ES834586	523404	FCM
ES835078	523404	FCM
ES835075	523404	FCM
ES835066	523404	FCM
ES835063	523404	FCM
ES835051	523404	FCM
ES835045	523404	FCM
ES835043	523404	FCM
ES835040	523404	FCM
ES835037	523404	FCM
ES835024	523404	FCM
ES835008	523404	FCM
ES834980	523404	FCM
ES834963	523404	FCM
ES834954	523404	FCM
ES834942	523404	FCM
ES834940	523404	FCM
ES834930	523404	FCM
ES834927	523404	FCM
ES834922	523404	FCM
ES834914	523404	FCM
ES834913	523404	FCM
ES834890	523404	FCM
ES834882	523404	FCM
ES834878	523404	FCM
ES834864	523404	FCM
ES834862	523404	FCM
ES834856	523404	FCM
ES834855	523404	FCM
ES834851	523404	FCM
ES834849	523404	FCM
ES834845	523404	FCM
ES834830	523404	FCM
ES834826	523404	FCM
ES834818	523404	FCM
ES834816	523404	FCM
ES834810	523404	FCM
ES834805	523404	FCM
ES834799	523404	FCM
ES834795	523404	FCM
ES834788	523404	FCM
ES834780	523404	FCM
ES834764	523405	FCM
ES834763	523405	FCM
ES834746	523405	FCM
ES834737	523405	FCM
ES834731	523405	FCM
ES834714	523405	FCM
ES834710	523405	FCM
ES834707	523405	FCM
ES834706	523405	FCM
ES834701	523405	FCM
ES834697	523405	FCM
ES834694	523405	FCM
ES834689	523405	FCM
ES834682	523405	FCM
ES834680	523405	FCM
ES834671	523405	FCM
ES834666	523405	FCM
ES834664	523405	FCM
ES834647	523405	FCM
ES834619	523405	FCM
ES834617	523405	FCM
ES834597	523405	FCM
ES834583	523405	FCM
ES835079	523405	FCM
ES835069	523405	FCM
ES835060	523405	FCM
ES835047	523405	FCM
ES835037	523405	FCM
ES835024	523405	FCM
ES835014	523405	FCM
ES835003	523405	FCM
ES835001	523405	FCM
ES834992	523405	FCM
ES834982	523405	FCM
ES834967	523405	FCM
ES834963	523405	FCM
ES834962	523405	FCM
ES834955	523405	FCM
ES834954	523405	FCM
ES834946	523405	FCM
ES834945	523405	FCM
ES834935	523405	FCM
ES834925	523405	FCM
ES834921	523405	FCM
ES834913	523405	FCM
ES834907	523405	FCM
ES834904	523405	FCM
ES834895	523405	FCM
ES834887	523405	FCM
ES834863	523405	FCM
ES834853	523405	FCM
ES834818	523405	FCM
ES834806	523405	FCM
ES834805	523405	FCM
ES834794	523405	FCM
ES834792	523405	FCM
ES834785	523405	FCM
ES834774	523406	FCM
ES834760	523406	FCM
ES834751	523406	FCM
ES834746	523406	FCM
ES834732	523406	FCM
ES834724	523406	FCM
ES834720	523406	FCM
ES834709	523406	FCM
ES834704	523406	FCM
ES834697	523406	FCM
ES834660	523406	FCM
ES834657	523406	FCM
ES834655	523406	FCM
ES834651	523406	FCM
ES834646	523406	FCM
ES834645	523406	FCM
ES834643	523406	FCM
ES834634	523406	FCM
ES834629	523406	FCM
ES834626	523406	FCM
ES834616	523406	FCM
ES834615	523406	FCM
ES834608	523406	FCM
ES834607	523406	FCM
ES834599	523406	FCM
ES834594	523406	FCM
ES834578	523406	FCM
ES835072	523406	FCM
ES835067	523406	FCM
ES835059	523406	FCM
ES835057	523406	FCM
ES835052	523406	FCM
ES835050	523406	FCM
ES835021	523406	FCM
ES835004	523406	FCM
ES834992	523406	FCM
ES834991	523406	FCM
ES834990	523406	FCM
ES834988	523406	FCM
ES834986	523406	FCM
ES834980	523406	FCM
ES834929	523406	FCM
ES834911	523406	FCM
ES834903	523406	FCM
ES834902	523406	FCM
ES834898	523406	FCM
ES834889	523406	FCM
ES834874	523406	FCM
ES834860	523406	FCM
ES834859	523406	FCM
ES834858	523406	FCM
ES834854	523406	FCM
ES834844	523406	FCM
ES834843	523406	FCM
ES834840	523406	FCM
ES834831	523406	FCM
ES834808	523406	FCM
ES834800	523406	FCM
ES834791	523406	FCM
ES834783	523406	FCM
ES834781	523406	FCM
ES834571	523406	FCM
ES834773	523407	FCM
ES834771	523407	FCM
ES834759	523407	FCM
ES834740	523407	FCM
ES834739	523407	FCM
ES834737	523407	FCM
ES834735	523407	FCM
ES834713	523407	FCM
ES834712	523407	FCM
ES834708	523407	FCM
ES834701	523407	FCM
ES834698	523407	FCM
ES834687	523407	FCM
ES834659	523407	FCM
ES834655	523407	FCM
ES834652	523407	FCM
ES834644	523407	FCM
ES834631	523407	FCM
ES834627	523407	FCM
ES834626	523407	FCM
ES834620	523407	FCM
ES834606	523407	FCM
ES834603	523407	FCM
ES834601	523407	FCM
ES834599	523407	FCM
ES834595	523407	FCM
ES834589	523407	FCM
ES834584	523407	FCM
ES834582	523407	FCM
ES834578	523407	FCM
ES835065	523407	FCM
ES835060	523407	FCM
ES835051	523407	FCM
ES835041	523407	FCM
ES835034	523407	FCM
ES835029	523407	FCM
ES835025	523407	FCM
ES835003	523407	FCM
ES834999	523407	FCM
ES834995	523407	FCM
ES834993	523407	FCM
ES834988	523407	FCM
ES834982	523407	FCM
ES834979	523407	FCM
ES834964	523407	FCM
ES834958	523407	FCM
ES834951	523407	FCM
ES834948	523407	FCM
ES834946	523407	FCM
ES834941	523407	FCM
ES834930	523407	FCM
ES834927	523407	FCM
ES834901	523407	FCM
ES834891	523407	FCM
ES834889	523407	FCM
ES834883	523407	FCM
ES834875	523407	FCM
ES834861	523407	FCM
ES834824	523407	FCM
ES834813	523407	FCM
ES834811	523407	FCM
ES834800	523407	FCM
ES834788	523407	FCM
ES834570	523407	FCM
