CONTROL_SAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	CATALOG_ID	DILUTION_FACTOR	EXPERIMENT_ACCESSION	LOT_NUMBER	RESULT_SCHEMA	SOURCE	UPLOAD_RESULT_STATUS	WORKSPACE_ID
CS1127	H51-1	362	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1141	H51-2	2779	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1148	H51-2	2781	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1139	H51-2	2779	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1154	H51-2	2782	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1128	H51-1	362	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1145	H51-2	2780	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1132	H51-2	2777	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1133	H51-2	2777	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1135	H51-2	2778	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1138	H51-2	2778	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1152	H51-2	2782	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1153	H51-2	2782	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1130	H51-1	364	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1136	H51-2	2778	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1137	H51-2	2778	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1156	H51-1	366	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1147	H51-2	2781	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1150	H51-2	2781	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1131	H51-2	2777	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1134	H51-2	2777	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1140	H51-2	2779	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1142	H51-2	2779	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1143	H51-2	2780	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1144	H51-2	2780	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1146	H51-2	2780	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1149	H51-2	2781	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1155	H51-1	366	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1129	H51-1	364	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
CS1151	H51-2	2782	PC9000	1	EXP13950		MBAA	Control Serum	Parsed	2883
