EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES850729	H51-2	2778	3	
ES850730	H51-2	2778	3	
ES850735	H51-2	2778	3	
ES850748	H51-2	2782	1	
ES850766	H51-2	2777	3	
ES850784	H51-2	2777	3	
ES850794	H51-2	2777	3	
ES850803	H51-2	2782	1	
ES850809	H51-2	2777	3	
ES850813	H51-2	2777	3	
ES850815	H51-2	2777	3	
ES850817	H51-2	2777	3	
ES850821	H51-2	2780	3	
ES850847	H51-2	2778	3	
ES850878	H51-2	2780	3	
ES850880	H51-2	2780	3	
ES850884	H51-2	2778	3	
ES850887	H51-2	2778	3	
ES850893	H51-2	2778	3	
ES850894	H51-2	2778	3	
ES850900	H51-2	2778	3	
ES850902	H51-2	2778	3	
ES850918	H51-2	2779	3	
ES850919	H51-2	2779	3	
ES850924	H51-2	2779	3	
ES850926	H51-2	2779	3	
ES850927	H51-2	2779	3	
ES850949	H51-2	2779	3	
ES850951	H51-2	2779	3	
ES850955	H51-2	2780	3	
ES850958	H51-2	2780	3	
ES850966	H51-2	2779	3	
ES850968	H51-2	2779	3	
ES850979	H51-2	2782	1	
ES850983	H51-2	2782	1	
ES850994	H51-2	2779	3	
ES850997	H51-2	2779	3	
ES851002	H51-2	2779	3	
ES851010	H51-2	2779	3	
ES851037	H51-2	2782	1	
ES851038	H51-2	2782	1	
ES851044	H51-2	2781	3	
ES851052	H51-2	2781	3	
ES851062	H51-2	2781	3	
ES851063	H51-2	2781	3	
ES851064	H51-2	2782	1	
ES851068	H51-2	2782	1	
ES851071	H51-2	2781	3	
ES851097	H51-2	2781	3	
ES851102	H51-2	2781	3	
ES851106	H51-2	2780	3	
ES851111	H51-2	2780	3	
ES851113	H51-2	2780	3	
ES851120	H51-2	2782	1	
ES851130	H51-2	2780	3	
ES851138	H51-2	2780	3	
ES851139	H51-2	2780	3	
ES851148	H51-2	2780	3	
ES851168	H51-1	362	1	
ES851210	H51-1	364	1	
ES851217	H51-1	364	1	
ES851234	H51-1	364	1	
ES851250	H51-1	364	1	
ES851272	H51-1	366	1	
ES851275	H51-1	366	1	
ES851285	H51-1	366	1	
ES851286	H51-1	366	1	
ES851294	H51-1	366	1	
ES851309	H51-1	366	1	
ES851318	H51-1	366	1	
ES850722	H51-2	2777	3	
ES850727	H51-2	2778	3	
ES850733	H51-2	2778	3	
ES850740	H51-2	2777	3	
ES850743	H51-2	2777	3	
ES850750	H51-2	2777	3	
ES850762	H51-2	2777	3	
ES850770	H51-2	2777	3	
ES850773	H51-2	2778	3	
ES850781	H51-2	2778	3	
ES850785	H51-2	2777	3	
ES850788	H51-2	2777	3	
ES850793	H51-2	2777	3	
ES850795	H51-2	2782	1	
ES850805	H51-2	2777	3	
ES850808	H51-2	2777	3	
ES850816	H51-2	2777	3	
ES850820	H51-2	2780	3	
ES850823	H51-2	2780	3	
ES850827	H51-2	2780	3	
ES850828	H51-2	2780	3	
ES850854	H51-2	2778	3	
ES850863	H51-2	2780	3	
ES850920	H51-2	2779	3	
ES850928	H51-2	2779	3	
ES850936	H51-2	2779	3	
ES850942	H51-2	2780	3	
ES850943	H51-2	2779	3	
ES850956	H51-2	2780	3	
ES850959	H51-2	2780	3	
ES850961	H51-2	2779	3	
ES850964	H51-2	2779	3	
ES850970	H51-2	2779	3	
ES850971	H51-2	2779	3	
ES851008	H51-2	2779	3	
ES851018	H51-2	2781	3	
ES851027	H51-2	2781	3	
ES851029	H51-2	2781	3	
ES851035	H51-2	2781	3	
ES851040	H51-2	2781	3	
ES851041	H51-2	2781	3	
ES851053	H51-2	2781	3	
ES851095	H51-2	2781	3	
ES851101	H51-2	2781	3	
ES851110	H51-2	2780	3	
ES851114	H51-2	2780	3	
ES851118	H51-2	2782	1	
ES851119	H51-2	2782	1	
ES851121	H51-2	2782	1	
ES851122	H51-2	2782	1	
ES851123	H51-2	2782	1	
ES851169	H51-1	362	1	
ES851172	H51-1	362	1	
ES851173	H51-1	362	1	
ES851176	H51-1	364	1	
ES851182	H51-1	364	1	
ES851186	H51-1	364	1	
ES851195	H51-1	364	1	
ES851208	H51-1	364	1	
ES851219	H51-1	364	1	
ES851226	H51-1	364	1	
ES851228	H51-1	364	1	
ES851232	H51-1	364	1	
ES851240	H51-1	364	1	
ES851241	H51-1	364	1	
ES851242	H51-1	364	1	
ES851246	H51-1	364	1	
ES851248	H51-1	364	1	
ES851253	H51-1	364	1	
ES851257	H51-1	366	1	
ES851274	H51-1	366	1	
ES851296	H51-1	366	1	
ES851297	H51-1	366	1	
ES851320	H51-1	366	1	
ES851323	H51-1	366	1	
ES851327	H51-1	366	1	
ES850719	H51-2	2777	3	
ES850731	H51-2	2778	3	
ES850744	H51-2	2777	3	
ES850755	H51-2	2782	1	
ES850756	H51-2	2782	1	
ES850758	H51-2	2777	3	
ES850782	H51-2	2778	3	
ES850799	H51-2	2782	1	
ES850814	H51-2	2777	3	
ES850819	H51-2	2780	3	
ES850824	H51-2	2780	3	
ES850833	H51-2	2778	3	
ES850838	H51-2	2778	3	
ES850858	H51-2	2778	3	
ES850872	H51-2	2780	3	
ES850875	H51-2	2780	3	
ES850883	H51-2	2778	3	
ES850897	H51-2	2778	3	
ES850904	H51-2	2778	3	
ES850907	H51-2	2780	3	
ES850912	H51-2	2780	3	
ES850922	H51-2	2779	3	
ES850950	H51-2	2779	3	
ES850962	H51-2	2779	3	
ES850965	H51-2	2779	3	
ES850991	H51-2	2779	3	
ES850993	H51-2	2779	3	
ES851001	H51-2	2779	3	
ES851013	H51-2	2781	3	
ES851014	H51-2	2781	3	
ES851020	H51-2	2781	3	
ES851021	H51-2	2781	3	
ES851031	H51-2	2781	3	
ES851033	H51-2	2781	3	
ES851046	H51-2	2781	3	
ES851047	H51-2	2781	3	
ES851057	H51-2	2781	3	
ES851059	H51-2	2781	3	
ES851061	H51-2	2781	3	
ES851066	H51-2	2782	1	
ES851069	H51-2	2782	1	
ES851075	H51-2	2781	3	
ES851080	H51-2	2781	3	
ES851082	H51-2	2781	3	
ES851100	H51-2	2781	3	
ES851103	H51-2	2781	3	
ES851107	H51-2	2780	3	
ES851112	H51-2	2780	3	
ES851117	H51-2	2782	1	
ES851124	H51-2	2782	1	
ES851126	H51-2	2782	1	
ES851132	H51-2	2780	3	
ES851144	H51-2	2780	3	
ES851150	H51-2	2780	3	
ES851153	H51-2	2782	1	
ES851158	H51-1	362	1	
ES851159	H51-1	362	1	
ES851162	H51-1	362	1	
ES851163	H51-1	362	1	
ES851170	H51-1	362	1	
ES851201	H51-1	364	1	
ES851209	H51-1	364	1	
ES851224	H51-1	364	1	
ES851235	H51-1	364	1	
ES851261	H51-1	366	1	
ES851265	H51-1	366	1	
ES851279	H51-1	366	1	
ES851283	H51-1	366	1	
ES851284	H51-1	366	1	
ES851321	H51-1	366	1	
ES850724	H51-2	2777	3	
ES850725	H51-2	2778	3	
ES850726	H51-2	2778	3	
ES850736	H51-2	2778	3	
ES850746	H51-2	2777	3	
ES850752	H51-2	2782	1	
ES850753	H51-2	2777	3	
ES850754	H51-2	2777	3	
ES850763	H51-2	2777	3	
ES850765	H51-2	2777	3	
ES850771	H51-2	2778	3	
ES850780	H51-2	2778	3	
ES850783	H51-2	2777	3	
ES850791	H51-2	2777	3	
ES850818	H51-2	2777	3	
ES850837	H51-2	2778	3	
ES850840	H51-2	2778	3	
ES850845	H51-2	2778	3	
ES850848	H51-2	2778	3	
ES850852	H51-2	2778	3	
ES850857	H51-2	2778	3	
ES850869	H51-2	2778	3	
ES850877	H51-2	2780	3	
ES850891	H51-2	2778	3	
ES850896	H51-2	2778	3	
ES850905	H51-2	2778	3	
ES850923	H51-2	2779	3	
ES850930	H51-2	2779	3	
ES850933	H51-2	2779	3	
ES850934	H51-2	2779	3	
ES850935	H51-2	2779	3	
ES850944	H51-2	2779	3	
ES850946	H51-2	2779	3	
ES850969	H51-2	2779	3	
ES850984	H51-2	2779	3	
ES850985	H51-2	2782	1	
ES850989	H51-2	2779	3	
ES851003	H51-2	2779	3	
ES851006	H51-2	2779	3	
ES851007	H51-2	2779	3	
ES851011	H51-2	2779	3	
ES851012	H51-2	2781	3	
ES851019	H51-2	2781	3	
ES851024	H51-2	2781	3	
ES851045	H51-2	2781	3	
ES851048	H51-2	2781	3	
ES851065	H51-2	2782	1	
ES851079	H51-2	2781	3	
ES851081	H51-2	2781	3	
ES851084	H51-2	2781	3	
ES851089	H51-2	2781	3	
